,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,22221,Luis Suárez,35," AM(CLR),FW",182,86,29(2),29,2,2557,11,3,4.1,2.0,2.4,2.4,1.5,2.2,2.9,7.35
1,1,14230,José Enrique,36," D(L),M(L)",184,76,33(2),33,2,2992,0,2,0.4,1.0,1.5,0.8,0.0,1.6,0.9,6.84
2,2,4574,Glen Johnson,38," D(CLR),M(R)",182,78,22(1),22,1,1952,1,0,1.0,1.0,1.4,1.0,0.0,0.9,1.3,7.02
3,3,8327,Charlie Adam,36, M(C),185,83,27(1),27,1,2177,2,6,1.8,1.9,0.9,1.5,0.0,1.4,0.7,7.24
4,4,5641,Stewart Downing,38," D(L),M(CLR)",180,64,28(8),28,8,2477,0,0,2.0,1.5,0.6,0.6,0.3,0.6,0.7,6.65
5,5,71268,Sebastián Coates,31, D(C),196,94,4(3),4,3,484,1,0,0.1,0.4,0.6,0.1,0.0,0.4,0.0,6.71
6,6,2940,Fábio Aurélio,43," D(C),FW",178,75,1(1),1,1,67,0,0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,6.31
7,7,7398,Daniel Agger,37, D(C),188,79,24(3),24,3,2141,1,1,1.2,0.3,0.4,0.9,0.0,0.1,0.3,6.92
8,8,94030,Jon Flanagan,29, D(LR),181,79,5,5,0,386,0,0,0.0,0.4,0.4,1.2,0.0,2.0,1.2,6.39
9,9,7516,Dirk Kuyt,42," M(CLR),FW",184,77,22(12),22,12,2004,2,1,1.5,1.2,0.4,0.6,0.6,1.4,1.0,6.59
10,10,68659,Jordan Henderson,32," D(C),M(CLR)",182,67,31(6),31,6,2666,2,1,1.1,0.8,0.4,0.2,0.2,1.1,0.8,6.67
11,11,97692,Raheem Sterling,27," M(CLR),FW",170,69,0(3),0,3,25,0,0,0.7,0.7,0.3,0.7,0.0,0.0,0.3,6.1
12,12,17,Steven Gerrard,42, M(C),185,82,12(6),12,6,1212,5,2,1.7,1.6,0.3,0.5,0.2,0.7,0.8,7.03
13,13,40027,Jonjo Shelvey,30, M(C),184,80,8(5),8,5,728,1,0,1.5,0.4,0.3,0.2,0.0,0.5,0.8,6.53
14,14,23383,Andy Carroll,33, FW,193,79,21(14),21,14,2065,4,2,2.5,1.2,0.3,1.4,0.5,1.3,1.3,6.89
15,15,14252,Doni,42, GK,194,91,4,4,0,295,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,6.32
16,16,31451,Lucas Leiva,35," D(C),M(C)",179,74,12,12,0,1045,0,0,0.5,0.9,0.3,0.8,0.0,0.8,0.3,7.4
17,17,44687,Martin Kelly,32, D(CLR),191,77,12,12,0,964,0,0,0.7,0.6,0.3,0.3,0.0,0.6,0.8,6.89
18,18,1982,Craig Bellamy,43, AM(R),175,68,12(15),12,15,1242,6,3,1.6,1.3,0.2,0.3,0.4,0.6,0.5,6.7
19,19,44068,Jay Spearing,33, M(C),171,71,15(1),15,1,1302,0,1,0.6,0.4,0.1,0.7,0.0,0.8,0.5,6.56
20,20,19840,Martin Skrtel,37, D(C),191,81,33(1),33,1,2995,2,1,0.9,0.3,0.1,0.6,0.0,0.1,0.1,6.94
21,21,1329,Jamie Carragher,44, D(C),185,76,19(2),19,2,1725,0,0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,6.43
22,22,11774,Bradley Jones,40, GK,194,76,0(1),0,1,64,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.55
23,23,2987,Pepe Reina,40, GK,188,92,34,34,0,3053,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,6.47
24,24,4445,Maxi Rodríguez,41," M(CL),FW",180,75,10(2),10,2,800,4,1,1.9,0.8,0.0,0.8,0.3,1.6,1.2,6.78
25,25,10111,Raul Meireles,39, M(C),179,65,0(2),0,2,35,0,1,0.5,1.0,0.0,0.0,0.0,0.0,0.5,6.59
