,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,14260,Sergio Agüero,34," AM(CL),FW",173,70,25(6),25,6,2407,20,3,4.5,1.0,2.5,1.1,0.7,2.2,2.5,7.33
1,1,97692,Raheem Sterling,27," M(CLR),FW",170,69,29(4),29,4,2517,7,6,1.9,1.4,2.4,1.6,0.5,2.6,1.8,7.05
2,2,144711,Leroy Sané,26," M(CLR),FW",183,80,20(6),20,6,1788,5,3,1.3,1.3,2.0,0.7,0.5,1.7,2.0,7.06
3,3,73084,Kevin De Bruyne,31," M(CLR),FW",181,68,33(3),33,3,2885,6,18,2.4,2.9,1.4,1.1,0.1,1.3,1.6,7.55
4,4,14102,David Silva,36," M(CLR),FW",170,67,31(3),31,3,2768,4,7,1.4,2.4,1.4,1.6,0.1,1.6,1.1,7.28
5,5,279379,Gabriel Jesus,25," AM(LR),FW",175,73,8(2),8,2,651,7,4,2.4,1.0,1.2,1.7,0.9,1.4,1.3,7.48
6,6,77464,Ilkay Gündogan,31, M(C),180,80,9(1),9,1,710,3,1,1.6,1.2,1.1,1.0,0.0,0.8,1.4,7.07
7,7,14053,Yaya Touré,39, M(C),188,90,22(3),22,3,1947,5,0,1.3,0.8,1.1,0.4,0.0,1.0,0.8,7.17
8,8,13298,Samir Nasri,35, M(CLR),175,75,0(1),0,1,16,0,0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6.34
9,9,19119,Fernandinho,37," D(CR),DMC",179,67,31(1),31,1,2755,2,1,1.1,1.0,0.9,1.1,0.0,1.0,0.8,7.16
10,10,101374,John Stones,28, D(CR),188,70,23(4),23,4,2013,0,0,0.5,0.1,0.8,0.3,0.0,0.1,0.3,6.78
11,11,12267,Aleksandar Kolarov,36," D(CL),M(L)",187,81,27(2),27,2,2533,1,1,1.1,0.5,0.8,1.3,0.0,0.2,0.6,7.3
12,12,9446,Jesús Navas,36," D(R),M(R)",172,60,12(12),12,12,1059,0,0,0.3,0.8,0.6,0.5,0.1,0.4,0.6,6.53
13,13,91267,Nolito,35, AM(CL),175,65,9(10),9,10,779,4,2,1.7,0.7,0.5,0.5,0.2,0.7,0.7,6.59
14,14,289253,Kelechi Iheanacho,26," AM(C),FW",185,82,5(15),5,15,528,4,3,1.1,0.7,0.4,0.1,0.3,1.0,1.0,6.4
15,15,14244,Pablo Zabaleta,37," D(R),DMC,M(R)",176,74,11(9),11,9,1060,1,1,0.4,0.6,0.4,0.8,0.3,0.3,0.4,6.74
16,16,75691,Nicolás Otamendi,34, D(C),183,81,29(1),29,1,2592,1,1,0.5,0.2,0.4,0.9,0.0,0.2,0.4,7.49
17,17,6042,Gaël Clichy,37, D(L),176,65,24(1),24,1,2125,1,0,0.1,0.6,0.4,0.3,0.0,0.3,0.3,6.98
18,18,27213,Fabian Delph,32," D(L),M(CL)",174,60,2(5),2,5,220,1,0,0.9,0.3,0.3,0.7,0.0,0.3,0.4,6.56
19,19,10136,Vincent Kompany,36, D(C),193,85,10(1),10,1,823,3,0,0.8,0.2,0.2,0.5,0.0,0.2,0.2,7.18
20,20,19471,Bacary Sagna,39, D(CR),176,72,14(3),14,3,1345,0,1,0.2,0.5,0.2,0.5,0.1,0.2,0.5,6.93
21,21,14199,Claudio Bravo,39, GK,184,80,22,22,0,1969,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,6.38
22,22,31958,Fernando,35, DMC,183,76,5(10),5,10,560,0,0,0.1,0.2,0.1,0.5,0.0,0.1,0.3,6.52
23,23,280663,Aleix García,25, DMC,173,68,1(3),1,3,76,0,0,0.0,0.3,0.0,1.0,0.0,0.3,0.8,6.26
24,24,34749,Willy Caballero,41, GK,186,81,16(1),16,1,1451,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.69
