,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,12187,Mousa Dembélé,35, M(CR),185,87,24(6),24,6,2066,1,1,0.5,0.8,2.6,0.7,0.0,1.7,0.7,7.18
1,1,75830,Erik Lamela,30," AM(CLR),FW",181,79,6(3),6,3,593,1,1,2.0,2.0,1.7,1.2,0.1,2.3,1.4,6.99
2,2,71714,Victor Wanyama,31, DMC,188,80,35(1),35,1,3016,4,1,1.1,0.9,1.4,1.0,0.0,0.9,0.9,7.21
3,3,24711,Danny Rose,32," D(L),M(L)",173,72,18,18,0,1533,2,2,1.3,1.4,1.4,2.7,0.1,1.1,1.5,7.42
4,4,91909,Son Heung-Min,30," M(CLR),FW",183,78,23(11),23,11,2070,14,6,2.4,1.3,1.4,0.9,0.6,1.8,1.6,7.14
5,5,131519,Dele Alli,26," M(CL),FW",188,76,35(2),35,2,3045,18,7,2.5,1.4,1.4,2.1,0.3,2.1,2.2,7.35
6,6,83532,Harry Kane,29," AM(C),FW",188,86,29(1),29,1,2536,29,7,3.7,1.4,1.3,1.5,0.6,1.6,2.8,7.68
7,7,69778,Kyle Walker,32," D(CR),M(R)",178,70,31(2),31,2,2704,0,5,0.6,1.2,1.1,1.0,0.1,0.8,0.8,7.2
8,8,134887,Georges-Kévin Nkoudou,27, AM(LR),172,75,0(8),0,8,49,0,0,0.3,0.0,0.9,0.4,0.0,0.4,0.1,6.16
9,9,29595,Moussa Sissoko,33, M(CR),187,83,8(17),8,17,903,0,2,0.7,0.8,0.8,0.4,0.1,0.5,0.8,6.46
10,10,21778,Jan Vertonghen,35, D(CL),189,79,33,33,0,2897,0,0,0.4,0.2,0.8,0.6,0.0,0.3,0.4,7.28
11,11,69344,Christian Eriksen,30," M(CLR),FW",182,76,36,36,0,3167,8,15,3.7,3.1,0.8,0.7,0.1,1.4,1.5,7.53
12,12,143990,Harry Winks,26, DMC,178,65,3(18),3,18,480,1,1,0.3,0.4,0.5,0.5,0.0,0.2,0.0,6.36
13,13,103837,Ben Davies,29," D(CL),M(L)",181,76,18(5),18,5,1735,1,3,0.6,1.3,0.3,1.1,0.1,0.4,0.4,7.12
14,14,136455,Josh Onomah,25, M(CL),185,70,0(5),0,5,18,0,0,0.2,0.0,0.2,0.2,0.2,0.8,0.0,6.07
15,15,101550,Kevin Wimmer,29, D(CL),187,85,4(1),4,1,357,0,0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,6.19
16,16,133381,Vincent Janssen,28, FW,184,79,7(20),7,20,832,2,2,1.1,0.6,0.2,0.9,0.3,1.1,1.0,6.34
17,17,69933,Toby Alderweireld,33, D(CR),186,81,30,30,0,2604,1,0,0.9,0.2,0.1,0.2,0.0,0.0,0.2,7.0
18,18,117973,Eric Dier,28," D(CR),DMC",188,88,34(2),34,2,3045,2,0,0.6,0.4,0.1,0.5,0.1,0.4,0.3,6.93
19,19,320639,Filip Lesniak,26, Midfielder,176,70,0(1),0,1,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.57
20,20,25604,Hugo Lloris,35, GK,188,82,34,34,0,3005,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,6.77
21,21,83078,Kieran Trippier,32," D(LR),M(R)",178,71,6(6),6,6,566,0,5,0.3,1.2,0.0,0.4,0.1,0.3,0.2,6.86
22,22,19270,Michel Vorm,38, GK,183,84,4(1),4,1,415,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.52
23,23,90907,Tom Carroll,30, M(CL),177,71,0(1),0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
