,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,97752,Paul Pogba,29, M(CL),191,84,16(4),16,4,1355,1,9,1.6,1.2,2.0,1.5,0.0,1.4,2.1,7.0
1,1,331924,Aaron Wan-Bissaka,24," D(R),M(R)",183,72,20,20,0,1794,0,0,0.3,0.7,1.8,0.7,0.1,0.7,1.2,6.91
2,2,367782,Mason Greenwood,21," AM(R),FW",181,70,16(2),16,2,1281,5,1,2.7,0.9,1.8,0.9,0.2,0.9,1.4,6.98
3,3,346300,Jadon Sancho,22, AM(CLR),180,76,20(9),20,9,1904,3,3,0.9,1.4,1.6,0.2,0.2,0.9,1.5,6.66
4,4,336915,Scott McTominay,25," D(C),DMC",193,88,28(2),28,2,2393,1,1,0.9,0.8,1.2,1.1,0.0,1.1,1.5,6.89
5,5,300299,Marcus Rashford,24," AM(CLR),FW",180,70,13(12),13,12,1233,4,2,0.9,0.4,0.9,0.7,0.6,1.0,1.6,6.35
6,6,114397,Fred,29, M(C),169,64,24(4),24,4,2036,4,4,0.5,1.0,0.8,1.1,0.0,0.9,1.5,6.87
7,7,38128,Nemanja Matic,34, DMC,194,85,16(7),16,7,1384,0,4,0.3,0.6,0.7,0.1,0.0,0.9,0.8,6.63
8,8,123761,Bruno Fernandes,28, M(CLR),179,69,35(1),35,1,3120,10,6,2.5,2.5,0.7,1.3,0.1,1.1,1.3,7.03
9,9,353418,Diogo Dalot,23," D(LR),M(R)",183,76,19(5),19,5,1799,0,0,0.5,0.7,0.7,0.2,0.0,0.3,1.0,6.86
10,10,5583,Cristiano Ronaldo,37," M(L),FW",187,83,27(3),27,3,2459,18,3,3.7,0.9,0.7,0.6,1.1,1.0,1.7,7.11
11,11,125793,Alex Telles,29," D(L),M(L)",181,71,18(3),18,3,1660,0,4,0.5,1.2,0.6,0.4,0.0,0.5,0.7,6.89
12,12,413211,Anthony Elanga,20, AM(LR),178,0,14(7),14,7,1217,2,2,1.0,0.4,0.5,1.0,0.1,0.7,1.8,6.56
13,13,122366,Anthony Martial,26," AM(LR),FW",181,76,2(6),2,6,210,1,0,0.6,0.0,0.5,0.5,0.3,0.5,0.8,6.31
14,14,416207,Hannibal Mejbri,19, Midfielder,177,0,1(1),1,1,68,0,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,5.97
15,15,25363,Juan Mata,34, AM(CLR),170,63,2(5),2,5,232,0,0,0.7,0.3,0.4,0.6,0.3,0.3,0.9,6.31
16,16,118244,Luke Shaw,27," D(CL),M(L)",185,75,19(1),19,1,1603,0,3,0.3,2.0,0.4,0.8,0.2,0.7,0.6,6.64
17,17,24328,Edinson Cavani,35," AM(LR),FW",184,71,7(8),7,8,765,2,1,1.2,0.5,0.3,0.3,0.4,0.3,0.8,6.4
18,18,81726,Phil Jones,30," D(CR),DMC",180,71,2(2),2,2,163,0,0,0.0,0.0,0.3,0.5,0.0,0.0,0.3,6.42
19,19,99487,Harry Maguire,29, D(C),194,100,28(2),28,2,2514,1,0,0.8,0.1,0.1,0.6,0.0,0.2,0.4,6.65
20,20,275035,Donny van de Beek,25, M(C),184,76,0(8),0,8,69,1,0,0.3,0.4,0.1,0.3,0.0,0.4,0.4,6.3
21,21,109000,Jesse Lingard,29," AM(CLR),FW",175,62,2(14),2,14,356,2,0,0.5,0.5,0.1,0.3,0.1,0.3,0.8,6.24
22,22,100008,Victor Lindelöf,28, D(CR),187,80,26(2),26,2,2355,0,2,0.1,0.1,0.1,0.2,0.1,0.0,0.3,6.5
23,23,93206,Raphaël Varane,29, D(C),191,81,20(2),20,2,1829,1,1,0.4,0.2,0.1,0.3,0.0,0.0,0.3,6.78
24,24,437022,Alejandro Garnacho,18, Midfielder,180,80,0(2),0,2,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98
25,25,302313,Daniel James,24," AM(CLR),FW",171,76,2,2,0,128,0,0,2.0,1.0,0.0,0.0,1.0,1.5,2.0,6.53
26,26,79554,David de Gea,31, GK,192,76,38,38,0,3420,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.64
27,27,243814,Eric Bailly,28, D(CR),187,77,3(1),3,1,218,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.8,6.28
28,28,410512,Shola Shoretire,18, Forward,170,0,0(1),0,1,16,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.05
