,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,128967,João Cancelo,28," D(LR),M(R)",182,74,25(3),25,3,2121,1,4,0.3,0.6,1.8,1.4,0.0,1.0,1.2,7.1
1,1,118123,André Gomes,29, M(CLR),188,84,27(3),27,3,2381,3,3,1.4,0.9,1.7,1.5,0.1,2.5,2.0,6.78
2,2,294056,Danilo Barbosa,26," D(C),DMC",183,74,16(3),16,3,1366,0,0,0.8,0.4,1.2,2.3,0.0,1.7,1.2,6.74
3,3,110297,Denis Cheryshev,31," AM(L),FW",179,74,6(1),6,1,482,3,0,1.9,0.4,1.1,1.6,0.0,0.6,1.9,7.12
4,4,125547,Rodrigo de Paul,28," AM(CLR),FW",180,70,6(3),6,3,522,0,0,1.1,1.8,1.1,1.1,0.1,0.8,1.3,6.55
5,5,20665,Guilherme Siqueira,36, D(L),182,81,14,14,0,1097,0,0,0.4,0.1,1.1,0.9,0.1,0.7,0.4,6.79
6,6,22117,Enzo Pérez,36, M(CR),178,77,16(4),16,4,1266,0,0,0.3,0.5,1.1,1.8,0.0,0.8,0.5,6.68
7,7,317597,Sito,25, Midfielder,180,70,0(1),0,1,51,0,0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,6.37
8,8,300778,Fran Villalba,24, AM(L),171,63,0(1),0,1,3,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.03
9,9,28186,Daniel Parejo,33, M(C),182,74,30(3),30,3,2735,8,5,1.4,1.3,0.8,2.4,0.1,1.4,0.7,7.15
10,10,83459,Rodrigo,31," M(CLR),FW",182,77,15(10),15,10,1361,2,3,1.5,1.0,0.8,1.0,0.4,1.0,1.3,6.65
11,11,125838,Santi Mina,26," AM(LR),FW",181,77,18(8),18,8,1581,4,1,1.0,0.4,0.8,1.9,0.2,1.5,1.9,6.53
12,12,127137,Zakaria Bakkali,26, AM(LR),168,71,4(12),4,12,563,1,3,0.8,0.8,0.8,1.3,0.2,0.8,0.6,6.56
13,13,23062,Pablo Piatti,33, M(CLR),163,63,9(12),9,12,791,0,0,0.5,0.5,0.6,1.9,0.2,0.9,0.8,6.36
14,14,34239,Sofiane Feghouli,32, M(CR),177,75,13(8),13,8,1259,1,1,1.0,1.2,0.6,1.0,0.3,0.7,1.3,6.58
15,15,119817,José Gayà,27," D(L),M(L)",172,66,15(5),15,5,1441,0,0,0.1,0.7,0.5,0.9,0.0,0.5,0.5,6.72
16,16,23757,Álvaro Negredo,37, FW,186,71,12(13),12,13,1148,5,2,1.6,0.5,0.5,0.4,0.5,0.6,1.1,6.56
17,17,75204,Lucas Orbán,33, D(CL),184,76,6(1),6,1,524,0,0,0.0,0.0,0.4,1.4,0.0,0.0,0.9,6.62
18,18,27745,Javi Fuego,38, M(C),181,76,23(3),23,3,2047,0,0,0.2,0.4,0.3,1.2,0.1,0.7,0.8,6.82
19,19,83250,Aymen Abdennour,33, D(C),187,85,22,22,0,1853,0,0,0.3,0.2,0.3,0.5,0.0,0.4,0.4,6.88
20,20,130356,Rúben Vezo,28, D(CR),182,80,10(5),10,5,1084,0,0,0.2,0.2,0.3,0.5,0.0,0.3,0.5,6.99
21,21,95953,Paco Alcácer,29," AM(R),FW",175,72,25(9),25,9,2420,13,6,1.8,1.0,0.3,0.5,1.1,1.0,1.7,6.74
22,22,14085,Antonio Barragán,35," D(CR),M(R)",182,76,19(5),19,5,1660,0,0,0.0,0.3,0.3,0.9,0.0,0.2,0.3,6.56
23,23,125953,Aderllan Santos,33, D(C),193,83,17,17,0,1520,0,0,0.4,0.1,0.2,0.4,0.1,0.4,0.5,6.9
24,24,80921,Shkodran Mustafi,30, D(CR),184,82,30,30,0,2682,2,0,0.7,0.1,0.2,0.7,0.2,0.2,0.3,7.33
25,25,30641,Diego Alves,37, GK,190,90,13,13,0,1170,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,6.76
26,26,261670,Tropi,27, Midfielder,173,69,0(1),0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.98
27,27,136810,Jaume Doménech,31, GK,185,73,17,17,0,1530,0,0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,7.12
28,28,81523,Mathew Ryan,30, GK,184,80,8,8,0,720,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.71
29,29,108033,Wilfried Zahibo,29, DMC,189,77,2,2,0,136,0,0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,6.3
