,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,10194,Hatem Ben Arfa,35," M(CR),FW",178,65,17(12),17,12,1538,3,3,1.5,1.6,2.4,1.8,0.1,1.7,0,7.07
1,1,3932,Mamadou Niang,42," AM(CLR),FW",178,80,29(3),29,3,2494,18,6,3.2,1.0,1.2,3.4,0.6,2.0,0,7.5
2,2,24929,Mathieu Valbuena,38, M(CLR),167,58,19(12),19,12,1723,5,1,1.4,1.7,0.9,2.0,0.3,2.0,0,7.05
3,3,17433,Bakari Koné,41, FW,167,61,11(16),11,16,1033,4,4,1.3,0.8,0.6,1.0,0.1,0.5,0,6.68
4,4,18539,Stéphane Mbia,36," D(C),M(C)",189,82,26(1),26,1,2218,2,1,0.9,0.3,0.6,1.6,0.1,0.2,0,7.1
5,5,27079,Charles Kaboré,34, M(C),182,78,17(8),17,8,1649,1,1,0.6,0.8,0.5,1.1,0.0,0.6,0,7.01
6,6,13852,Taye Ismaila Taiwo,37, D(CL),182,87,24(3),24,3,2165,3,2,1.4,1.1,0.5,0.7,0.0,0.5,0,7.22
7,7,2132,Benoit Cheyrou,41, M(C),182,78,27(5),27,5,2408,5,5,2.1,1.8,0.5,0.9,0.0,1.0,0,7.31
8,8,6784,Laurent Bonnart,42, D(L),171,62,30(1),30,1,2600,0,1,0.1,0.3,0.4,1.5,0.0,0.8,0,6.95
9,9,7796,Brandão,42, FW,189,86,27(3),27,3,2452,8,5,2.7,1.2,0.4,2.1,0.8,1.3,0,7.21
10,10,1747,Édouard Cissé,44," D(C),M(CR)",186,76,27(5),27,5,2424,1,1,0.4,0.4,0.3,0.8,0.1,0.5,0,6.94
11,11,23133,Fabrice Abriel,43, M(C),176,69,18(14),18,14,1764,1,5,0.6,1.1,0.3,1.0,0.0,0.7,0,6.71
12,12,4172,Souleymane Diawara,43, D(C),187,88,37,37,0,3330,4,1,0.6,0.1,0.3,0.8,0.0,0.3,0,7.34
13,13,19856,Garry Bocaly,34, D(R),180,74,3(1),3,1,247,0,0,0.8,1.0,0.3,0.5,0.0,0.5,0,6.45
14,14,13641,Lucho González,41, M(C),185,81,28(4),28,4,2370,5,12,1.9,1.9,0.2,2.0,0.2,0.8,0,7.3
15,15,2466,Gabriel Heinze,44," D(CL),DMC",178,72,26(1),26,1,2252,4,1,0.7,0.5,0.2,1.3,0.0,0.5,0,7.21
16,16,29545,Steve Mandanda,37, GK,185,82,36,36,0,3177,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0,6.66
17,17,2607,Cyril Rool,47, Midfielder,178,72,1(1),1,1,135,0,0,0.0,1.0,0.0,0.5,0.0,0.0,0,6.36
18,18,58436,Elinton Andrade,43, Goalkeeper,190,85,2(1),2,1,243,0,0,0.0,0.0,0.0,0.7,0.0,0.0,0,7.28
19,19,494,Fernando Morientes,46, FW,185,76,4(8),4,8,392,1,0,0.8,0.1,0.0,0.6,0.0,0.8,0,6.23
20,20,67491,Jordan Ayew,31," AM(CLR),FW",182,80,0(4),0,4,66,1,0,0.5,0.3,0.0,0.3,0.0,0.8,0,6.38
21,21,33861,Pape M'Bow,34, Defender,190,74,0(3),0,3,66,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,6.17
22,22,6743,Hilton,45, D(C),180,78,9(3),9,3,853,1,1,0.3,0.3,0.0,1.0,0.0,0.2,0,6.84
