,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,137021,Saïd Benrahma,27, AM(CLR),172,67,3,3,0,200,1,2,1.7,1.3,2.0,0.0,0.0,1.0,1.3,7.46
1,1,134902,Jordan Amavi,28," D(L),M(L)",176,70,36,36,0,3233,4,0,0.5,0.9,1.9,1.3,0.0,1.2,1.5,7.74
2,2,108585,Alassane Plea,29," AM(CLR),FW",181,79,27(6),27,6,2457,3,6,1.8,1.1,1.3,1.5,0.6,2.4,2.2,6.76
3,3,121496,Carlos Eduardo,32, M(C),177,68,29(1),29,1,2332,10,4,2.6,0.8,1.2,2.2,0.1,1.5,1.8,6.91
4,4,90278,Nampalys Mendy,30, M(C),167,73,36,36,0,3240,0,0,0.3,0.5,0.9,1.8,0.0,1.1,1.1,6.7
5,5,90106,Éric Bauthéac,35, AM(LR),168,65,29(6),29,6,2585,8,5,1.7,1.3,0.7,1.5,0.3,1.7,1.6,6.89
6,6,98100,Lloyd Palun,33, D(R),184,73,19(2),19,2,1636,1,1,0.2,0.3,0.7,0.6,0.0,1.1,0.9,7.05
7,7,93721,Valentin Eysseric,30," AM(CLR),FW",181,73,24(12),24,12,2304,2,4,1.6,1.2,0.7,1.3,0.0,1.4,1.5,6.7
8,8,260809,Olivier Boscagli,24," D(CL),DMC",181,68,2,2,0,174,0,0,0.0,1.5,0.5,0.0,0.0,0.5,1.0,7.35
9,9,4172,Souleymane Diawara,43, D(C),187,88,12(2),12,2,1070,0,0,0.4,0.4,0.4,0.6,0.0,0.1,0.3,7.09
10,10,238921,Vincent Koziello,26, M(C),168,58,3(4),3,4,283,0,0,0.0,0.1,0.4,0.6,0.0,1.4,0.6,6.28
11,11,120523,Albert Rafetraniaina,26, DMC,176,66,12(9),12,9,979,0,0,0.3,0.2,0.4,0.3,0.0,0.7,0.7,6.49
12,12,74328,Niklas Hult,32," D(L),M(CL)",173,63,20(10),20,10,1914,1,0,0.6,0.6,0.3,1.0,0.2,1.0,1.3,6.56
13,13,95424,Grégoire Puel,30," D(R),M(R)",180,71,26(1),26,1,2153,1,1,0.5,0.3,0.3,1.3,0.1,1.3,1.6,6.55
14,14,11896,Didier Digard,36, M(C),183,76,9(5),9,5,851,1,1,0.9,0.5,0.3,0.9,0.1,1.0,1.1,6.59
15,15,34218,Romain Genevois,34, D(CR),182,79,34,34,0,2941,1,1,0.3,0.1,0.3,0.5,0.0,0.1,0.4,7.29
16,16,119822,Neal Maupay,26," AM(C),FW",173,69,3(10),3,10,353,1,0,0.3,0.2,0.2,0.1,0.3,0.8,1.5,6.02
17,17,121997,Julien Vercauteren,29, Forward,171,66,3(6),3,6,247,0,2,0.8,0.4,0.2,0.0,0.0,0.8,0.8,6.21
18,18,137837,Franck Honorat,26," M(LR),FW",180,70,1(4),1,4,110,0,0,0.4,0.2,0.2,0.2,0.0,0.2,0.4,6.04
19,19,67929,Kevin Gomis,33, D(C),187,85,11(5),11,5,1194,0,0,0.1,0.1,0.2,0.6,0.1,0.1,0.3,6.7
20,20,6476,Mathieu Bodmer,39," D(C),M(C)",190,90,21(1),21,1,1852,2,0,0.4,0.2,0.2,0.9,0.2,0.3,0.4,7.3
21,21,109812,Alexy Bosetti,29," AM(R),FW",170,66,13(14),13,14,1225,5,1,1.1,0.5,0.1,1.1,0.6,1.3,1.6,6.29
22,22,116615,Mouez Hassen,27, GK,186,70,30,30,0,2700,0,0,0.0,0.0,0.0,0.4,0.0,0.0,0.1,6.46
23,23,123254,Bryan Constant,28, Midfielder,183,76,0(2),0,2,19,0,0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,6.03
24,24,14838,Darío Cvitanich,38," AM(C),FW",174,72,5(4),5,4,483,3,0,1.2,0.6,0.0,1.1,1.2,1.7,2.0,6.35
25,25,42248,Jérémy Pied,33," D(LR),M(CLR)",174,69,2,2,0,157,0,1,1.0,3.5,0.0,0.0,0.5,0.5,1.0,7.0
26,26,34918,Joris Delle,32, GK,190,85,0(1),0,1,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22
27,27,146712,Paulin Puel,25, Midfielder,179,73,0(1),0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
28,28,259809,Sada Thioub,27, M(LR),179,75,0(2),0,2,34,0,0,0.0,0.0,0.0,0.5,0.0,2.0,1.0,5.99
29,29,23619,Simon Pouplin,37, GK,187,78,8,8,0,691,0,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,6.82
