,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,322670,Ismaïla Sarr,24," AM(CLR),FW",185,76,22(2),22,2,1866,5,3,1.7,0.8,2.7,2.7,0.8,2.3,3.7,6.92
1,1,71381,Wahbi Khazri,31," M(CLR),FW",176,80,23(1),23,1,1927,9,2,2.7,1.4,1.9,2.2,0.7,2.3,2.9,7.0
2,2,139586,Firmin Ndombe Mubele,28," AM(R),FW",175,74,13(6),13,6,1225,5,1,1.7,0.9,1.6,2.2,0.3,2.5,4.1,6.6
3,3,34011,Ludovic Baal,36," D(L),M(L)",176,75,14(3),14,3,1161,0,0,0.0,0.4,1.1,0.9,0.1,0.7,0.5,6.81
4,4,43415,Benjamin André,32," D(R),M(CLR)",180,76,34,34,0,3016,3,3,0.9,1.0,1.0,1.4,0.0,1.6,1.9,7.26
5,5,345386,Gerzino Nyamsi,25, D(C),194,91,3,3,0,270,0,0,0.3,0.0,1.0,0.3,0.0,0.0,1.0,6.69
6,6,332144,James Léa Siliki,26, M(CL),183,70,19(13),19,13,1812,3,2,1.1,0.6,1.0,1.5,0.0,0.7,1.3,6.58
7,7,289018,Hamari Traoré,30," D(R),M(R)",175,73,30,30,0,2640,0,1,0.5,0.6,0.8,1.2,0.1,0.2,1.0,7.12
8,8,288892,Ramy Bensebaïni,27," D(CL),DMC,M(L)",186,82,26(3),26,3,2345,0,1,0.7,0.3,0.8,1.4,0.1,0.2,0.5,7.01
9,9,297541,Nicolas Janvier,24, M(C),171,71,1(2),1,2,75,0,0,0.0,0.0,0.7,0.7,0.0,1.3,0.3,6.28
10,10,22797,Morgan Amalfitano,37, M(CLR),176,68,10(4),10,4,751,0,0,0.8,0.4,0.6,1.0,0.0,1.2,0.7,6.09
11,11,129282,Benjamin Bourigeaud,28, M(CLR),178,68,35(2),35,2,3106,10,7,1.8,2.6,0.6,0.4,0.1,1.0,1.4,7.16
12,12,296232,Faitout Maouassa,24," D(L),M(LR)",170,76,9(10),9,10,888,0,2,0.8,0.5,0.5,0.7,0.1,1.1,1.4,6.27
13,13,8006,Yoann Gourcuff,36, M(CL),185,82,5(5),5,5,426,1,2,0.9,0.5,0.4,0.6,0.0,0.7,0.6,6.51
14,14,83297,Diafra Sakho,32, FW,184,79,7(6),7,6,777,2,0,1.5,0.5,0.4,0.8,0.7,0.8,3.2,6.38
15,15,121765,Brandon Thomas,27, FW,173,71,3(8),3,8,352,1,0,0.5,0.6,0.4,0.7,0.2,1.1,0.5,6.38
16,16,129999,Adrien Hunou,28," AM(CLR),FW",179,66,17(7),17,7,1463,5,1,1.0,0.5,0.3,1.3,0.8,0.8,1.5,6.44
17,17,109941,Mehdi Zeffane,30," D(LR),M(R)",176,73,11(4),11,4,989,0,1,1.0,0.4,0.3,0.3,0.1,0.2,0.7,6.57
18,18,298545,Joris Gnagnon,25, D(C),182,89,32(4),32,4,2918,2,2,0.8,0.1,0.2,0.8,0.1,0.1,0.4,6.79
19,19,297540,Jérémy Gelin,25," D(C),DMC",183,77,25(3),25,3,2315,0,2,0.2,0.5,0.1,0.6,0.0,0.1,0.2,6.67
20,20,107891,Sanjin Prcic,28, M(C),181,75,18(1),18,1,1569,1,2,0.9,0.4,0.1,0.5,0.0,0.4,0.6,6.77
21,21,121720,Mexer,34, D(C),188,79,13(4),13,4,1197,0,0,0.2,0.1,0.1,0.5,0.0,0.1,0.1,6.54
22,22,82622,Abdoulaye Diallo,30, GK,191,82,3,3,0,270,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57
23,23,330612,Afonso Figueiredo,29, D(L),169,63,1(4),1,4,222,0,0,0.0,0.0,0.0,1.4,0.0,0.6,0.6,6.08
24,24,335686,Jordan Tell,25, Forward,185,74,0(6),0,6,109,1,0,1.2,0.2,0.0,0.0,0.2,0.7,1.2,6.19
25,25,78623,Raïs M'Bolhi,36, GK,191,88,1,1,0,90,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.33
26,26,23618,Romain Danzé,36," D(R),M(CR)",184,73,10(3),10,3,685,0,0,0.1,0.2,0.0,0.1,0.0,0.3,0.1,6.36
27,27,283271,Tomás Koubek,30, GK,197,98,34,34,0,3060,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,6.79
