,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,10119,Milos Krasic,37, M(R),182,74,33,33,0,2616,6,6,1.5,1.3,2.4,2.1,0.3,1.5,1.6,7.19
1,1,9730,Fabio Quagliarella,39, FW,180,79,17,17,0,1313,9,2,3.5,1.2,1.0,1.3,0.7,2.3,2.1,7.34
2,2,83451,Filippo Boniperti,31, Midfielder,180,74,0(1),0,1,45,0,0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,6.26
3,3,83231,Manuel Giandonato,30, Midfielder,188,77,2,2,0,106,0,0,0.0,0.5,1.0,0.5,0.0,1.0,0.5,6.3
4,4,484,Alessandro Del Piero,47," AM(CL),FW",173,73,19(14),19,14,1825,8,2,2.7,1.8,0.9,2.4,0.5,2.2,1.5,6.91
5,5,13551,Felipe Melo,39," D(C),M(C)",185,84,28(1),28,1,2350,1,0,1.2,0.7,0.9,1.4,0.1,1.1,1.0,7.09
6,6,24366,Armand Traore,32," D(L),M(L)",185,81,7(3),7,3,541,0,0,0.2,0.1,0.8,0.7,0.0,0.7,0.9,6.55
7,7,25079,Alessandro Matri,38, FW,183,80,15(1),15,1,1256,9,1,1.8,0.8,0.8,1.1,1.8,2.9,1.6,6.92
8,8,12874,Marco Motta,36," D(R),M(R)",188,81,19(3),19,3,1522,0,1,0.3,0.9,0.7,1.0,0.0,0.4,0.5,6.85
9,9,12722,Paolo De Ceglie,36," D(L),M(CL)",184,75,6(1),6,1,463,0,1,0.1,0.6,0.6,0.7,0.0,0.3,0.0,7.15
10,10,9894,Simone Pepe,39, M(C),178,73,22(8),22,8,2009,4,1,1.5,0.9,0.5,1.4,0.3,1.0,1.3,6.78
11,11,24240,Jorge Martínez,39, FW,181,80,6(8),6,8,564,0,0,1.3,0.9,0.5,1.4,0.1,1.4,1.4,6.51
12,12,9989,Alberto Aquilani,38, M(C),185,81,31(2),31,2,2670,2,5,1.8,1.2,0.5,1.1,0.0,1.0,1.0,7.15
13,13,20211,Claudio Marchisio,36, M(C),180,74,32,32,0,2806,4,4,1.2,1.3,0.4,0.8,0.0,1.1,1.1,7.09
14,14,9991,Giorgio Chiellini,38, D(C),187,85,32,32,0,2880,2,1,0.6,0.4,0.4,1.1,0.1,0.3,0.5,7.43
15,15,2833,Fabio Grosso,44, D(CL),190,82,17(2),17,2,1599,0,3,0.6,0.7,0.3,0.5,0.1,0.7,0.6,6.97
16,16,6075,Andrea Barzagli,41, D(CR),187,87,14(1),14,1,1283,0,1,0.2,0.3,0.3,0.6,0.1,0.1,0.3,7.27
17,17,20664,Leonardo Bonucci,35, D(C),190,85,32(2),32,2,2884,0,0,0.6,0.2,0.2,0.6,0.0,0.1,0.4,6.78
18,18,5795,Amauri,42, FW,186,83,5(4),5,4,491,0,0,1.9,0.3,0.1,1.0,0.4,1.9,1.3,6.57
19,19,4596,Zdenek Grygera,42, D(R),185,79,9(4),9,4,905,0,0,0.0,0.6,0.1,0.8,0.0,0.4,0.5,6.63
20,20,164,Luca Toni,45, FW,196,88,5(9),5,9,528,2,2,1.3,0.7,0.1,1.8,0.2,1.0,1.7,6.4
21,21,9576,Mohamed Sissoko,37, M(C),191,87,4(14),4,14,626,0,1,0.4,0.3,0.1,0.4,0.0,0.8,0.7,6.55
22,22,2855,Vincenzo Iaquinta,42," AM(C),FW",191,84,8(11),8,11,959,4,3,1.8,0.9,0.1,1.2,1.5,1.0,1.6,6.55
23,23,92330,Alberto Libertazzi,30, Forward,186,82,0(1),0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04
24,24,30836,Davide Lanzafame,35, M(CL),180,78,0(3),0,3,53,0,0,1.0,0.0,0.0,1.0,0.0,0.3,0.7,6.17
25,25,93459,Frederik Sørensen,30, D(CR),194,87,12(5),12,5,1138,0,1,0.1,0.3,0.0,0.5,0.0,0.3,0.2,6.83
26,26,3328,Gianluigi Buffon,44, GK,192,84,16,16,0,1362,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41
27,27,729,Hasan Salihamidzic,45, DMC,177,71,1(9),1,9,216,0,1,0.4,0.4,0.0,0.6,0.0,0.4,0.6,6.21
28,28,12747,Leandro Rinaudo,39, D(C),191,78,1,1,0,75,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.08
29,29,9956,Marco Storari,45, GK,187,76,22(1),22,1,2057,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.68
30,30,78909,Niccolò Giannetti,31, Forward,181,74,1,1,0,58,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.1
31,31,2959,Nicola Legrottaglie,45, D(C),185,73,2(3),2,3,212,1,0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,6.29
