,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,22701,Fredy Guarín,36, M(CR),183,77,26(6),26,6,2209,4,6,2.7,1.4,2.7,1.1,0.1,2.0,1.6,7.26
1,1,41489,Ricardo Álvarez,34, M(CR),188,84,25(4),25,4,2115,4,8,1.7,1.7,2.7,1.4,0.1,2.3,1.5,7.4
2,2,93894,Mateo Kovacic,28, M(CL),178,78,14(18),14,18,1608,0,4,0.6,0.9,2.2,1.2,0.0,0.9,0.7,6.95
3,3,17108,Hernanes,37, M(C),180,78,13(1),13,1,1142,2,4,3.1,2.6,1.6,2.5,0.1,2.0,0.9,7.76
4,4,37188,Yuto Nagatomo,36," D(LR),M(LR)",170,68,32(2),32,2,2847,5,6,0.9,1.3,1.3,0.6,0.1,0.8,0.8,7.02
5,5,14871,Rodrigo Palacio,40," AM(CLR),FW",180,75,36(1),36,1,3170,17,7,2.5,1.3,1.1,1.4,0.7,1.8,1.9,7.41
6,6,78970,Ishak Belfodil,30," AM(LR),FW",192,86,1(7),1,7,181,0,1,0.8,0.5,1.1,0.3,0.3,0.6,0.8,6.34
7,7,2668,Javier Zanetti,49," D(R),DMC,M(R)",178,75,4(8),4,8,456,0,0,0.1,0.3,1.0,0.4,0.0,0.2,0.3,6.43
8,8,5070,Hugo Campagnaro,42, D(CR),181,85,20(1),20,1,1729,0,2,0.1,0.6,0.9,1.2,0.1,0.2,0.5,7.41
9,9,27421,Andrea Ranocchia,34, D(C),195,81,23(1),23,1,2098,1,0,0.5,0.0,0.9,1.0,0.0,0.1,0.1,7.25
10,10,28485,Jonathan,36," D(R),M(R)",170,72,31,31,0,2604,3,4,0.9,1.3,0.8,1.3,0.1,0.7,1.3,7.05
11,11,84603,Juan Jesus,31, D(CL),185,83,27,27,0,2354,0,0,0.3,0.3,0.7,0.6,0.0,0.5,0.8,7.21
12,12,101953,Wallace Oliveira,28, D(R),175,72,0(3),0,3,39,0,0,0.0,0.0,0.7,0.3,0.0,0.0,0.3,6.22
13,13,64271,Danilo D'Ambrosio,34," D(CLR),M(LR)",180,75,8(3),8,3,644,0,0,0.8,0.6,0.5,1.3,0.0,0.7,1.3,6.69
14,14,10090,Diego Milito,43, FW,183,78,6(11),6,11,630,2,1,1.2,0.2,0.5,0.6,0.6,0.8,0.5,6.24
15,15,9279,Rolando,37, D(C),189,77,28(1),28,1,2573,4,0,0.5,0.2,0.3,0.6,0.0,0.1,0.4,7.19
16,16,72786,Rubén Botta,32," AM(CLR),FW",175,65,1(9),1,9,189,0,0,0.7,0.1,0.3,0.7,0.0,0.4,1.2,6.18
17,17,9838,Esteban Cambiasso,42," D(C),M(C)",177,78,32,32,0,2713,4,2,1.0,1.3,0.3,0.7,0.1,0.5,0.3,7.29
18,18,19676,Juan Carrizo,38, GK,187,87,2(2),2,2,308,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,6.37
19,19,575,Walter Samuel,44, D(C),183,83,13(1),13,1,1169,2,0,0.9,0.3,0.2,0.8,0.0,0.1,0.3,7.26
20,20,31177,Álvaro Pereira,36," D(L),M(L)",180,78,2(3),2,3,228,0,0,0.6,1.2,0.2,1.2,0.2,0.6,0.8,6.63
21,21,85692,Saphir Taïder,30, M(CL),180,73,13(12),13,12,1051,1,1,0.9,0.8,0.2,0.6,0.1,0.7,0.6,6.59
22,22,106964,Mauro Icardi,29, FW,181,75,12(10),12,10,1309,9,2,1.8,0.8,0.1,0.8,0.4,0.4,1.1,6.73
23,23,18963,Zdravko Kuzmanovic,35, M(C),186,80,11(4),11,4,835,0,0,0.7,0.3,0.1,0.8,0.0,0.4,0.2,6.54
24,24,149543,Federico Bonazzoli,25," AM(C),FW",182,79,0(1),0,1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89
25,25,12564,Gaby Mudingayi,41, M(C),180,80,0(1),0,1,8,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.12
26,26,78892,Marco Andreolli,36, D(C),187,81,2(2),2,2,203,1,0,0.3,0.0,0.0,0.5,0.0,0.0,0.3,6.86
27,27,9972,Samir Handanovic,38, GK,193,92,36,36,0,3111,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.96
