,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,90878,Riccardo Saponara,30, AM(CL),184,73,1,1,0,90,0,0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,7.02
1,1,10407,Jérémy Ménez,35," M(CLR),FW",182,79,31(2),31,2,2703,16,4,2.4,1.4,2.2,2.5,0.5,2.5,1.7,7.29
2,2,24605,Keisuke Honda,36, M(CR),182,74,26(3),26,3,2166,6,4,1.5,1.1,1.1,2.0,0.1,1.7,1.4,7.01
3,3,70087,Stephan El Shaarawy,29," AM(CLR),FW",178,72,14(4),14,4,1200,3,3,1.4,0.8,1.1,0.4,0.4,1.6,1.3,6.74
4,4,137069,Alessandro Mastalli,26, Midfielder,175,75,0(1),0,1,14,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.25
5,5,141870,Davide Di Molfetta,26, Forward,176,70,0(1),0,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0
6,6,4056,Fernando Torres,38, FW,186,79,7(3),7,3,591,1,0,1.9,0.4,1.0,0.7,0.1,1.8,1.5,6.54
7,7,40384,Giacomo Bonaventura,33, M(CLR),180,75,28(5),28,5,2572,7,4,1.8,1.3,1.0,2.1,0.3,1.3,0.9,7.09
8,8,12473,Alessio Cerci,35," M(R),FW",178,78,7(9),7,9,673,1,4,1.3,1.3,0.9,1.5,0.4,1.3,0.6,6.63
9,9,105591,Suso,28," AM(CLR),FW",177,70,2(3),2,3,223,0,1,1.0,0.4,0.8,0.8,0.2,1.8,0.6,6.36
10,10,1832,Michael Essien,39," D(R),DMC",183,78,7(6),7,6,678,0,0,0.4,0.2,0.7,1.0,0.0,0.4,0.5,6.48
11,11,23206,Ignazio Abate,35," D(R),M(R)",180,73,21(2),21,2,1882,0,6,0.3,1.0,0.7,0.9,0.2,0.4,0.7,6.81
12,12,58761,M'Baye Niang,27," AM(LR),FW",184,75,1(4),1,4,87,0,0,0.8,0.2,0.6,0.6,0.0,0.4,0.8,6.24
13,13,9974,Riccardo Montolivo,37, M(C),182,79,9(1),9,1,713,0,0,0.9,1.3,0.6,2.0,0.2,1.0,1.6,6.76
14,14,31355,Andrea Poli,33, M(CL),182,77,23(10),23,10,2077,1,2,0.7,0.7,0.5,1.4,0.1,0.5,0.6,6.66
15,15,14040,Luca Antonelli,35," D(L),M(CL)",184,79,12,12,0,1057,1,0,0.5,0.8,0.5,3.0,0.3,0.3,0.8,7.22
16,16,67434,Mattia Destro,31, FW,181,73,11(4),11,4,847,3,0,1.3,0.3,0.4,1.1,0.6,0.9,1.3,6.43
17,17,26877,Adil Rami,36, D(C),190,90,18(3),18,3,1665,1,1,0.5,0.3,0.4,1.1,0.2,0.3,0.2,6.95
18,18,24419,Pablo Armero,35," D(L),M(L)",174,81,6(2),6,2,587,0,1,0.1,1.0,0.4,0.5,0.0,0.4,0.1,6.78
19,19,107275,Mattia De Sciglio,29," D(CLR),M(LR)",182,78,16(1),16,1,1312,0,0,0.4,0.9,0.4,0.9,0.2,0.6,1.0,6.66
20,20,2247,Daniele Bonera,41, D(CR),183,84,13(3),13,3,1115,0,0,0.3,0.2,0.3,0.9,0.1,0.0,0.4,6.52
21,21,85470,Marco van Ginkel,29, M(C),180,67,16(1),16,1,1311,1,1,0.6,0.9,0.3,0.9,0.0,0.9,0.9,6.88
22,22,14063,Cristián Zapata,36, D(C),187,82,8(4),8,4,864,0,1,0.2,0.2,0.3,0.8,0.0,0.4,0.5,6.83
23,23,2303,Philippe Mexes,40, D(C),187,82,18(2),18,2,1669,2,0,0.9,0.1,0.2,0.8,0.1,0.2,0.2,6.94
24,24,4608,Nigel de Jong,37, M(C),174,72,29,29,0,2596,3,0,0.6,0.3,0.1,1.2,0.2,0.6,0.5,7.09
25,25,9975,Giampaolo Pazzini,38, FW,180,77,4(22),4,22,808,4,0,1.0,0.2,0.1,1.3,0.3,0.7,0.8,6.23
26,26,10132,Alex,40, D(C),188,92,18(3),18,3,1399,1,0,0.4,0.0,0.0,0.2,0.1,0.1,0.1,6.87
27,27,2533,Christian Abbiati,45, GK,191,92,10(1),10,1,905,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.75
28,28,2796,Cristian Zaccardo,40, D(CR),184,77,3,3,0,210,1,1,0.3,0.7,0.0,0.7,0.3,0.7,0.7,6.49
29,29,260498,Davide Calabria,25," D(LR),M(R)",177,70,0(1),0,1,7,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.41
30,30,10445,Diego López,40, GK,196,89,28,28,0,2513,0,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.66
31,31,22605,Gabriel Paletta,36, D(C),190,88,13(1),13,1,1146,0,0,0.2,0.1,0.0,0.6,0.0,0.2,0.4,6.93
32,32,260906,Gian Felicioli,25, Defender,182,74,0(1),0,1,6,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.91
33,33,23065,Salvatore Bocchetti,35, D(C),186,81,6(3),6,3,629,0,0,0.2,0.1,0.0,1.0,0.0,0.0,0.4,6.8
34,34,6166,Sulley Muntari,38, M(C),179,76,12(4),12,4,988,2,0,0.9,0.8,0.0,0.6,0.1,0.8,0.8,6.61
