,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,70087,Stephan El Shaarawy,29," AM(CLR),FW",178,72,23(5),23,5,2109,11,3,2.5,1.3,1.6,1.3,0.4,0.8,1.9,7.26
1,1,332398,Nicolò Zaniolo,23," AM(CR),FW",190,79,20(7),20,7,1772,4,2,1.8,0.7,1.5,1.2,0.1,2.5,2.6,6.7
2,2,31388,Diego Perotti,34," M(CLR),FW",179,70,6(7),6,7,665,5,0,1.2,1.4,1.4,1.2,0.1,0.7,0.9,6.89
3,3,41220,Javier Pastore,33, AM(CLR),187,78,7(7),7,7,596,3,0,1.4,1.3,1.1,0.2,0.0,0.4,1.0,6.7
4,4,148546,Lorenzo Pellegrini,26, M(CL),186,77,21(4),21,4,1828,2,3,1.8,2.4,1.0,1.3,0.2,1.3,2.0,7.0
5,5,24845,Edin Dzeko,36, FW,193,80,28(5),28,5,2576,9,6,4.0,1.4,1.0,1.1,0.4,1.5,2.2,7.24
6,6,367278,Zan Celar,23, Forward,186,80,0(1),0,1,4,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.12
7,7,12267,Aleksandar Kolarov,36," D(CL),M(L)",187,81,32(1),32,1,2906,8,2,1.3,1.8,0.9,1.2,0.0,0.5,0.8,7.12
8,8,109149,Bryan Cristante,27," D(C),M(C)",186,80,26(9),26,9,2421,4,3,1.2,0.8,0.9,0.4,0.0,1.0,0.8,6.81
9,9,255071,Cengiz Ünder,25, AM(CLR),173,66,17(9),17,9,1378,3,7,1.5,1.2,0.8,1.1,0.2,0.8,1.5,6.69
10,10,331579,Justin Kluivert,23, AM(LR),171,67,14(15),14,15,1341,1,6,0.7,1.2,0.8,0.8,0.1,0.8,1.5,6.66
11,11,44642,Davide Santon,31, D(LR),187,77,11(6),11,6,1005,0,1,0.2,0.8,0.8,0.6,0.0,0.2,0.8,6.57
12,12,232249,Rick Karsdorp,27," D(R),M(R)",184,80,7(4),7,4,595,0,1,0.0,0.4,0.6,0.2,0.0,0.5,0.5,6.44
13,13,39935,Steven Nzonzi,33, M(C),196,75,29(1),29,1,2619,1,2,0.7,0.8,0.4,0.5,0.0,0.4,0.5,7.06
14,14,29908,Federico Fazio,35, D(C),195,85,31(3),31,3,2805,5,0,0.9,0.2,0.4,0.4,0.0,0.2,0.5,7.07
15,15,243565,Patrik Schick,26," AM(R),FW",191,85,15(9),15,9,1315,3,0,1.4,0.8,0.4,0.8,0.4,0.9,2.2,6.58
16,16,28521,Iván Marcano,35, D(CL),189,77,9(1),9,1,811,0,0,0.3,0.6,0.3,0.4,0.0,0.2,0.0,6.96
17,17,101596,Alessandro Florenzi,31," D(R),M(CLR)",173,67,24(5),24,5,2185,3,2,1.2,1.4,0.3,0.8,0.1,0.3,0.6,6.89
18,18,332268,Luca Pellegrini,23," D(L),M(L)",178,72,2(2),2,2,163,0,1,0.0,0.3,0.3,0.3,0.0,0.3,0.5,6.26
19,19,84603,Juan Jesus,31, D(CL),185,83,15(5),15,5,1400,1,0,0.1,0.1,0.2,0.4,0.0,0.2,0.1,6.53
20,20,5202,Daniele De Rossi,39," D(C),M(C)",184,83,15(3),15,3,1273,1,2,0.3,0.9,0.1,0.5,0.1,0.1,0.2,6.8
21,21,70149,Kostas Manolas,31, D(C),189,83,27,27,0,2328,1,1,0.5,0.1,0.1,0.7,0.0,0.0,0.3,6.89
22,22,17949,Antonio Mirante,39, GK,193,79,11,11,0,990,0,0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,7.0
23,23,243516,Ante Coric,25, Midfielder,172,68,0(2),0,2,22,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.04
24,24,35954,Kevin Strootman,32, DMC,186,78,1,1,0,90,0,0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,7.09
25,25,41554,Robin Olsen,32, GK,198,89,27,27,0,2430,0,0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,6.54
