,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,shot_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,offsides_per_game,dispossessed_per_game,bad_control_per_game,rating
0,0,343308,Teun Koopmeiners,24," D(C),M(C)",183,77,8,8,0,720,4,1,1.9,1.5,0.6,1.0,0.0,1.0,1.4,7.43
1,1,299451,Ademola Lookman,24," AM(CLR),FW",174,71,4(4),4,4,377,2,1,1.1,1.0,0.8,1.0,0.5,1.1,0.9,6.64
2,2,405133,Giorgio Scalvini,18, D(C),0,0,2(3),2,3,190,1,0,0.4,0.0,0.4,0.0,0.0,0.0,0.4,6.67
3,3,362555,Merih Demiral,24, D(C),192,86,6(1),6,1,556,1,0,0.6,0.1,0.0,0.7,0.1,0.1,0.1,7.01
4,4,64075,Rafael Tolói,31, D(C),185,75,8,8,0,677,1,0,1.0,0.9,0.1,0.6,0.0,0.1,0.5,7.11
5,5,439584,Rasmus Højlund,19, Forward,185,79,2(3),2,3,220,1,1,0.4,0.8,0.4,0.6,0.2,1.2,3.0,6.55
6,6,295456,Ruslan Malinovskyi,29," M(CR),FW",181,79,4(4),4,4,300,1,1,1.1,0.9,0.3,0.9,0.0,0.5,1.3,6.6
7,7,100962,Berat Djimsiti,29, D(C),190,83,2,2,0,172,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.5
8,8,398300,Brandon Soppy,20," D(R),M(R)",0,0,4(1),4,1,323,0,1,1.0,0.4,0.6,2.4,0.0,0.8,2.0,6.41
9,9,141312,Davide Zappacosta,30," D(LR),M(LR)",185,70,2,2,0,92,0,0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,6.22
10,10,41073,Duván Zapata,31, FW,189,88,4,4,0,289,0,0,1.3,0.5,0.5,1.0,0.5,1.5,1.5,6.49
11,11,362556,Éderson,23, M(C),182,83,4(2),4,2,357,0,0,1.5,0.8,0.2,1.7,0.0,0.8,1.8,6.46
12,12,135890,Hans Hateboer,28," D(R),M(R)",185,72,7,7,0,601,0,0,0.1,1.0,0.0,0.1,0.0,0.4,0.7,6.63
13,13,280766,Jérémie Boga,25," AM(CLR),FW",172,68,0(2),0,2,26,0,0,0.5,0.5,1.0,0.5,0.0,0.0,1.5,6.28
14,14,363652,Joakim Maehle,25," D(LR),M(LR)",185,79,3(4),3,4,304,0,1,0.6,0.9,0.3,0.4,0.1,0.3,1.0,6.44
15,15,126278,Juan Musso,28, GK,191,93,7,7,0,548,0,0,0.0,0.1,0.0,0.4,0.0,0.0,0.1,6.6
16,16,84190,Luis Muriel,31," AM(CL),FW",179,79,3(3),3,3,301,0,1,0.8,1.3,0.8,0.7,0.2,1.3,1.3,6.51
17,17,95504,Marco Sportiello,30, GK,192,87,1(1),1,1,172,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7.49
18,18,129903,Mario Pasalic,27, M(CLR),188,82,4(3),4,3,377,0,1,0.7,0.3,0.1,0.7,0.1,1.1,0.9,6.55
19,19,85070,Marten de Roon,31," D(C),DMC",185,76,8,8,0,720,0,1,0.0,0.3,0.0,0.8,0.0,0.8,0.8,6.77
20,20,402046,Matteo Ruggeri,20, M(L),187,69,0(1),0,1,10,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.37
21,21,368312,Caleb Okoli,21, Defender,191,91,5(2),5,2,503,0,0,0.3,0.0,0.0,0.4,0.0,0.4,1.0,6.89
22,22,423508,Nadir Zortea,23, D(R),175,70,0(5),0,5,93,0,0,0.4,0.0,1.2,0.0,0.0,0.0,0.2,6.37
