,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,26,6099,Zvjezdan Misimovic,40.0," AM(C),FW",180.0,79.0,31,31.0,0,2768.0,13.0,3.3,51.1,77.5,2.5,5.7,0.5,7.74
1,27,11269,Christian Gentner,37.0, M(CLR),189.0,81.0,34,34.0,0,2795.0,7.0,1.7,40.5,78.6,0.9,3.3,0.3,7.22
2,28,24845,Edin Dzeko,36.0, FW,193.0,80.0,33(1),33.0,1,3003.0,7.0,1.1,19.5,70.7,0.2,1.1,0.1,7.73
3,29,5498,Sascha Riether,39.0, D(R),176.0,72.0,33,33.0,0,2965.0,6.0,1.0,50.5,82.5,0.7,6.0,0.1,6.94
4,30,16954,Makoto Hasebe,38.0," D(CR),M(CR)",180.0,72.0,19(5),19.0,5,1592.0,5.0,0.7,28.5,81.1,0.4,1.5,0.1,6.79
5,31,10154,Marcel Schäfer,38.0," D(L),M(L)",184.0,75.0,32,32.0,0,2731.0,4.0,1.2,39.8,81.2,1.2,1.8,0.0,6.71
6,32,15104,Grafite,43.0, FW,189.0,88.0,27(3),27.0,3,2466.0,3.0,0.9,18.6,65.2,0.1,0.4,0.2,7.08
7,33,21460,Karim Ziani,40.0, DMC,169.0,66.0,5(5),5.0,5,484.0,3.0,1.4,22.1,86.0,0.9,1.4,0.1,6.62
8,34,28800,Peter Pekarík,35.0," D(LR),M(R)",177.0,73.0,10(6),10.0,6,999.0,1.0,0.3,26.3,84.3,0.3,1.4,0.0,6.69
9,35,66696,Alexander Esswein,32.0," AM(CLR),FW",182.0,85.0,0(4),0.0,4,11.0,0.0,0.0,0.8,100.0,0.0,0.0,0.0,5.97
10,36,5630,Alexander Madlung,40.0, D(C),196.0,95.0,26(2),26.0,2,2393.0,0.0,0.2,41.2,78.2,0.0,6.7,0.0,6.65
11,37,4550,André Lenz,48.0, GK,191.0,92.0,7(1),7.0,1,686.0,0.0,0.0,22.5,67.8,0.0,7.6,0.0,6.72
12,38,6075,Andrea Barzagli,41.0, D(CR),187.0,87.0,24,24.0,0,2070.0,0.0,0.0,36.7,80.8,0.0,4.3,0.0,6.7
13,39,10249,Ashkan Dejagah,36.0, M(LR),181.0,77.0,4(20),4.0,20,648.0,0.0,0.5,13.8,84.0,0.3,0.7,0.0,6.43
14,40,2796,Cristian Zaccardo,40.0, D(CR),184.0,77.0,0(1),0.0,1,3.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,6.48
15,41,5763,Daniel Baier,38.0, M(C),176.0,75.0,0(1),0.0,1,1.0,0.0,0.0,3.0,66.7,0.0,0.0,0.0,6.0
16,42,10714,Diego Benaglio,39.0, GK,194.0,89.0,22,22.0,0,1924.0,0.0,0.0,22.3,62.1,0.0,6.3,0.0,6.94
17,43,30577,Fabian Johnson,34.0," D(LR),M(CLR)",183.0,74.0,4(6),4.0,6,493.0,0.0,0.3,22.7,80.2,0.3,0.7,0.1,6.53
18,44,30153,Jan Simunek,35.0, D(L),187.0,79.0,4(1),4.0,1,297.0,0.0,0.0,25.8,76.7,0.0,3.0,0.0,6.42
19,45,14173,Jonathan Santana,40.0, DMC,181.0,80.0,2(5),2.0,5,244.0,0.0,0.0,16.0,76.8,0.0,1.1,0.0,6.59
20,46,16315,Josué,43.0, M(C),170.0,66.0,31,31.0,0,2703.0,0.0,0.3,44.1,85.5,0.0,4.0,0.0,7.15
21,47,36152,Marwin Hitz,35.0, GK,194.0,89.0,5,5.0,0,450.0,0.0,0.0,21.4,67.3,0.0,7.2,0.0,6.85
22,48,5252,Obafemi Martins,37.0, FW,171.0,70.0,7(9),7.0,9,709.0,0.0,0.4,13.1,78.5,0.1,0.3,0.1,6.74
23,49,10110,Ricardo Costa,41.0, D(C),183.0,80.0,10(1),10.0,1,901.0,0.0,0.5,36.9,77.8,0.1,5.5,0.0,7.05
24,50,758,Sebastian Schindzielorz,43.0, Midfielder,180.0,74.0,1(1),1.0,1,64.0,0.0,0.5,8.5,82.4,0.5,0.5,0.0,6.24
25,51,3667,Thomas Kahlenberg,39.0, M(C),183.0,72.0,3(9),3.0,9,246.0,0.0,0.3,10.8,83.7,0.0,0.4,0.0,6.13
