,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,30,74016,Haris Seferovic,30.0," AM(LR),FW",189.0,85.0,25(4),25.0,4,2211.0,5.0,0.9,30.2,65.4,0.3,0.9,0.0,6.68
1,31,14166,Stefan Aigner,35.0," AM(CLR),FW",183.0,73.0,27(4),27.0,4,2405.0,3.0,0.8,22.6,72.0,0.4,0.5,0.0,6.63
2,32,71862,Aleksandar Ignjovski,31.0," D(LR),M(CLR)",177.0,71.0,13(5),13.0,5,1221.0,2.0,0.5,26.2,66.1,0.6,0.9,0.0,6.77
3,33,16954,Makoto Hasebe,38.0," D(CR),M(CR)",180.0,72.0,31(1),31.0,1,2674.0,2.0,0.9,39.7,75.7,0.2,2.0,0.0,6.72
4,34,35433,Marco Fabián,33.0," AM(CR),FW",170.0,64.0,9(2),9.0,2,802.0,2.0,1.8,36.6,78.9,1.1,1.2,0.0,6.71
5,35,13753,Marco Russ,37.0," D(C),DMC",190.0,88.0,26(2),26.0,2,2350.0,2.0,0.2,36.9,79.1,0.0,1.4,0.0,6.87
6,36,7421,Szabolcs Huszti,39.0, M(CLR),173.0,72.0,14(1),14.0,1,1184.0,2.0,2.2,39.1,75.6,1.5,1.3,0.0,7.02
7,37,5486,Alexander Meier,39.0," M(C),FW",196.0,96.0,19,19.0,0,1658.0,1.0,0.9,26.3,66.9,0.0,0.6,0.1,7.32
8,38,19956,Änis Ben-Hatira,34.0, M(CLR),183.0,82.0,7(2),7.0,2,608.0,1.0,0.4,17.2,69.0,0.3,0.7,0.0,6.69
9,39,31839,Johannes Flum,34.0," D(C),M(C)",190.0,82.0,1(4),1.0,4,137.0,1.0,0.4,15.2,69.7,0.0,0.6,0.0,6.24
10,40,82646,Luc Castaignos,30.0, FW,188.0,85.0,12(7),12.0,7,942.0,1.0,0.5,10.3,69.9,0.0,0.2,0.0,6.57
11,41,148484,Luca Waldschmidt,26.0," AM(CLR),FW",181.0,74.0,0(12),0.0,12,229.0,1.0,0.8,7.3,68.2,0.0,0.1,0.1,6.16
12,42,116466,Marc Stendera,26.0, M(C),173.0,72.0,24(2),24.0,2,2051.0,1.0,1.0,39.3,76.6,0.8,2.3,0.1,7.07
13,43,40942,Stefan Reinartz,33.0, M(C),189.0,87.0,14(1),14.0,1,1198.0,1.0,0.5,57.6,84.3,0.0,3.0,0.0,6.69
14,44,67925,Bastian Oczipka,33.0," D(CL),M(L)",185.0,85.0,30,30.0,0,2700.0,0.0,0.7,42.4,78.4,0.7,1.3,0.0,6.9
15,45,33134,Carlos Zambrano,33.0, D(C),185.0,77.0,21(3),21.0,3,1793.0,0.0,0.0,37.6,84.5,0.0,1.9,0.0,6.75
16,46,20151,Constant Djakpa,35.0, D(L),177.0,74.0,8(4),8.0,4,752.0,0.0,0.7,25.8,67.4,0.5,1.4,0.0,6.46
17,47,23199,David Abraham,36.0, D(C),188.0,83.0,28(3),28.0,3,2548.0,0.0,0.2,37.0,80.5,0.0,2.7,0.0,6.76
18,48,243758,David Kinsombi,26.0," D(C),M(C)",183.0,74.0,1(1),1.0,1,91.0,0.0,0.0,10.0,60.0,0.0,1.0,0.0,6.36
19,49,292096,Joel Gerezgiher,26.0, Midfielder,176.0,71.0,1(2),1.0,2,85.0,0.0,0.3,8.7,61.5,0.0,0.7,0.0,6.23
20,50,129171,Kaan Ayhan,27.0," D(CR),DMC",184.0,84.0,1(1),1.0,1,79.0,0.0,0.0,17.5,82.9,0.0,1.5,0.0,6.11
21,51,64846,Lukás Hrádecky,32.0, GK,192.0,83.0,34,34.0,0,3060.0,0.0,0.0,34.5,58.1,0.0,9.9,0.0,6.73
22,52,300318,Mijat Gacinovic,27.0, M(CLR),175.0,67.0,4(3),4.0,3,330.0,0.0,0.4,15.3,65.4,0.4,0.4,0.0,6.35
23,53,301109,Nico Rinderknecht,24.0, Midfielder,184.0,79.0,0(1),0.0,1,5.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,5.9
24,54,63012,Slobodan Medojevic,31.0, DMC,182.0,77.0,6(8),6.0,8,556.0,0.0,0.1,17.9,78.4,0.0,0.4,0.0,6.23
25,55,90966,Sonny Kittel,29.0," AM(CLR),FW",179.0,71.0,1(7),1.0,7,272.0,0.0,0.1,10.6,69.4,0.3,0.1,0.0,6.09
26,56,38820,Takashi Inui,34.0, AM(CLR),169.0,63.0,1,1.0,0,46.0,0.0,1.0,9.0,66.7,1.0,1.0,0.0,6.22
27,57,69467,Timothy Chandler,32.0," D(R),M(LR)",187.0,84.0,5(7),5.0,7,665.0,0.0,0.1,17.8,67.8,0.5,0.5,0.0,6.34
28,58,69477,Václav Kadlec,30.0," AM(R),FW",181.0,77.0,2(3),2.0,3,110.0,0.0,0.0,3.2,81.3,0.0,0.2,0.0,6.07
29,59,297236,Yanni Regäsel,26.0, D(R),176.0,72.0,9(1),9.0,1,812.0,0.0,0.5,27.0,74.4,0.2,1.4,0.0,6.35
