,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,141556,Julian Brandt,26.0," M(CLR),FW",185.0,83.0,25(7),25.0,7,2306.0,8.0,1.6,33.9,77.7,0.3,1.0,0.1,6.95
1,25,91060,Karim Bellarabi,32.0," M(CLR),FW",184.0,81.0,14(2),14.0,2,1119.0,6.0,1.1,25.0,72.3,0.3,0.7,0.1,6.93
2,26,110373,Hakan Çalhanoglu,28.0," M(CLR),FW",178.0,76.0,14(1),14.0,1,1217.0,5.0,1.9,51.5,77.6,1.2,3.0,0.1,7.49
3,27,326413,Kai Havertz,23.0," M(CR),FW",188.0,83.0,15(9),15.0,9,1451.0,5.0,0.8,30.6,73.7,0.2,0.8,0.0,6.96
4,28,35003,Chicharito,34.0, FW,175.0,73.0,20(6),20.0,6,1815.0,3.0,0.8,17.9,73.4,0.0,0.5,0.0,6.89
5,29,296769,Benjamin Henrichs,25.0," D(LR),DMC,M(LR)",183.0,79.0,27(2),27.0,2,2427.0,2.0,0.6,42.8,75.9,0.3,1.7,0.0,7.06
6,30,25657,Charles Aránguiz,33.0, M(C),171.0,68.0,22(4),22.0,4,1822.0,2.0,0.7,41.9,79.6,0.2,2.8,0.1,6.66
7,31,80994,Kevin Kampl,31.0, M(CLR),178.0,66.0,28(2),28.0,2,2539.0,2.0,1.3,58.8,83.8,0.3,3.7,0.1,6.94
8,32,92812,Kevin Volland,30.0," AM(CLR),FW",179.0,85.0,16(7),16.0,7,1472.0,2.0,1.1,19.0,68.5,0.2,0.4,0.0,6.71
9,33,132273,Wendell,29.0," D(CL),M(L)",178.0,72.0,27(5),27.0,5,2529.0,2.0,0.8,46.3,79.9,0.4,1.5,0.0,7.01
10,34,40560,Aleksandar Dragovic,31.0, D(CR),186.0,84.0,15(4),15.0,4,1258.0,1.0,0.2,37.3,84.6,0.0,2.6,0.0,6.6
11,35,94934,Danny da Costa,29.0," D(R),M(R)",187.0,87.0,1(2),1.0,2,110.0,1.0,0.3,25.3,73.7,0.3,0.7,0.3,6.62
12,36,134946,Jonathan Tah,26.0, D(C),195.0,98.0,16(3),16.0,3,1637.0,1.0,0.2,52.2,82.9,0.0,2.9,0.0,6.92
13,37,27124,Julian Baumgartlinger,34.0, DMC,181.0,85.0,19(3),19.0,3,1566.0,1.0,0.6,42.7,86.3,0.0,2.0,0.1,6.71
14,38,29940,Lars Bender,33.0," D(CR),M(CR)",185.0,78.0,9,9.0,0,610.0,1.0,0.8,33.8,76.6,0.1,1.2,0.1,6.91
15,39,8096,Stefan Kießling,38.0, FW,191.0,81.0,6(14),6.0,14,749.0,1.0,0.4,12.2,65.0,0.0,0.2,0.0,6.62
16,40,41881,Admir Mehmedi,31.0," M(CLR),FW",183.0,78.0,16(6),16.0,6,1264.0,0.0,0.5,20.7,75.6,0.1,0.2,0.0,6.52
17,41,92173,Bernd Leno,30.0, GK,189.0,82.0,34,34.0,0,3060.0,0.0,0.0,29.4,65.2,0.0,7.5,0.0,6.58
18,42,139623,Joel Pohjanpalo,28.0, FW,186.0,83.0,1(10),1.0,10,185.0,0.0,0.4,4.5,63.3,0.0,0.0,0.0,6.66
19,43,327682,Leon Bailey,25.0," M(CLR),FW",178.0,77.0,0(8),0.0,8,133.0,0.0,0.4,5.1,65.9,0.1,0.0,0.0,6.32
20,44,43589,Ömer Toprak,33.0, D(C),186.0,83.0,25,25.0,0,2104.0,0.0,0.1,50.1,84.4,0.0,3.2,0.0,6.72
21,45,6624,Roberto Hilbert,37.0," D(R),M(R)",182.0,80.0,7,7.0,0,586.0,0.0,1.3,35.6,70.7,1.3,3.6,0.0,7.06
22,46,125095,Tin Jedvaj,26.0, D(CLR),185.0,81.0,16(2),16.0,2,1423.0,0.0,0.1,37.0,73.3,0.0,3.0,0.0,6.72
23,47,101112,Vladlen Yurchenko,28.0, M(C),181.0,74.0,1(2),1.0,2,146.0,0.0,0.3,37.7,81.4,0.0,7.0,0.3,6.74
