,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,29,300945,Christopher Nkunku,24.0," M(CLR),FW",175.0,73.0,31(3),31.0,3,2735.0,13.0,1.9,28.2,81.8,0.6,0.6,0.2,7.64
1,30,369875,Dominik Szoboszlai,21.0, AM(CLR),186.0,74.0,15(16),15.0,16,1538.0,8.0,1.3,27.5,81.0,1.2,1.0,0.1,6.82
2,31,255089,Angeliño,25.0," D(L),M(L)",175.0,69.0,26(3),26.0,3,2299.0,5.0,1.8,38.4,76.7,2.0,2.0,0.0,6.95
3,32,248010,Konrad Laimer,25.0," D(R),M(CR)",180.0,72.0,15(11),15.0,11,1246.0,4.0,0.7,26.6,80.3,0.1,0.9,0.1,6.67
4,33,299460,André Silva,26.0, FW,185.0,84.0,24(9),24.0,9,2081.0,3.0,0.5,16.7,73.1,0.1,0.1,0.0,6.74
5,34,296769,Benjamin Henrichs,25.0," D(LR),DMC,M(LR)",183.0,79.0,12(10),12.0,10,1138.0,3.0,0.6,27.2,79.8,0.2,0.5,0.1,6.69
6,35,261212,Dani Olmo,24.0," AM(CLR),FW",179.0,72.0,7(12),7.0,12,740.0,3.0,0.6,18.1,78.4,0.2,0.5,0.1,6.71
7,36,299077,Nordi Mukiele,24.0," D(CR),M(R)",187.0,84.0,21(7),21.0,7,1846.0,3.0,0.5,34.6,74.0,0.3,1.3,0.0,6.75
8,37,404568,Brian Brobbey,20.0, FW,180.0,78.0,1(8),1.0,8,124.0,2.0,0.3,3.4,90.3,0.0,0.1,0.0,6.17
9,38,141716,Emil Forsberg,30.0," AM(CLR),FW",177.0,76.0,20(11),20.0,11,1709.0,2.0,0.8,23.3,84.3,0.4,0.4,0.2,6.58
10,39,402664,Josko Gvardiol,20.0, D(CL),185.0,80.0,28(1),28.0,1,2413.0,2.0,0.4,70.6,84.0,0.1,3.4,0.3,7.04
11,40,298837,Amadou Haidara,24.0, M(CLR),175.0,72.0,15(5),15.0,5,1327.0,1.0,0.4,38.7,84.1,0.1,1.6,0.1,6.82
12,41,80994,Kevin Kampl,31.0, M(CLR),178.0,66.0,25(2),25.0,2,1913.0,1.0,0.6,55.3,91.4,0.1,1.7,0.1,6.58
13,42,143600,Lukas Klostermann,26.0," D(CLR),M(R)",187.0,88.0,17(6),17.0,6,1648.0,1.0,0.2,45.4,86.2,0.0,2.0,0.0,6.69
14,43,315275,Tyler Adams,23.0," D(R),M(CR)",175.0,72.0,12(12),12.0,12,1345.0,1.0,0.3,37.4,87.1,0.0,1.0,0.0,6.41
15,44,104917,Willi Orbán,29.0, D(C),186.0,87.0,30,30.0,0,2646.0,1.0,0.2,67.8,89.2,0.0,2.1,0.0,7.06
16,45,262854,Hwang Hee-Chan,26.0," AM(CLR),FW",177.0,77.0,0(2),0.0,2,47.0,0.0,0.0,4.0,87.5,0.0,0.0,0.0,6.25
17,46,397893,Hugo Novoa,19.0, Forward,182.0,70.0,1(7),1.0,7,130.0,0.0,0.3,5.4,62.8,0.0,0.0,0.0,6.21
18,47,397894,Joscha Wosz,20.0, Midfielder,174.0,68.0,0(1),0.0,1,8.0,0.0,0.0,4.0,75.0,0.0,0.0,0.0,5.95
19,48,321236,Josep Martínez,24.0, Goalkeeper,191.0,78.0,1,1.0,0,90.0,0.0,0.0,20.0,85.0,0.0,3.0,0.0,5.86
20,49,115161,Marcel Halstenberg,31.0," D(CL),M(L)",188.0,87.0,5(3),5.0,3,506.0,0.0,0.5,49.3,87.3,0.5,1.9,0.0,6.93
21,50,92051,Marcel Sabitzer,28.0," M(CLR),FW",178.0,76.0,0(2),0.0,2,47.0,0.0,0.0,22.5,82.2,0.0,2.5,0.0,6.19
22,51,372855,Mohamed Simakan,22.0, D(CR),187.0,82.0,23(5),23.0,5,2013.0,0.0,0.3,49.5,86.6,0.0,1.9,0.0,6.88
23,52,409030,Ilaix Moriba,19.0, M(C),185.0,73.0,0(2),0.0,2,30.0,0.0,0.0,10.5,81.0,0.0,0.5,0.0,6.07
24,53,67369,Péter Gulácsi,32.0, GK,191.0,86.0,33,33.0,0,2967.0,0.0,0.0,30.7,77.9,0.0,5.1,0.0,6.58
25,54,18929,Philipp Tschauner,36.0, GK,196.0,100.0,0(1),0.0,1,3.0,0.0,0.0,5.0,80.0,0.0,2.0,0.0,6.05
26,55,415929,Sidney Raebiger,17.0, Midfielder,176.0,70.0,0(1),0.0,1,3.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,5.98
27,56,428658,Solomon Bonnah,19.0, Defender,0.0,0.0,0(1),0.0,1,6.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,6.11
28,57,132943,Yussuf Poulsen,28.0," AM(R),FW",192.0,84.0,12(13),12.0,13,1078.0,0.0,0.3,12.4,66.3,0.0,0.3,0.1,6.55
