,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,25,3859,Wayne Rooney,36.0," M(CLR),FW",176.0,83.0,22(5),22.0,5,2019.0,10.0,1.8,45.9,82.9,0.6,3.7,0.3,7.27
1,26,4564,Robin van Persie,39.0," AM(C),FW",183.0,71.0,35(3),35.0,3,3123.0,9.0,1.9,26.8,80.4,1.1,1.1,0.1,7.71
2,27,18296,Antonio Valencia,37.0," D(R),M(R)",180.0,83.0,24(6),24.0,6,2212.0,5.0,1.4,35.9,84.2,1.3,0.8,0.0,7.0
3,28,6410,Patrice Evra,41.0," D(CL),M(L)",174.0,75.0,34,34.0,0,3060.0,5.0,0.7,41.8,87.1,0.6,1.1,0.0,7.31
4,29,39308,Danny Welbeck,31.0," AM(CLR),FW",185.0,73.0,13(14),13.0,14,1288.0,4.0,0.8,18.8,86.8,0.1,0.4,0.0,6.71
5,30,2115,Michael Carrick,41.0," D(C),M(C)",188.0,74.0,34(2),34.0,2,3045.0,4.0,1.0,77.1,88.0,0.2,5.8,0.1,7.09
6,31,8166,Ashley Young,37.0," D(LR),M(LR)",175.0,65.0,17(2),17.0,2,1375.0,3.0,1.8,35.3,83.5,1.2,1.4,0.1,6.99
7,32,35003,Chicharito,34.0, FW,175.0,73.0,9(13),9.0,13,949.0,3.0,0.6,12.2,82.1,0.1,0.4,0.0,6.81
8,33,4092,Rafael,32.0," D(LR),M(R)",172.0,78.0,27(1),27.0,1,2317.0,3.0,0.9,43.2,84.5,0.7,1.1,0.0,7.36
9,34,77,Ryan Giggs,48.0, M(CL),180.0,68.0,12(10),12.0,10,1162.0,3.0,1.1,28.9,81.3,0.6,1.4,0.1,6.74
10,35,42862,Shinji Kagawa,33.0, M(CL),175.0,68.0,17(3),17.0,3,1325.0,3.0,1.0,41.7,89.7,0.3,1.5,0.3,6.91
11,36,19104,Nani,35.0," M(CLR),FW",178.0,66.0,7(4),7.0,4,631.0,2.0,1.0,24.3,79.4,0.7,0.3,0.1,6.71
12,37,69956,Tom Cleverley,33.0, M(CLR),175.0,67.0,18(4),18.0,4,1456.0,2.0,0.9,48.9,90.2,0.2,3.0,0.0,6.83
13,38,38147,Alexander Büttner,33.0," D(L),M(L)",174.0,75.0,4(1),4.0,1,382.0,1.0,0.4,34.0,82.4,0.2,1.0,0.0,7.34
14,39,21723,Anderson,34.0, M(CR),176.0,69.0,9(8),9.0,8,824.0,1.0,0.8,37.8,86.4,0.1,3.9,0.0,6.68
15,40,22079,Jonny Evans,34.0, D(CL),188.0,77.0,21(2),21.0,2,1903.0,1.0,0.3,48.9,89.3,0.0,3.7,0.0,7.24
16,41,11,Paul Scholes,47.0, M(C),168.0,70.0,8(8),8.0,8,769.0,1.0,0.5,53.5,92.4,0.0,7.9,0.0,6.51
17,42,81726,Phil Jones,30.0," D(CR),DMC",180.0,71.0,13(4),13.0,4,1206.0,1.0,0.5,34.8,85.3,0.3,2.0,0.0,6.81
18,43,928,Rio Ferdinand,43.0, D(C),189.0,82.0,26(2),26.0,2,2324.0,1.0,0.2,46.4,89.6,0.0,5.0,0.0,6.99
19,44,10620,Anders Lindegaard,38.0, GK,193.0,80.0,10,10.0,0,900.0,0.0,0.1,21.8,72.0,0.0,4.4,0.0,6.27
20,45,71345,Chris Smalling,32.0, D(CR),194.0,81.0,10(5),10.0,5,1013.0,0.0,0.1,30.2,85.0,0.3,1.8,0.0,6.85
21,46,5835,Darren Fletcher,38.0, M(C),183.0,83.0,2(1),2.0,1,181.0,0.0,0.7,60.0,87.8,0.0,5.7,0.0,6.89
22,47,79554,David de Gea,31.0, GK,192.0,76.0,28,28.0,0,2520.0,0.0,0.0,23.5,54.8,0.0,6.1,0.0,6.86
23,48,9685,Nemanja Vidic,40.0, D(C),189.0,84.0,18(1),18.0,1,1619.0,0.0,0.1,41.5,87.4,0.1,4.3,0.0,7.39
24,49,90211,Nick Powell,28.0," AM(CLR),FW",183.0,65.0,0(2),0.0,2,29.0,0.0,0.0,11.0,77.3,0.0,0.5,0.0,6.82
