,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,30,26820,Aaron Ramsey,31.0, M(CLR),178.0,76.0,21(3),21.0,3,1848.0,8.0,1.2,51.6,84.9,0.1,1.8,0.2,7.27
1,31,13756,Mesut Özil,33.0, M(CLR),180.0,76.0,24(2),24.0,2,2164.0,8.0,3.2,69.6,86.5,1.0,2.2,0.3,7.25
2,32,89401,Granit Xhaka,30.0," D(L),M(C)",186.0,80.0,37(1),37.0,1,3266.0,7.0,1.0,82.0,86.9,0.8,4.9,0.1,7.02
3,33,136824,Alex Iwobi,26.0, M(CLR),180.0,75.0,22(4),22.0,4,1844.0,5.0,1.4,43.7,86.6,0.1,1.1,0.3,6.88
4,34,73078,Alexandre Lacazette,31.0," M(CLR),FW",175.0,73.0,26(6),26.0,6,2212.0,4.0,1.1,22.6,76.7,0.1,0.3,0.0,7.09
5,35,28421,Henrikh Mkhitaryan,33.0," M(CLR),FW",177.0,75.0,9(2),9.0,2,797.0,4.0,1.5,40.8,77.7,0.5,0.8,0.4,7.35
6,36,44120,Pierre-Emerick Aubameyang,33.0," M(CLR),FW",187.0,80.0,12(1),12.0,1,1058.0,4.0,1.0,24.4,69.4,0.2,0.4,0.0,7.33
7,37,110260,Sead Kolasinac,29.0," D(CL),DMC,M(L)",183.0,85.0,25(2),25.0,2,2152.0,4.0,0.7,47.0,80.1,0.2,0.9,0.0,6.92
8,38,25244,Alexis Sánchez,33.0," M(CLR),FW",169.0,62.0,17(2),17.0,2,1508.0,3.0,2.7,45.9,72.4,0.5,2.6,0.4,7.33
9,39,125211,Héctor Bellerín,27.0," D(R),M(R)",178.0,74.0,34(1),34.0,1,3051.0,3.0,0.9,52.6,84.9,0.3,0.9,0.0,6.79
10,40,42686,Jack Wilshere,30.0, M(CLR),172.0,68.0,12(8),12.0,8,1188.0,3.0,0.8,40.4,86.4,0.1,1.2,0.1,6.82
11,41,39308,Danny Welbeck,31.0," AM(CLR),FW",185.0,73.0,12(16),12.0,16,1185.0,2.0,0.5,14.0,79.8,0.0,0.0,0.0,6.52
12,42,23072,Nacho Monreal,36.0," D(CL),M(L)",179.0,72.0,26(2),26.0,2,2244.0,2.0,0.5,61.4,89.5,0.2,1.6,0.0,7.13
13,43,125209,Mohamed Elneny,30.0, DMC,179.0,72.0,11(2),11.0,2,870.0,1.0,0.8,64.4,93.7,0.0,1.8,0.1,6.47
14,44,80921,Shkodran Mustafi,30.0, D(CR),184.0,82.0,25(2),25.0,2,2274.0,1.0,0.3,64.2,86.2,0.1,2.7,0.0,7.38
15,45,255169,Ainsley Maitland-Niles,25.0," D(LR),M(CLR)",177.0,71.0,8(7),8.0,7,909.0,0.0,0.5,35.7,85.3,0.3,1.5,0.0,6.65
16,46,84146,Alex Oxlade Chamberlain,29.0, M(CLR),180.0,70.0,3,3.0,0,242.0,0.0,1.7,41.0,84.6,1.3,3.3,0.0,7.81
17,47,124316,Calum Chambers,27.0," D(CR),DMC",182.0,66.0,10(2),10.0,2,869.0,0.0,0.2,50.0,83.3,0.1,2.6,0.0,6.77
18,48,36745,David Ospina,34.0, GK,183.0,80.0,4(1),4.0,1,380.0,0.0,0.0,23.4,69.2,0.0,4.4,0.0,6.95
19,49,345845,Eddie Nketiah,23.0, FW,175.0,72.0,0(3),0.0,3,17.0,0.0,0.0,2.3,85.7,0.0,0.0,0.0,6.05
20,50,69738,Francis Coquelin,31.0, M(CLR),176.0,74.0,1(6),1.0,6,157.0,0.0,0.1,13.7,82.3,0.0,1.0,0.0,6.13
21,51,342563,Joe Willock,23.0, M(C),179.0,71.0,1(1),1.0,1,82.0,0.0,0.0,20.0,77.5,0.0,0.5,0.0,6.04
22,52,351127,Konstantinos Mavropanos,24.0, D(C),194.0,94.0,3,3.0,0,195.0,0.0,0.0,34.3,88.3,0.0,2.0,0.0,6.3
23,53,30051,Laurent Koscielny,37.0, D(C),186.0,75.0,25,25.0,0,2227.0,0.0,0.3,69.8,89.0,0.0,4.4,0.0,7.08
24,54,24444,Olivier Giroud,36.0, FW,192.0,93.0,1(15),1.0,15,375.0,0.0,0.4,8.5,69.9,0.1,0.1,0.1,6.46
25,55,6292,Per Mertesacker,38.0, D(C),198.0,90.0,4(2),4.0,2,365.0,0.0,0.0,41.2,91.5,0.0,1.2,0.0,6.67
26,56,6775,Petr Cech,40.0, GK,196.0,90.0,34,34.0,0,3040.0,0.0,0.0,23.9,65.4,0.0,5.4,0.0,6.75
27,57,342564,Reiss Nelson,22.0, M(LR),175.0,71.0,2(1),2.0,1,146.0,0.0,0.3,26.3,92.4,0.0,0.3,0.0,6.44
28,58,288795,Rob Holding,27.0, D(CR),189.0,81.0,9(3),9.0,3,820.0,0.0,0.2,50.3,84.6,0.0,2.5,0.0,6.69
29,59,13796,Theo Walcott,33.0," M(CLR),FW",176.0,68.0,0(6),0.0,6,64.0,0.0,0.0,3.2,73.7,0.0,0.2,0.0,6.09
