,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,318871,Trent Alexander-Arnold,23.0," D(R),M(R)",175.0,69.0,35(3),35.0,3,3176.0,13.0,2.3,64.2,76.7,2.1,5.1,0.0,7.2
1,25,115726,Andrew Robertson,28.0," D(L),M(L)",178.0,64.0,34(2),34.0,2,3114.0,12.0,1.7,69.2,83.7,1.1,2.3,0.0,7.11
2,26,108226,Mohamed Salah,30.0," AM(CLR),FW",175.0,71.0,33(1),33.0,1,2888.0,10.0,1.8,28.8,76.5,0.3,0.4,0.1,7.4
3,27,96182,Roberto Firmino,31.0," M(CLR),FW",181.0,76.0,34(4),34.0,4,3003.0,8.0,1.4,30.6,79.6,0.1,0.7,0.0,7.14
4,28,109915,Sadio Mané,30.0," AM(CLR),FW",175.0,69.0,31(4),31.0,4,2756.0,7.0,1.7,31.5,81.6,0.3,1.0,0.1,7.45
5,29,68659,Jordan Henderson,32.0," D(C),M(CLR)",182.0,67.0,26(4),26.0,4,2244.0,5.0,0.9,61.9,84.5,0.3,4.2,0.1,7.15
6,30,115916,Fabinho,28.0," D(CR),DMC",188.0,78.0,22(6),22.0,6,2075.0,3.0,0.7,56.4,87.0,0.1,2.9,0.0,6.89
7,31,243510,Naby Keïta,27.0, M(C),172.0,64.0,9(9),9.0,9,814.0,3.0,0.8,37.7,88.8,0.0,0.8,0.2,6.94
8,32,4511,James Milner,36.0," D(LR),M(CLR)",175.0,70.0,9(13),9.0,13,927.0,2.0,0.5,34.0,87.0,0.1,2.2,0.1,6.56
9,33,21683,Adam Lallana,34.0, M(CLR),172.0,73.0,3(12),3.0,12,374.0,1.0,0.3,17.7,85.7,0.0,0.3,0.0,6.34
10,34,84146,Alex Oxlade Chamberlain,29.0, M(CLR),180.0,70.0,17(13),17.0,13,1493.0,1.0,0.6,23.4,83.2,0.2,1.4,0.0,6.63
11,35,114147,Alisson,30.0, GK,191.0,91.0,29,29.0,0,2545.0,1.0,0.0,27.8,84.6,0.0,4.0,0.0,6.62
12,36,29106,Dejan Lovren,33.0, D(C),188.0,84.0,9(1),9.0,1,777.0,1.0,0.1,68.0,83.2,0.0,2.8,0.1,7.09
13,37,124688,Divock Origi,27.0," AM(LR),FW",185.0,75.0,7(21),7.0,21,706.0,1.0,0.3,7.0,70.9,0.1,0.2,0.0,6.42
14,38,95408,Virgil van Dijk,31.0, D(C),193.0,92.0,38,38.0,0,3420.0,1.0,0.2,85.8,89.1,0.0,5.4,0.1,7.32
15,39,73399,Adrián,35.0, GK,190.0,80.0,9(2),9.0,2,873.0,0.0,0.0,23.6,71.9,0.0,4.5,0.0,6.33
16,40,355354,Curtis Jones,21.0, AM(C),185.0,75.0,1(5),1.0,5,122.0,0.0,0.0,20.5,87.0,0.0,0.5,0.0,6.47
17,41,33568,Georginio Wijnaldum,31.0, M(CLR),175.0,69.0,35(2),35.0,2,2948.0,0.0,0.5,43.9,90.8,0.0,1.1,0.0,6.81
18,42,363982,Harvey Elliott,19.0, AM(CR),170.0,0.0,0(2),0.0,2,7.0,0.0,0.0,5.5,90.9,0.0,0.5,0.0,6.1
19,43,136451,Joe Gomez,25.0, D(CLR),188.0,77.0,22(6),22.0,6,2000.0,0.0,0.2,71.0,88.0,0.1,3.7,0.0,6.78
20,44,74341,Joël Matip,31.0, D(C),195.0,90.0,8(1),8.0,1,704.0,0.0,0.1,61.4,84.3,0.0,2.9,0.0,7.29
21,45,386969,Neco Williams,21.0," D(R),M(LR)",183.0,72.0,3(3),3.0,3,231.0,0.0,0.3,27.8,80.8,0.7,1.8,0.2,6.64
22,46,262838,Takumi Minamino,27.0," AM(CLR),FW",174.0,68.0,2(8),2.0,8,243.0,0.0,0.1,10.6,89.6,0.1,0.2,0.0,6.18
23,47,76304,Xherdan Shaqiri,30.0, M(CLR),169.0,72.0,2(5),2.0,5,182.0,0.0,0.4,13.9,83.5,0.4,1.1,0.0,6.34
