,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,73084,Kevin De Bruyne,31.0," M(CLR),FW",181.0,68.0,23(2),23.0,2,2001.0,12.0,3.2,50.6,81.7,1.6,2.6,0.2,7.65
1,25,97692,Raheem Sterling,27.0," M(CLR),FW",170.0,69.0,28(3),28.0,3,2537.0,7.0,1.3,35.9,86.2,0.0,0.3,0.0,7.22
2,26,136741,Bernardo Silva,28.0," M(CLR),FW",173.0,64.0,24(2),24.0,2,2071.0,6.0,1.0,52.8,91.8,0.1,1.9,0.0,7.07
3,27,104749,Riyad Mahrez,31.0," AM(CLR),FW",179.0,67.0,23(4),23.0,4,1955.0,6.0,1.6,37.2,88.4,0.7,0.9,0.0,7.31
4,28,331254,Phil Foden,22.0," AM(CLR),FW",171.0,70.0,17(11),17.0,11,1614.0,5.0,1.3,27.2,88.2,0.5,0.3,0.0,7.14
5,29,279379,Gabriel Jesus,25.0," AM(LR),FW",175.0,73.0,22(7),22.0,7,2060.0,4.0,1.1,25.2,85.0,0.1,0.4,0.0,7.11
6,30,128967,João Cancelo,28.0," D(LR),M(R)",182.0,74.0,27(1),27.0,1,2302.0,3.0,1.6,66.2,87.1,0.4,2.4,0.1,7.31
7,31,19119,Fernandinho,37.0," D(CR),DMC",179.0,67.0,12(9),12.0,9,1185.0,2.0,0.7,48.3,87.2,0.0,2.2,0.0,6.81
8,32,349760,Ferran Torres,22.0," AM(LR),FW",184.0,77.0,15(9),15.0,9,1306.0,2.0,0.8,16.9,85.2,0.1,0.4,0.0,6.76
9,33,77464,Ilkay Gündogan,31.0, M(C),180.0,80.0,23(5),23.0,5,2031.0,2.0,1.5,61.2,91.7,0.3,1.6,0.0,7.29
10,34,303139,Rodri,26.0, DMC,191.0,82.0,31(3),31.0,3,2749.0,2.0,1.0,81.9,91.3,0.1,4.6,0.0,7.17
11,35,105962,Benjamin Mendy,28.0," D(L),DMC,M(L)",185.0,85.0,11(2),11.0,2,955.0,1.0,0.4,42.5,83.9,0.3,1.1,0.0,6.63
12,36,121774,Ederson,29.0, GK,188.0,86.0,36,36.0,0,3240.0,1.0,0.0,26.6,81.2,0.0,4.4,0.0,6.61
13,37,69778,Kyle Walker,32.0," D(CR),M(R)",178.0,70.0,22(2),22.0,2,1947.0,1.0,0.3,72.2,90.2,0.1,3.7,0.0,6.77
14,38,14260,Sergio Agüero,34.0," AM(CL),FW",173.0,70.0,7(5),7.0,5,559.0,1.0,0.6,14.3,80.7,0.1,0.2,0.0,6.64
15,39,122117,Aymeric Laporte,28.0, D(CL),191.0,86.0,14(2),14.0,2,1343.0,0.0,0.3,79.6,91.1,0.0,2.9,0.0,6.76
16,40,368091,Eric García,21.0, D(C),182.0,76.0,3(3),3.0,3,382.0,0.0,0.2,56.5,95.3,0.0,1.7,0.0,6.15
17,41,101374,John Stones,28.0, D(CR),188.0,70.0,22,22.0,0,1934.0,0.0,0.1,78.5,93.3,0.0,2.8,0.0,7.03
18,42,401254,Liam Delap,19.0, FW,0.0,0.0,0(1),0.0,1,39.0,0.0,0.0,6.0,83.3,0.0,0.0,0.0,5.94
19,43,122945,Nathan Aké,27.0," D(CL),DMC",180.0,75.0,9(1),9.0,1,797.0,0.0,0.1,75.1,93.1,0.0,1.4,0.0,6.57
20,44,273257,Oleksandr Zinchenko,25.0," D(L),M(CLR)",175.0,64.0,15(5),15.0,5,1474.0,0.0,0.8,68.4,89.8,0.3,1.5,0.0,6.84
21,45,313171,Rúben Dias,25.0, D(C),186.0,76.0,32,32.0,0,2845.0,0.0,0.1,84.8,93.2,0.0,3.4,0.0,6.91
22,46,8155,Scott Carson,37.0, GK,188.0,85.0,1,1.0,0,90.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,6.94
23,47,145473,Zack Steffen,27.0, GK,191.0,86.0,1,1.0,0,90.0,0.0,0.0,26.0,80.8,0.0,1.0,0.0,6.07
