,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,20,355855,Dejan Kulusevski,22.0," AM(CR),FW",186.0,80.0,6(1),6.0,1,503.0,3.0,1.7,23.0,85.1,0.6,0.4,0.1,6.86
1,21,70524,Ivan Perisic,33.0," M(CLR),FW",186.0,80.0,5(3),5.0,3,408.0,3.0,1.5,17.1,77.4,1.9,0.8,0.0,6.67
2,22,317804,Richarlison,25.0," AM(CLR),FW",184.0,83.0,3(4),3.0,4,297.0,2.0,1.1,13.7,75.0,0.3,0.6,0.1,6.64
3,23,103837,Ben Davies,29.0," D(CL),M(L)",181.0,76.0,5,5.0,0,446.0,1.0,0.8,49.2,85.4,0.4,2.8,0.0,6.91
4,24,328512,Emerson Royal,23.0," D(R),M(R)",181.0,79.0,7(1),7.0,1,626.0,1.0,0.3,34.8,83.5,0.5,1.3,0.0,6.79
5,25,83532,Harry Kane,29.0," AM(C),FW",188.0,86.0,8,8.0,0,708.0,1.0,2.0,23.8,75.8,0.4,2.3,0.0,7.56
6,26,91909,Son Heung-Min,30.0," M(CLR),FW",183.0,78.0,7(1),7.0,1,595.0,1.0,1.8,19.6,78.3,0.9,0.6,0.0,7.07
7,27,101859,Pierre-Emile Højbjerg,27.0, M(C),187.0,84.0,8,8.0,0,705.0,1.0,1.1,61.6,90.5,0.1,4.4,0.4,7.38
8,28,303657,Rodrigo Bentancur,25.0, M(C),187.0,72.0,7,7.0,0,615.0,1.0,0.6,49.6,87.6,0.0,1.6,0.0,7.19
9,29,236511,Clément Lenglet,27.0, D(C),186.0,81.0,3(1),3.0,1,255.0,0.0,0.0,34.0,87.5,0.3,1.3,0.0,6.29
10,30,323663,Cristian Romero,24.0, D(C),185.0,79.0,4(1),4.0,1,391.0,0.0,0.0,45.6,87.3,0.0,3.4,0.0,6.69
11,31,322655,Davinson Sánchez,26.0, D(C),187.0,81.0,4(1),4.0,1,348.0,0.0,0.0,45.8,86.5,0.0,0.8,0.0,6.82
12,32,362219,Djed Spence,22.0," D(R),M(R)",185.0,0.0,0(1),0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
13,33,117973,Eric Dier,28.0," D(CR),DMC",188.0,88.0,8,8.0,0,720.0,0.0,0.3,64.3,88.1,0.0,5.9,0.0,6.85
14,34,25604,Hugo Lloris,35.0, GK,188.0,82.0,8,8.0,0,720.0,0.0,0.0,28.1,79.1,0.0,5.0,0.0,6.69
15,35,92508,Lucas Moura,30.0," AM(CLR),FW",172.0,72.0,0(2),0.0,2,12.0,0.0,0.0,3.5,85.7,0.0,0.0,0.0,6.25
16,36,94042,Matt Doherty,30.0," D(LR),M(LR)",185.0,80.0,0(2),0.0,2,22.0,0.0,0.0,4.5,44.4,0.0,0.0,0.0,5.89
17,37,364215,Oliver Skipp,22.0, DMC,175.0,70.0,0(1),0.0,1,16.0,0.0,0.0,5.0,60.0,0.0,0.0,0.0,6.26
18,38,322611,Ryan Sessegnon,22.0," D(L),M(LR)",178.0,70.0,4(3),4.0,3,352.0,0.0,0.1,18.3,70.3,0.0,0.3,0.0,6.49
19,39,303096,Yves Bissouma,26.0, M(C),182.0,80.0,1(6),1.0,6,155.0,0.0,0.3,18.1,90.6,0.0,0.6,0.0,6.23
