,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,11119,Lionel Messi,35.0," AM(CR),FW",170.0,72.0,37(1),37.0,1,3375.0,18.0,2.5,61.4,82.9,0.5,2.7,0.9,8.84
1,25,22221,Luis Suárez,35.0," AM(CLR),FW",182.0,86.0,25(2),25.0,2,2180.0,14.0,2.2,27.4,77.2,0.4,0.6,0.2,7.69
2,26,2302,Xavi,42.0, DMC,170.0,68.0,19(12),19.0,12,1779.0,8.0,1.7,57.5,92.7,1.0,3.3,0.3,7.11
3,27,22732,Ivan Rakitic,34.0, M(C),184.0,78.0,23(9),23.0,9,2037.0,7.0,1.1,54.0,90.6,0.9,2.4,0.2,7.11
4,28,50835,Neymar,30.0," AM(CLR),FW",175.0,68.0,29(4),29.0,4,2573.0,7.0,1.6,46.7,81.0,0.1,1.1,0.1,7.96
5,29,5780,Dani Alves,39.0," D(R),M(CR)",172.0,70.0,29(1),29.0,1,2524.0,6.0,1.3,64.7,88.5,1.2,2.6,0.1,7.37
6,30,44055,Pedro,35.0," M(CLR),FW",169.0,65.0,15(20),15.0,20,1531.0,6.0,0.7,21.4,86.9,0.4,0.2,0.0,6.76
7,31,44288,Jordi Alba,33.0," D(L),M(L)",170.0,68.0,27,27.0,0,2335.0,3.0,1.0,69.6,88.4,0.5,2.4,0.0,7.22
8,32,83686,Marc Bartra,31.0," D(CR),DMC",184.0,70.0,11(3),11.0,3,1036.0,3.0,0.2,53.6,88.8,0.1,3.5,0.0,7.51
9,33,44721,Sergio Busquets,34.0, DMC,189.0,76.0,29(4),29.0,4,2492.0,2.0,0.5,67.2,91.7,0.1,3.8,0.1,7.24
10,34,13471,Adriano,37.0," D(CLR),M(L)",172.0,75.0,10(6),10.0,6,953.0,1.0,0.6,45.0,89.6,0.7,1.8,0.0,7.11
11,35,9486,Andrés Iniesta,38.0, M(CL),171.0,68.0,19(5),19.0,5,1590.0,1.0,0.8,59.4,89.9,0.2,2.3,0.3,6.96
12,36,12712,Gerard Piqué,35.0, D(C),194.0,85.0,26(1),26.0,1,2385.0,1.0,0.1,64.1,89.3,0.0,4.0,0.1,7.43
13,37,143158,Munir El Haddadi,27.0," AM(LR),FW",175.0,69.0,7(3),7.0,3,463.0,1.0,0.4,14.3,79.7,0.2,0.3,0.0,6.49
14,38,106590,Rafinha,30.0, M(CLR),174.0,71.0,13(11),13.0,11,1152.0,1.0,0.3,35.0,91.8,0.2,0.9,0.0,6.8
15,39,14199,Claudio Bravo,39.0, GK,184.0,80.0,37,37.0,0,3330.0,0.0,0.0,20.8,80.0,0.0,4.4,0.0,6.86
16,40,74533,Douglas,32.0," D(R),M(R)",171.0,70.0,1(1),1.0,1,100.0,0.0,0.0,40.5,91.4,0.5,1.5,0.0,6.52
17,41,7415,Javier Mascherano,38.0," D(C),M(C)",174.0,73.0,26(2),26.0,2,2208.0,0.0,0.2,66.3,91.2,0.0,6.9,0.0,7.12
18,42,5881,Jeremy Mathieu,38.0, D(CL),189.0,82.0,23(5),23.0,5,2105.0,0.0,0.2,54.0,88.6,0.1,2.0,0.0,7.13
19,43,91254,Jordi Masip,33.0, GK,180.0,76.0,1,1.0,0,90.0,0.0,0.0,23.0,91.3,0.0,4.0,0.0,5.75
20,44,91387,Martín Montoya,31.0," D(LR),M(R)",175.0,73.0,6(2),6.0,2,588.0,0.0,0.4,56.4,88.2,0.3,0.8,0.0,7.02
21,45,135242,Sandro Ramírez,27.0," AM(LR),FW",175.0,71.0,0(7),0.0,7,145.0,0.0,0.0,8.4,84.7,0.0,0.1,0.0,6.52
22,46,90782,Sergi Roberto,30.0," D(R),M(CR)",178.0,68.0,4(8),4.0,8,507.0,0.0,0.3,39.3,94.7,0.1,0.9,0.0,6.7
23,47,10209,Thomas Vermaelen,36.0, D(CL),183.0,80.0,1,1.0,0,63.0,0.0,0.0,57.0,93.0,0.0,2.0,0.0,6.84
