,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,27,94868,Pablo Sarabia,30.0," D(L),M(CLR),FW",174.0,70.0,30(3),30.0,3,2730.0,13.0,2.1,36.6,79.6,1.3,1.2,0.1,7.16
1,28,89946,Wissam Ben Yedder,32.0," AM(C),FW",170.0,68.0,31(4),31.0,4,2821.0,9.0,1.3,21.6,73.9,0.1,0.5,0.1,7.23
2,29,9446,Jesús Navas,36.0," D(R),M(R)",172.0,60.0,31(1),31.0,1,2714.0,5.0,1.3,44.3,77.0,1.3,2.9,0.1,6.93
3,30,33724,Éver Banega,34.0, M(C),174.0,77.0,32,32.0,0,2681.0,4.0,1.7,65.3,85.4,1.0,6.5,0.1,7.08
4,31,102439,Franco Vázquez,33.0," AM(CLR),FW",187.0,82.0,26(8),26.0,8,2290.0,4.0,0.9,31.4,79.3,0.2,1.4,0.2,6.87
5,32,83333,Quincy Promes,30.0," M(CLR),FW",174.0,71.0,15(18),15.0,18,1571.0,3.0,0.9,22.9,78.9,0.4,0.8,0.0,6.59
6,33,108176,Roque Mesa,33.0, DMC,172.0,74.0,20(11),20.0,11,1747.0,2.0,0.6,29.5,87.4,0.5,1.7,0.0,6.48
7,34,368519,Bryan Gil,21.0, AM(CLR),175.0,60.0,0(11),0.0,11,159.0,1.0,0.2,5.9,72.3,0.1,0.0,0.0,6.38
8,35,43824,Daniel Carriço,34.0," D(C),DMC",180.0,79.0,24,24.0,0,2132.0,1.0,0.2,41.7,79.7,0.0,3.0,0.0,6.88
9,36,35689,Gabriel Mercado,35.0, D(CR),180.0,81.0,19(4),19.0,4,1738.0,1.0,0.1,32.3,82.0,0.1,1.8,0.0,6.72
10,37,84190,Luis Muriel,31.0," AM(CL),FW",179.0,79.0,1(5),1.0,5,120.0,1.0,0.5,7.8,76.6,0.0,0.3,0.0,6.26
11,38,143158,Munir El Haddadi,27.0," AM(LR),FW",175.0,69.0,12(4),12.0,4,1045.0,1.0,0.7,19.9,74.2,0.1,0.3,0.0,6.8
12,39,89856,Sergio Escudero,33.0," D(L),M(L)",176.0,65.0,18(3),18.0,3,1553.0,1.0,0.6,35.4,81.0,0.3,1.3,0.1,6.65
13,40,82630,Aleix Vidal,33.0," D(R),M(LR)",177.0,70.0,5(6),5.0,6,526.0,0.0,1.3,22.8,76.1,0.5,1.3,0.1,6.54
14,41,299460,André Silva,26.0, FW,185.0,84.0,25(2),25.0,2,2164.0,0.0,1.1,19.9,72.7,0.1,0.1,0.2,6.93
15,42,241822,Guilherme Arana,25.0," D(L),M(L)",176.0,66.0,8(1),8.0,1,633.0,0.0,0.1,24.4,84.5,0.2,0.4,0.0,6.52
16,43,118885,Ibrahim Amadou,29.0," D(C),DMC",183.0,81.0,7(10),7.0,10,758.0,0.0,0.2,20.7,85.8,0.0,1.2,0.0,6.53
17,44,372380,Javi Díaz,25.0, Goalkeeper,184.0,75.0,1,1.0,0,90.0,0.0,0.0,21.0,52.4,0.0,3.0,0.0,6.17
18,45,298545,Joris Gnagnon,25.0, D(C),182.0,89.0,4(3),4.0,3,445.0,0.0,0.3,36.9,90.3,0.0,1.6,0.0,6.71
19,46,243554,Juan Soriano,25.0, GK,185.0,78.0,4,4.0,0,360.0,0.0,0.0,29.8,42.9,0.0,6.0,0.0,6.61
20,47,91267,Nolito,35.0, AM(CL),175.0,65.0,1(3),1.0,3,74.0,0.0,0.0,6.8,63.0,0.0,0.5,0.0,6.09
21,48,203436,Marko Rog,27.0, M(C),180.0,73.0,4(6),4.0,6,355.0,0.0,0.4,20.6,86.4,0.0,0.2,0.0,6.48
22,49,79560,Maxime Gonalons,33.0," D(C),M(C)",187.0,76.0,5(5),5.0,5,537.0,0.0,0.4,33.3,82.6,0.0,3.1,0.0,6.6
23,50,301024,Maximilian Wöber,24.0, D(CL),188.0,85.0,6(1),6.0,1,536.0,0.0,0.7,37.1,81.2,0.4,2.6,0.1,6.68
24,51,90778,Sergi Gómez,30.0, D(CR),185.0,80.0,31(1),31.0,1,2766.0,0.0,0.2,45.5,84.6,0.1,4.4,0.0,6.7
25,52,20769,Simon Kjaer,33.0, D(C),190.0,86.0,25(1),25.0,1,2016.0,0.0,0.2,34.9,85.7,0.0,2.5,0.1,6.87
26,53,68732,Tomás Vaclík,33.0, GK,188.0,85.0,33,33.0,0,2970.0,0.0,0.0,24.6,52.0,0.0,5.7,0.0,6.58
