,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,26,4522,Santi Cazorla,37.0, M(CLR),168.0,65.0,30(5),30.0,5,2651.0,10.0,2.1,44.9,86.6,1.3,3.9,0.1,7.09
1,27,276489,Alfonso Pedraza,26.0," D(L),M(L)",184.0,73.0,22(12),22.0,12,2089.0,3.0,0.7,20.9,75.8,0.5,0.5,0.1,6.72
2,28,349660,Manu Morlanes,23.0, DMC,178.0,75.0,7(3),7.0,3,611.0,3.0,0.9,32.0,84.1,0.0,2.2,0.2,6.8
3,29,297203,Pablo Fornals,26.0, M(CLR),178.0,67.0,28(7),28.0,7,2483.0,3.0,1.3,32.3,78.1,0.2,1.5,0.1,6.71
4,30,99907,Álvaro González,32.0, D(C),182.0,75.0,34,34.0,0,2967.0,2.0,0.3,44.0,79.9,0.1,3.9,0.0,6.66
5,31,79909,Mario Gaspar,31.0," D(CR),M(R)",182.0,74.0,30(1),30.0,1,2602.0,2.0,0.5,34.0,77.2,0.3,1.2,0.0,6.71
6,32,363665,Samuel Chukwueze,23.0, AM(CR),172.0,70.0,19(7),19.0,7,1711.0,2.0,0.8,19.4,73.4,0.1,1.0,0.0,6.78
7,33,71687,Carlos Bacca,36.0, FW,181.0,77.0,12(21),12.0,21,1263.0,1.0,0.7,8.2,68.1,0.0,0.3,0.0,6.38
8,34,334221,Dani Raba,26.0, AM(CR),184.0,76.0,2(6),2.0,6,187.0,1.0,0.6,11.6,78.5,0.1,0.9,0.0,6.23
9,35,97659,Gerard Moreno,30.0," AM(CR),FW",180.0,77.0,25(10),25.0,10,2317.0,1.0,1.1,21.1,71.8,0.1,1.3,0.1,6.79
10,36,236504,Karl Toko-Ekambi,30.0," AM(LR),FW",185.0,74.0,24(10),24.0,10,2149.0,1.0,0.8,14.7,74.7,0.1,0.4,0.0,6.83
11,37,34333,Miguel Layún,34.0," D(LR),M(CLR)",180.0,76.0,5(3),5.0,3,506.0,1.0,1.5,25.0,79.5,1.9,0.9,0.0,6.59
12,38,83651,Nicola Sansone,31.0," AM(LR),FW",175.0,68.0,0(3),0.0,3,34.0,1.0,0.3,4.3,84.6,0.0,0.0,0.0,6.38
13,39,121454,Ramiro Mori,31.0," D(C),DMC",186.0,79.0,29(2),29.0,2,2628.0,1.0,0.2,39.1,81.0,0.0,4.0,0.0,6.8
14,40,328517,Santiago Cáseres,25.0, DMC,177.0,77.0,17(6),17.0,6,1590.0,1.0,0.7,37.5,90.8,0.0,2.9,0.0,6.6
15,41,34052,Vicente Iborra,34.0, M(C),190.0,80.0,19,19.0,0,1667.0,1.0,0.4,41.6,80.4,0.0,1.9,0.2,7.04
16,42,32565,Andrés Fernández,35.0, GK,187.0,82.0,6,6.0,0,540.0,0.0,0.2,28.5,69.0,0.0,8.8,0.0,6.73
17,43,2247,Daniele Bonera,41.0, D(CR),183.0,84.0,4(1),4.0,1,233.0,0.0,0.0,18.6,90.3,0.0,1.8,0.0,6.38
18,44,69965,Jaume Costa,34.0," D(LR),M(L)",171.0,62.0,18(3),18.0,3,1498.0,0.0,0.4,37.0,82.4,0.4,1.7,0.1,6.66
19,45,27745,Javi Fuego,38.0, M(C),181.0,76.0,3(2),3.0,2,234.0,0.0,0.0,28.8,73.6,0.0,1.2,0.0,6.32
20,46,28721,Manuel Iturra,38.0, DMC,174.0,73.0,1(2),1.0,2,73.0,0.0,0.0,18.0,83.3,0.0,1.0,0.0,6.1
21,47,102234,Manu Trigueros,30.0," M(CLR),FW",178.0,75.0,18(6),18.0,6,1549.0,0.0,0.8,41.0,86.7,0.2,2.0,0.1,6.51
22,48,300840,Miguelón,26.0, D(R),170.0,68.0,5(3),5.0,3,543.0,0.0,0.4,20.4,79.1,0.4,0.8,0.0,6.66
23,49,32258,Sergio Asenjo,33.0, GK,189.0,87.0,32,32.0,0,2880.0,0.0,0.0,21.4,60.3,0.0,6.4,0.0,6.89
24,50,79558,Víctor Ruiz,33.0, D(C),184.0,95.0,22,22.0,0,1976.0,0.0,0.2,54.4,86.0,0.1,4.1,0.0,6.67
25,51,369884,Xavier Quintillá,26.0, D(L),183.0,70.0,7,7.0,0,628.0,0.0,0.7,39.9,78.5,0.4,1.1,0.0,6.45
