,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,25,254582,Marcos Llorente,27.0," D(R),M(CR),FW",184.0,74.0,33(4),33.0,4,2960.0,11.0,1.2,33.6,84.6,0.4,1.3,0.1,7.26
1,26,115472,Yannick Carrasco,29.0," M(CLR),FW",185.0,73.0,25(5),25.0,5,2189.0,10.0,1.6,28.2,80.7,0.6,0.7,0.1,7.16
2,27,127604,Ángel Correa,27.0," AM(CLR),FW",171.0,70.0,29(9),29.0,9,2412.0,8.0,1.0,22.5,80.0,0.2,0.5,0.0,6.94
3,28,83078,Kieran Trippier,32.0," D(LR),M(R)",178.0,71.0,28,28.0,0,2477.0,6.0,1.2,53.2,79.4,1.2,2.4,0.1,7.2
4,29,362431,João Félix,22.0," AM(CL),FW",181.0,70.0,14(17),14.0,17,1570.0,5.0,0.7,21.5,84.0,0.0,0.9,0.1,6.73
5,30,22221,Luis Suárez,35.0," AM(CLR),FW",182.0,86.0,30(2),30.0,2,2521.0,3.0,0.8,18.0,71.8,0.1,0.6,0.1,7.16
6,31,132962,Thomas Lemar,26.0, AM(CLR),171.0,63.0,19(8),19.0,8,1376.0,3.0,0.8,26.7,85.6,0.6,1.3,0.1,6.83
7,32,80764,Koke,30.0, M(CLR),176.0,77.0,34(3),34.0,3,3026.0,2.0,1.0,65.2,89.3,0.5,3.4,0.1,6.9
8,33,326646,Renan Lodi,24.0," D(L),M(L)",173.0,68.0,11(12),11.0,12,1126.0,2.0,0.5,25.0,83.0,0.7,1.2,0.0,6.71
9,34,103476,Héctor Herrera,32.0, M(C),185.0,80.0,8(8),8.0,8,681.0,1.0,0.4,40.9,90.1,0.0,2.3,0.1,6.59
10,35,374813,Manu Sánchez,22.0, D(L),179.0,70.0,1,1.0,0,50.0,1.0,1.0,25.0,76.0,0.0,0.0,0.0,6.96
11,36,344156,Mario Hermoso,27.0, D(CL),184.0,75.0,30(1),30.0,1,2584.0,1.0,0.3,57.1,84.2,0.1,3.1,0.0,6.8
12,37,112161,Saúl Ñíguez,27.0," D(CL),M(CLR)",184.0,76.0,22(11),22.0,11,2034.0,1.0,0.7,33.9,84.4,0.1,0.7,0.1,6.76
13,38,24248,Diego Costa,33.0, FW,188.0,83.0,2(5),2.0,5,207.0,0.0,0.6,10.3,77.8,0.1,0.3,0.0,6.51
14,39,102173,Felipe,33.0, D(C),190.0,83.0,23(8),23.0,8,2053.0,0.0,0.1,33.7,84.8,0.0,2.1,0.0,6.73
15,40,91978,Geoffrey Kondogbia,29.0," D(C),DMC",188.0,80.0,4(21),4.0,21,596.0,0.0,0.2,15.4,85.2,0.0,0.8,0.0,6.32
16,41,76662,Jan Oblak,29.0, GK,188.0,87.0,38,38.0,0,3420.0,0.0,0.0,22.9,58.9,0.0,6.3,0.0,6.87
17,42,135914,José Giménez,27.0, D(CR),185.0,80.0,20(1),20.0,1,1766.0,0.0,0.2,52.5,87.5,0.0,4.1,0.0,6.78
18,43,248109,Lucas Torreira,26.0, DMC,166.0,65.0,3(16),3.0,16,507.0,0.0,0.2,16.4,87.2,0.0,0.5,0.0,6.3
19,44,140090,Moussa Dembele,26.0, FW,183.0,73.0,0(5),0.0,5,95.0,0.0,0.2,6.2,64.5,0.0,0.0,0.0,6.16
20,45,391977,Ricard Sánchez,22.0, Defender,175.0,0.0,0(1),0.0,1,29.0,0.0,0.0,13.0,61.5,2.0,0.0,0.0,6.15
21,46,77059,Sime Vrsaljko,30.0," D(LR),M(R)",181.0,76.0,6(3),6.0,3,521.0,0.0,0.0,25.1,72.6,0.3,0.8,0.0,6.6
22,47,77564,Stefan Savic,31.0, D(C),187.0,81.0,33,33.0,0,2954.0,0.0,0.1,52.7,85.2,0.0,3.4,0.0,6.91
23,48,238940,Thomas Partey,29.0," D(R),M(CR)",185.0,77.0,2(1),2.0,1,199.0,0.0,0.0,73.3,89.1,0.3,6.7,0.0,7.09
24,49,91430,Vitolo,32.0," M(CLR),FW",185.0,80.0,4(7),4.0,7,295.0,0.0,0.3,13.5,84.5,0.0,0.2,0.0,6.18
