,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,31,14296,Karim Benzema,34.0, FW,185.0,81.0,31(1),31.0,1,2600.0,12.0,1.9,38.1,85.2,0.1,1.0,0.1,7.69
1,32,337782,Vinícius Júnior,22.0," AM(L),FW",176.0,73.0,30(5),30.0,5,2701.0,10.0,1.9,35.1,85.9,0.3,1.2,0.1,7.56
2,33,20874,Luka Modric,37.0, M(C),172.0,66.0,25(3),25.0,3,2050.0,8.0,1.3,58.5,90.1,0.4,3.8,0.2,7.01
3,34,347862,Rodrygo,21.0, AM(CLR),174.0,64.0,17(16),17.0,16,1528.0,4.0,0.8,19.0,86.1,0.2,0.2,0.0,6.66
4,35,88526,Casemiro,30.0, DMC,185.0,84.0,31(1),31.0,1,2576.0,3.0,0.8,61.3,86.0,0.1,5.5,0.2,7.26
5,36,106883,Daniel Carvajal,30.0, D(R),173.0,73.0,17(7),17.0,7,1553.0,3.0,1.0,42.0,87.4,0.4,1.8,0.0,6.85
6,37,39722,David Alaba,30.0," D(CL),M(CL)",180.0,78.0,30,30.0,0,2645.0,3.0,0.7,62.9,92.6,0.2,1.8,0.1,6.75
7,38,315755,Luka Jovic,24.0, FW,182.0,85.0,1(14),1.0,14,360.0,3.0,0.3,4.5,77.6,0.0,0.2,0.1,6.34
8,39,31772,Toni Kroos,32.0, M(C),183.0,76.0,25(3),25.0,3,2112.0,3.0,1.8,76.8,94.9,0.7,7.8,0.1,6.98
9,40,337879,Éder Militão,24.0, D(CR),186.0,78.0,34,34.0,0,3033.0,2.0,0.4,58.6,89.3,0.0,3.8,0.1,6.97
10,41,20241,Marcelo,34.0," D(L),M(L)",174.0,75.0,5(7),5.0,7,521.0,2.0,0.8,33.3,85.8,0.5,1.2,0.0,6.7
11,42,33404,Eden Hazard,31.0," M(CLR),FW",175.0,74.0,7(11),7.0,11,714.0,1.0,1.5,21.4,90.9,0.1,0.3,0.1,6.59
12,43,369109,Eduardo Camavinga,19.0, DMC,182.0,68.0,13(13),13.0,13,1233.0,1.0,0.5,32.4,90.0,0.0,2.0,0.1,6.82
13,44,344644,Federico Valverde,24.0, M(CLR),182.0,78.0,19(12),19.0,12,1832.0,1.0,0.8,37.0,89.7,0.0,1.5,0.1,6.76
14,45,296337,Ferland Mendy,27.0," D(L),M(L)",180.0,73.0,20(2),20.0,2,1739.0,1.0,0.9,53.9,92.0,0.2,1.2,0.0,6.96
15,46,323236,Mariano Díaz,29.0, FW,180.0,76.0,3(6),3.0,6,340.0,1.0,0.7,6.7,70.0,0.0,0.2,0.2,6.54
16,47,395788,Miguel Gutiérrez,21.0, D(L),180.0,73.0,3,3.0,0,262.0,1.0,1.0,50.3,94.0,0.7,4.3,0.0,7.44
17,48,345031,Andriy Lunin,23.0, GK,191.0,80.0,2,2.0,0,180.0,0.0,0.0,33.5,85.1,0.0,6.0,0.0,7.32
18,49,409467,Antonio Blanco,22.0, Midfielder,176.0,0.0,0(1),0.0,1,31.0,0.0,0.0,20.0,90.0,0.0,1.0,0.0,6.7
19,50,144890,Dani Ceballos,26.0, M(CL),179.0,70.0,2(9),2.0,9,269.0,0.0,0.3,23.6,91.9,0.0,1.0,0.0,6.39
20,51,82989,Isco,30.0," M(CLR),FW",176.0,79.0,3(11),3.0,11,323.0,0.0,0.7,18.5,90.7,0.1,0.9,0.2,6.6
21,52,13812,Gareth Bale,33.0," M(CLR),FW",185.0,81.0,4(1),4.0,1,283.0,0.0,0.4,11.8,72.9,0.4,0.2,0.0,6.56
22,53,238901,Jesús Vallejo,25.0, D(CR),184.0,79.0,4(1),4.0,1,341.0,0.0,0.2,41.8,86.6,0.0,1.4,0.0,6.93
23,54,106875,Nacho,32.0, D(CLR),180.0,76.0,17(11),17.0,11,1549.0,0.0,0.3,35.4,93.0,0.1,1.1,0.0,6.65
24,55,432209,Juan Latasa,21.0, Forward,0.0,0.0,0(1),0.0,1,8.0,0.0,0.0,5.0,80.0,0.0,0.0,0.0,5.94
25,56,144511,Lucas Vázquez,31.0," D(R),M(R)",173.0,70.0,20(9),20.0,9,1835.0,0.0,1.1,46.3,89.3,0.6,1.7,0.0,6.73
26,57,137467,Marco Asensio,26.0," AM(CLR),FW",182.0,76.0,19(12),19.0,12,1729.0,0.0,1.0,25.9,87.7,0.4,0.9,0.0,6.89
27,58,437646,Mario Gila,22.0, Defender,185.0,74.0,0(2),0.0,2,24.0,0.0,0.0,11.0,86.4,0.0,0.0,0.0,6.47
28,59,430083,Peter,20.0, Midfielder,0.0,0.0,0(3),0.0,3,25.0,0.0,0.7,5.3,81.3,0.0,0.3,0.0,6.19
29,60,404570,Sergio Santos,21.0, Defender,178.0,0.0,0(1),0.0,1,10.0,0.0,1.0,6.0,100.0,1.0,0.0,0.0,6.28
30,61,73798,Thibaut Courtois,30.0, GK,200.0,96.0,36,36.0,0,3240.0,0.0,0.0,26.3,79.2,0.0,3.1,0.0,6.79
