,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,34,247995,Gonçalo Guedes,25.0," AM(CLR),FW",179.0,68.0,30(6),30.0,6,2614.0,6.0,1.2,20.4,68.5,0.9,1.0,0.1,6.99
1,35,313542,Carlos Soler,25.0, M(CLR),180.0,76.0,28(4),28.0,4,2485.0,5.0,1.7,25.8,74.4,1.3,1.7,0.1,6.93
2,36,119817,José Gayà,27.0," D(L),M(L)",172.0,66.0,22(2),22.0,2,1875.0,4.0,1.0,25.9,75.7,1.0,1.9,0.0,6.63
3,37,402185,Marcos André,25.0, FW,184.0,78.0,8(21),8.0,21,963.0,3.0,0.4,6.1,68.2,0.0,0.2,0.1,6.41
4,38,312580,Toni Lato,24.0, D(L),171.0,64.0,7(4),7.0,4,591.0,1.0,0.3,21.3,76.5,0.4,1.5,0.0,6.43
5,39,368519,Bryan Gil,21.0, AM(CLR),175.0,60.0,9(4),9.0,4,758.0,1.0,0.8,14.7,74.9,0.5,0.5,0.2,6.35
6,40,27254,Daniel Wass,33.0," D(LR),M(CLR)",181.0,74.0,19,19.0,0,1592.0,1.0,0.7,34.1,81.2,0.3,2.4,0.1,6.59
7,41,110297,Denis Cheryshev,31.0," AM(L),FW",179.0,74.0,5(12),5.0,12,561.0,1.0,0.2,8.3,70.2,0.2,0.1,0.0,6.31
8,42,101084,Dimitri Foulquier,29.0," D(CLR),M(R)",183.0,72.0,25(4),25.0,4,2337.0,1.0,0.4,25.2,67.7,0.3,1.3,0.0,6.46
9,43,76810,Gabriel Paulista,31.0, D(CR),185.0,72.0,19,19.0,0,1602.0,1.0,0.2,33.5,77.7,0.0,3.7,0.0,6.98
10,44,118127,Hélder Costa,28.0, AM(CLR),178.0,73.0,13(9),13.0,9,1119.0,1.0,0.8,11.4,70.8,0.5,0.1,0.0,6.34
11,45,354526,Hugo Duro,22.0," AM(L),FW",177.0,70.0,22(8),22.0,8,1847.0,1.0,0.5,12.4,71.8,0.0,0.2,0.0,6.49
12,46,90811,Jasper Cillessen,33.0, GK,185.0,83.0,17,17.0,0,1458.0,1.0,0.1,22.1,61.2,0.0,6.9,0.0,6.56
13,47,344119,Maximiliano Gómez,26.0, FW,186.0,91.0,21(8),21.0,8,1961.0,1.0,0.6,13.3,64.8,0.1,0.3,0.0,6.6
14,48,322095,Mouctar Diakhaby,25.0, D(C),189.0,78.0,21(8),21.0,8,1945.0,1.0,0.1,24.8,74.7,0.0,2.5,0.0,6.42
15,49,367180,Thierry Correia,23.0," D(R),M(R)",176.0,69.0,18(1),18.0,1,1424.0,1.0,0.4,25.2,70.7,0.2,1.8,0.1,6.65
16,50,425591,Cristhian Mosquera,18.0, Defender,188.0,0.0,3(3),3.0,3,211.0,0.0,0.0,12.7,85.5,0.0,1.2,0.0,5.91
