,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,26,6890,Jimmy Briand,37.0," M(LR),FW",181.0,84.0,22(11),22.0,11,2096.0,7.0,1.1,21.1,72.7,0.2,0.4,0.1,6.62
1,27,14342,Lisandro López,39.0," AM(CL),FW",174.0,74.0,24(3),24.0,3,2091.0,4.0,1.0,32.2,80.6,0.1,1.1,0.1,7.26
2,28,5369,Michel Bastos,39.0," D(L),M(CLR)",179.0,71.0,22(6),22.0,6,1849.0,4.0,1.2,25.0,76.4,1.0,1.1,0.0,6.92
3,29,8006,Yoann Gourcuff,36.0, M(CL),185.0,82.0,20(4),20.0,4,1649.0,4.0,2.1,33.0,79.4,2.0,1.1,0.1,7.0
4,30,14308,Bafétimbi Gomis,37.0, FW,184.0,77.0,28(7),28.0,7,2384.0,3.0,1.0,19.8,78.4,0.2,0.7,0.0,6.71
5,31,3777,Kim Källström,40.0, M(C),185.0,87.0,29(4),29.0,4,2552.0,3.0,1.2,50.7,75.3,0.7,4.8,0.2,7.03
6,32,35958,Aly Cissokho,35.0," D(L),M(L)",181.0,75.0,29,29.0,0,2509.0,2.0,0.5,36.1,77.8,0.8,1.3,0.0,7.04
7,33,2223,Anthony Réveillere,42.0, D(LR),181.0,76.0,35,35.0,0,3066.0,2.0,0.7,35.0,78.0,0.4,2.0,0.1,6.8
8,34,16807,César Delgado,41.0," M(C),FW",174.0,69.0,9(10),9.0,10,875.0,2.0,0.8,18.4,80.2,0.8,0.3,0.1,6.71
9,35,5973,Jean Makoun,39.0, M(C),173.0,65.0,11(2),11.0,2,1021.0,2.0,0.8,54.4,82.7,0.1,2.7,0.2,6.89
10,36,42248,Jérémy Pied,33.0," D(LR),M(CLR)",174.0,69.0,7(18),7.0,18,775.0,2.0,0.7,13.0,70.7,0.6,0.4,0.0,6.49
11,37,30226,Miralem Pjanic,32.0, M(C),178.0,72.0,16(14),16.0,14,1458.0,2.0,1.0,29.6,82.8,0.7,1.4,0.1,6.64
12,38,6778,Jérémy Toulalan,39.0," D(C),M(C)",183.0,86.0,27(1),27.0,1,2259.0,1.0,0.5,48.5,77.3,0.0,2.6,0.0,7.18
13,39,79560,Maxime Gonalons,33.0," D(C),M(C)",187.0,76.0,15(8),15.0,8,1461.0,1.0,0.5,36.5,81.3,0.0,2.4,0.1,6.75
14,40,44417,Timothée Kolodziejczak,31.0," D(CL),M(L)",185.0,75.0,7(1),7.0,1,675.0,1.0,0.9,37.0,75.7,0.6,1.8,0.0,6.81
15,41,73078,Alexandre Lacazette,31.0," M(CLR),FW",175.0,73.0,0(9),0.0,9,142.0,0.0,0.0,7.2,73.8,0.0,0.3,0.0,6.29
16,42,79562,Clément Grenier,31.0, M(CL),186.0,72.0,2(5),2.0,5,246.0,0.0,0.1,21.1,73.6,0.4,1.0,0.0,6.26
17,43,9242,Cris,45.0, D(C),184.0,76.0,20(1),20.0,1,1786.0,0.0,0.1,37.0,83.4,0.0,3.3,0.0,6.95
18,44,29106,Dejan Lovren,33.0, D(C),188.0,84.0,26(2),26.0,2,2346.0,0.0,0.1,38.9,80.1,0.0,2.7,0.0,6.94
19,45,13561,Éderson,36.0, AM(CLR),181.0,74.0,5(3),5.0,3,433.0,0.0,0.9,20.5,80.5,0.1,1.4,0.0,6.74
20,46,81952,Enzo Reale,30.0, M(C),175.0,69.0,0(1),0.0,1,7.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,5.99
21,47,90277,Harry Novillo,30.0, Forward,182.0,80.0,0(1),0.0,1,7.0,0.0,0.0,4.0,100.0,0.0,0.0,0.0,6.02
22,48,25604,Hugo Lloris,35.0, GK,188.0,82.0,37,37.0,0,3330.0,0.0,0.1,26.8,46.7,0.0,7.5,0.0,6.92
23,49,43610,Lamine Gassama,32.0, D(R),181.0,74.0,3(1),3.0,1,284.0,0.0,0.3,36.3,74.5,0.3,1.0,0.0,6.82
24,50,17430,Pape Malickou Diakhaté,38.0, D(C),184.0,78.0,23(1),23.0,1,2121.0,0.0,0.2,44.1,82.0,0.0,4.3,0.0,6.73
25,51,2446,Rémy Vercoutre,42.0, GK,185.0,78.0,2,2.0,0,180.0,0.0,0.0,10.0,65.0,0.0,5.0,0.0,6.24
