,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,24,10407,Jérémy Ménez,35.0," M(CLR),FW",182.0,79.0,33,33.0,0,2719.0,13.0,1.5,38.4,80.4,0.2,2.5,0.5,7.5
1,25,14195,Nenê,41.0," AM(CLR),FW",181.0,70.0,35,35.0,0,3037.0,11.0,3.7,46.8,74.8,2.3,2.6,0.7,7.94
2,26,41220,Javier Pastore,33.0, AM(CLR),187.0,78.0,30(3),30.0,3,2645.0,6.0,2.0,41.6,74.4,0.2,1.6,0.7,7.31
3,27,14240,Christophe Jallet,38.0," D(LR),M(L)",178.0,70.0,26(7),26.0,7,2399.0,5.0,1.0,42.4,83.0,0.6,2.4,0.1,7.1
4,28,14116,Clément Chantôme,35.0, M(C),180.0,71.0,8(7),8.0,7,833.0,3.0,0.7,37.9,88.4,0.1,2.3,0.1,6.79
5,29,6476,Mathieu Bodmer,39.0," D(C),M(C)",190.0,90.0,21(10),21.0,10,2046.0,3.0,1.2,49.1,81.3,0.1,4.0,0.3,6.8
6,30,18213,Siaka Tiéné,40.0," D(L),M(L)",176.0,72.0,16(7),16.0,7,1482.0,3.0,0.3,31.6,82.4,0.6,1.7,0.0,6.78
7,31,21755,Guillaume Hoarau,38.0, FW,192.0,85.0,7(13),7.0,13,749.0,2.0,0.4,12.2,58.2,0.0,0.1,0.1,6.63
8,32,19453,Kevin Gameiro,35.0, FW,172.0,70.0,27(7),27.0,7,2286.0,2.0,0.7,16.2,77.3,0.0,0.2,0.2,6.67
9,33,19248,Mevlüt Erdinç,35.0, FW,181.0,85.0,0(11),0.0,11,134.0,2.0,0.3,3.4,67.6,0.0,0.0,0.1,6.25
10,34,1735,Sylvain Armand,42.0, D(CL),182.0,82.0,8(14),8.0,14,841.0,2.0,0.3,22.7,79.2,0.1,1.3,0.0,6.46
11,35,10132,Alex,40.0, D(C),188.0,92.0,15,15.0,0,1291.0,1.0,0.1,33.1,89.5,0.0,2.3,0.0,6.98
12,36,17778,Blaise Matuidi,35.0, M(CL),180.0,75.0,25(4),25.0,4,2170.0,1.0,0.4,41.5,87.0,0.0,1.7,0.1,7.08
13,37,14488,Milan Bisevac,39.0, D(C),185.0,81.0,17(2),17.0,2,1542.0,1.0,0.3,36.5,80.8,0.1,2.7,0.1,7.06
14,38,9576,Mohamed Sissoko,37.0, M(C),191.0,87.0,22(3),22.0,3,1823.0,1.0,0.2,44.4,83.0,0.0,2.8,0.0,7.02
15,39,4649,Thiago Motta,40.0, M(C),187.0,83.0,14,14.0,0,1260.0,1.0,0.5,69.3,88.1,0.0,7.1,0.4,7.07
16,40,22227,Diego Lugano,41.0, D(C),188.0,84.0,9(3),9.0,3,791.0,0.0,0.0,22.8,82.1,0.0,2.1,0.0,6.65
17,41,96321,Jean-Christophe Bahebeck,29.0," AM(LR),FW",182.0,76.0,0(8),0.0,8,66.0,0.0,0.1,3.0,75.0,0.1,0.1,0.0,6.11
18,42,68278,Jean-Eudes Maurice,36.0, Forward,180.0,73.0,0(1),0.0,1,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,6.01
19,43,29575,Mamadou Sakho,32.0, D(C),187.0,83.0,20(2),20.0,2,1774.0,0.0,0.0,42.2,86.8,0.0,3.1,0.0,6.87
20,44,20751,Ceará,42.0, D(LR),175.0,75.0,17(7),17.0,7,1524.0,0.0,0.4,29.8,80.3,0.3,1.5,0.1,6.83
21,45,4871,Maxwell,41.0, D(L),176.0,73.0,13(1),13.0,1,1124.0,0.0,0.5,40.1,82.9,0.4,2.0,0.1,6.75
22,46,22627,Salvatore Sirigu,35.0, GK,192.0,80.0,38,38.0,0,3420.0,0.0,0.0,12.4,53.5,0.0,2.7,0.0,6.85
23,47,1551,Zoumana Camara,43.0, D(C),182.0,76.0,17(2),17.0,2,1616.0,0.0,0.0,29.8,85.7,0.0,1.2,0.0,6.94
