,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,32,90106,Éric Bauthéac,35.0, AM(LR),168.0,65.0,33(2),33.0,2,2909.0,7.0,1.4,32.0,76.0,1.6,1.0,0.1,7.06
1,33,44417,Timothée Kolodziejczak,31.0," D(CL),M(L)",185.0,75.0,36,36.0,0,3240.0,4.0,0.6,40.6,73.9,0.6,1.6,0.0,7.1
2,34,11896,Didier Digard,36.0, M(C),183.0,76.0,35,35.0,0,3013.0,3.0,0.6,58.2,80.5,0.3,5.2,0.0,7.07
3,35,42248,Jérémy Pied,33.0," D(LR),M(CLR)",174.0,69.0,18(8),18.0,8,1552.0,3.0,1.2,21.3,71.1,1.2,0.8,0.1,6.65
4,36,109812,Alexy Bosetti,29.0," AM(R),FW",170.0,66.0,4(23),4.0,23,657.0,2.0,0.3,6.6,71.3,0.3,0.2,0.0,6.2
5,37,1841,Camel Meriem,42.0, M(C),174.0,70.0,14(10),14.0,10,1172.0,2.0,0.8,26.0,82.0,0.6,1.1,0.1,6.44
6,38,14838,Darío Cvitanich,38.0," AM(C),FW",174.0,72.0,29,29.0,0,2350.0,2.0,0.7,18.9,74.8,0.2,0.6,0.1,6.8
7,39,18117,Renato Civelli,38.0, D(C),195.0,92.0,34,34.0,0,3060.0,2.0,0.3,48.5,81.8,0.0,4.7,0.1,7.05
8,40,34218,Romain Genevois,34.0, D(CR),182.0,79.0,22(3),22.0,3,1986.0,2.0,0.4,31.4,76.4,0.4,1.6,0.0,6.57
9,41,23133,Fabrice Abriel,43.0, M(C),176.0,69.0,18(9),18.0,9,1693.0,1.0,0.4,29.2,82.1,0.1,0.9,0.1,6.54
10,42,95424,Grégoire Puel,30.0," D(R),M(R)",180.0,71.0,8,8.0,0,680.0,1.0,0.5,38.0,78.0,0.1,1.1,0.0,6.58
11,43,69171,Nemanja Pejcinovic,34.0, D(CR),185.0,81.0,27(1),27.0,1,2457.0,1.0,0.1,44.8,86.5,0.0,3.8,0.0,7.1
12,44,93721,Valentin Eysseric,30.0," AM(CLR),FW",181.0,73.0,21(3),21.0,3,1897.0,1.0,1.1,32.9,75.3,1.0,0.9,0.3,6.76
13,45,90116,Guié Guié,36.0, FW,180.0,70.0,1(2),1.0,2,90.0,0.0,0.0,4.7,71.4,0.0,0.0,0.0,6.01
14,46,120523,Albert Rafetraniaina,26.0, DMC,176.0,66.0,0(1),0.0,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17
15,47,36745,David Ospina,34.0, GK,183.0,80.0,26,26.0,0,2298.0,0.0,0.0,20.1,58.8,0.0,4.7,0.0,6.72
16,48,110269,Diacko Fofana,28.0, Defender,175.0,73.0,0(4),0.0,4,102.0,0.0,0.8,7.0,89.3,0.3,0.3,0.0,6.26
17,49,36641,Fabián Monzón,35.0," D(L),M(L)",179.0,75.0,1,1.0,0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07
18,50,115835,Fabien Dao Castellana,29.0, Midfielder,169.0,62.0,0(2),0.0,2,14.0,0.0,0.0,3.5,85.7,0.0,1.0,0.0,6.0
19,51,22337,Franck Dja Djédjé,36.0, M(L),176.0,72.0,3,3.0,0,201.0,0.0,1.3,12.7,76.3,0.3,0.0,0.0,6.59
20,52,34918,Joris Delle,32.0, GK,190.0,85.0,11(2),11.0,2,1029.0,0.0,0.0,17.4,62.8,0.0,3.8,0.0,6.89
21,53,34966,Kafoumba Coulibaly,36.0," D(CR),M(CR)",179.0,74.0,1,1.0,0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85
22,54,34070,Kevin Anin,36.0, M(C),189.0,80.0,10(3),10.0,3,911.0,0.0,0.4,37.6,82.6,0.0,1.5,0.1,6.66
23,55,43684,Kevin Diaz,34.0, Midfielder,174.0,65.0,5(3),5.0,3,412.0,0.0,0.5,16.8,80.6,0.5,0.3,0.0,6.55
24,56,67929,Kevin Gomis,33.0, D(C),187.0,85.0,12(1),12.0,1,1046.0,0.0,0.0,32.3,85.7,0.0,4.0,0.0,6.67
25,57,98100,Lloyd Palun,33.0, D(R),184.0,73.0,10(2),10.0,2,940.0,0.0,0.6,35.3,79.9,0.5,1.0,0.1,6.75
26,58,125847,Lucas Rougeaux,28.0, D(CR),185.0,87.0,0(1),0.0,1,8.0,0.0,0.0,7.0,85.7,0.0,0.0,0.0,6.25
27,59,22116,Luigi Bruins,35.0, AM(CL),180.0,75.0,5(5),5.0,5,457.0,0.0,0.7,18.8,73.4,0.2,0.9,0.1,6.52
28,60,29587,Mahamane Traoré,34.0, M(C),176.0,66.0,22(1),22.0,1,1936.0,0.0,0.4,42.3,84.6,0.1,2.0,0.1,6.89
29,61,119822,Neal Maupay,26.0," AM(C),FW",173.0,69.0,3(12),3.0,12,447.0,0.0,0.2,6.9,70.9,0.1,0.0,0.1,6.3
30,62,101904,Stéphane Bahoken,30.0, FW,185.0,78.0,3(7),3.0,7,270.0,0.0,0.3,5.9,76.3,0.3,0.0,0.0,6.28
31,63,26542,Xavier Pentecote,36.0, AM(LR),183.0,82.0,0(2),0.0,2,53.0,0.0,1.0,8.5,88.2,0.0,0.0,0.5,6.55
