,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,28,129282,Benjamin Bourigeaud,28.0, M(CLR),178.0,68.0,35(2),35.0,2,3106.0,7.0,2.6,39.8,80.2,2.4,2.3,0.0,7.16
1,29,43415,Benjamin André,32.0," D(R),M(CLR)",180.0,76.0,34,34.0,0,3016.0,3.0,1.0,54.6,79.0,0.1,2.2,0.0,7.26
2,30,322670,Ismaïla Sarr,24.0," AM(CLR),FW",185.0,76.0,22(2),22.0,2,1866.0,3.0,0.8,16.8,79.7,0.2,0.1,0.1,6.92
3,31,296232,Faitout Maouassa,24.0," D(L),M(LR)",170.0,76.0,9(10),9.0,10,888.0,2.0,0.5,11.8,77.8,0.3,0.2,0.0,6.27
4,32,332144,James Léa Siliki,26.0, M(CL),183.0,70.0,19(13),19.0,13,1812.0,2.0,0.6,21.4,77.8,0.4,1.6,0.0,6.58
5,33,297540,Jérémy Gelin,25.0," D(C),DMC",183.0,77.0,25(3),25.0,3,2315.0,2.0,0.5,49.3,84.1,0.0,5.3,0.0,6.67
6,34,298545,Joris Gnagnon,25.0, D(C),182.0,89.0,32(4),32.0,4,2918.0,2.0,0.1,35.9,90.9,0.0,1.5,0.0,6.79
7,35,107891,Sanjin Prcic,28.0, M(C),181.0,75.0,18(1),18.0,1,1569.0,2.0,0.4,48.4,87.3,0.1,4.3,0.0,6.77
8,36,71381,Wahbi Khazri,31.0," M(CLR),FW",176.0,80.0,23(1),23.0,1,1927.0,2.0,1.4,27.1,77.6,0.7,1.9,0.0,7.0
9,37,8006,Yoann Gourcuff,36.0, M(CL),185.0,82.0,5(5),5.0,5,426.0,2.0,0.5,18.7,88.2,0.3,0.6,0.0,6.51
10,38,129999,Adrien Hunou,28.0," AM(CLR),FW",179.0,66.0,17(7),17.0,7,1463.0,1.0,0.5,20.5,79.9,0.0,0.3,0.0,6.44
11,39,139586,Firmin Ndombe Mubele,28.0," AM(R),FW",175.0,74.0,13(6),13.0,6,1225.0,1.0,0.9,13.8,72.2,0.2,0.4,0.0,6.6
12,40,289018,Hamari Traoré,30.0," D(R),M(R)",175.0,73.0,30,30.0,0,2640.0,1.0,0.6,45.5,79.5,0.4,2.6,0.0,7.12
13,41,109941,Mehdi Zeffane,30.0," D(LR),M(R)",176.0,73.0,11(4),11.0,4,989.0,1.0,0.4,31.3,79.1,0.3,1.7,0.0,6.57
14,42,288892,Ramy Bensebaïni,27.0," D(CL),DMC,M(L)",186.0,82.0,26(3),26.0,3,2345.0,1.0,0.3,41.8,77.7,0.3,2.2,0.0,7.01
15,43,82622,Abdoulaye Diallo,30.0, GK,191.0,82.0,3,3.0,0,270.0,0.0,0.0,21.7,66.2,0.0,6.3,0.0,6.57
16,44,330612,Afonso Figueiredo,29.0, D(L),169.0,63.0,1(4),1.0,4,222.0,0.0,0.0,20.2,70.3,0.0,1.0,0.0,6.08
17,45,121765,Brandon Thomas,27.0, FW,173.0,71.0,3(8),3.0,8,352.0,0.0,0.6,9.1,78.0,0.1,0.0,0.0,6.38
18,46,83297,Diafra Sakho,32.0, FW,184.0,79.0,7(6),7.0,6,777.0,0.0,0.5,10.5,66.4,0.1,0.2,0.0,6.38
19,47,121720,Mexer,34.0, D(C),188.0,79.0,13(4),13.0,4,1197.0,0.0,0.1,29.1,84.0,0.1,2.4,0.0,6.54
20,48,345386,Gerzino Nyamsi,25.0, D(C),194.0,91.0,3,3.0,0,270.0,0.0,0.0,28.0,81.0,0.0,2.7,0.0,6.69
21,49,335686,Jordan Tell,25.0, Forward,185.0,74.0,0(6),0.0,6,109.0,0.0,0.2,4.7,78.6,0.0,0.3,0.0,6.19
22,50,34011,Ludovic Baal,36.0," D(L),M(L)",176.0,75.0,14(3),14.0,3,1161.0,0.0,0.4,40.4,78.3,0.2,1.4,0.0,6.81
23,51,22797,Morgan Amalfitano,37.0, M(CLR),176.0,68.0,10(4),10.0,4,751.0,0.0,0.4,17.8,85.5,0.1,0.3,0.1,6.09
24,52,297541,Nicolas Janvier,24.0, M(C),171.0,71.0,1(2),1.0,2,75.0,0.0,0.0,15.3,80.4,0.0,1.0,0.0,6.28
25,53,78623,Raïs M'Bolhi,36.0, GK,191.0,88.0,1,1.0,0,90.0,0.0,0.0,22.0,31.8,0.0,3.0,0.0,6.33
26,54,23618,Romain Danzé,36.0," D(R),M(CR)",184.0,73.0,10(3),10.0,3,685.0,0.0,0.2,26.5,79.1,0.1,1.2,0.0,6.36
27,55,283271,Tomás Koubek,30.0, GK,197.0,98.0,34,34.0,0,3060.0,0.0,0.0,25.6,53.9,0.0,7.1,0.0,6.79
