,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,30,41489,Ricardo Álvarez,34.0, M(CR),188.0,84.0,15(6),15.0,6,1183.0,5.0,1.6,32.2,88.3,0.7,1.6,0.5,7.04
1,31,4923,Wesley Sneijder,38.0, AM(CL),171.0,67.0,15(5),15.0,5,1330.0,5.0,2.3,51.9,82.5,1.6,4.6,0.6,7.24
2,32,8007,Maicon,41.0, D(R),184.0,77.0,24,24.0,0,2137.0,4.0,2.5,50.6,80.7,1.7,3.5,0.3,7.36
3,33,10090,Diego Milito,43.0, FW,183.0,78.0,29(4),29.0,4,2533.0,3.0,1.4,28.3,81.1,0.2,1.0,0.3,7.03
4,34,9975,Giampaolo Pazzini,38.0, FW,180.0,77.0,22(11),22.0,11,2164.0,3.0,0.7,13.6,76.6,0.1,0.5,0.1,6.54
5,35,2668,Javier Zanetti,49.0," D(R),DMC,M(R)",178.0,75.0,34,34.0,0,3012.0,3.0,1.0,42.9,90.1,0.2,1.8,0.1,7.07
6,36,1692,Dejan Stankovic,44.0," D(C),M(CR),FW",181.0,75.0,14(5),14.0,5,1231.0,2.0,0.9,47.3,84.7,0.1,7.0,0.2,6.78
7,37,3510,Diego Forlán,43.0, FW,180.0,75.0,14(4),14.0,4,1016.0,2.0,1.1,25.0,78.7,0.5,1.1,0.1,6.61
8,38,9838,Esteban Cambiasso,42.0," D(C),M(C)",177.0,78.0,35(2),35.0,2,3115.0,2.0,1.2,45.6,85.4,0.2,2.8,0.2,7.1
9,39,22701,Fredy Guarín,36.0, M(CR),183.0,77.0,5(1),5.0,1,420.0,2.0,1.7,47.7,78.3,0.5,3.7,0.2,7.22
10,40,460,Lúcio,44.0, D(C),188.0,84.0,34,34.0,0,3061.0,2.0,0.6,38.0,81.2,0.2,4.1,0.0,7.69
11,41,14524,Mauro Zárate,35.0," M(CLR),FW",176.0,76.0,10(12),10.0,12,949.0,2.0,0.7,18.4,78.8,0.5,0.6,0.2,6.6
12,42,37188,Yuto Nagatomo,36.0," D(LR),M(LR)",170.0,68.0,30(5),30.0,5,2839.0,2.0,0.6,32.8,83.1,0.3,1.1,0.0,7.14
13,43,31355,Andrea Poli,33.0, M(CL),182.0,77.0,9(9),9.0,9,911.0,1.0,0.4,27.9,84.9,0.0,1.7,0.2,6.62
14,44,80767,Philippe Coutinho,30.0, M(CLR),172.0,68.0,4(1),4.0,1,254.0,1.0,0.8,22.6,84.1,0.4,1.4,0.8,6.96
15,45,6166,Sulley Muntari,38.0, M(C),179.0,76.0,1(3),1.0,3,154.0,1.0,0.8,22.0,78.4,0.3,1.0,0.3,6.43
16,46,4649,Thiago Motta,40.0, M(C),187.0,83.0,10,10.0,0,900.0,1.0,1.8,78.2,88.5,0.1,8.5,0.0,7.54
17,47,575,Walter Samuel,44.0, D(C),183.0,83.0,27,27.0,0,2306.0,1.0,0.3,39.4,83.5,0.0,5.0,0.0,7.13
18,48,27421,Andrea Ranocchia,34.0, D(C),195.0,81.0,11(1),11.0,1,994.0,0.0,0.1,39.8,85.1,0.0,3.3,0.0,7.03
19,49,6145,Angelo Palombo,41.0," D(C),DMC",177.0,77.0,2(1),2.0,1,178.0,0.0,0.3,33.7,82.2,0.0,3.7,0.3,6.1
20,50,4029,Cristian Chivu,41.0, D(C),184.0,83.0,13(1),13.0,1,1065.0,0.0,0.4,38.2,80.7,0.4,2.5,0.0,6.9
21,51,532,Iván Córdoba,46.0," D(L),DMC",173.0,70.0,1(4),1.0,4,215.0,0.0,0.2,21.2,87.7,0.0,1.6,0.0,6.49
22,52,67432,Joel Obi,31.0, M(CR),176.0,71.0,11(16),11.0,16,1199.0,0.0,0.6,20.7,80.9,0.3,0.4,0.1,6.49
23,53,28485,Jonathan,36.0," D(R),M(R)",170.0,72.0,2(2),2.0,2,239.0,0.0,0.8,30.8,79.7,0.0,1.0,0.0,6.47
24,54,84603,Juan Jesus,31.0, D(CL),185.0,83.0,0(1),0.0,1,1.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,6.0
25,55,14149,Julio César,43.0, GK,186.0,80.0,33,33.0,0,2916.0,0.0,0.0,15.0,66.1,0.0,4.2,0.0,6.71
26,56,82646,Luc Castaignos,30.0, FW,188.0,85.0,1(5),1.0,5,181.0,0.0,0.3,9.0,70.4,0.0,0.0,0.0,6.21
27,57,3155,Luca Castellazzi,47.0, GK,192.0,89.0,5(2),5.0,2,505.0,0.0,0.0,8.6,40.0,0.0,1.3,0.0,6.29
28,58,33875,Marco Faraoni,30.0," D(R),M(R)",180.0,71.0,7(7),7.0,7,603.0,0.0,0.2,18.2,74.9,0.3,0.6,0.1,6.45
29,59,83755,Samuele Longo,30.0, FW,186.0,81.0,0(1),0.0,1,14.0,0.0,0.0,7.0,71.4,0.0,0.0,0.0,6.08
