,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,25,2579,Andrea Pirlo,43.0, M(C),177.0,68.0,37,37.0,0,3318.0,13.0,3.4,86.4,86.9,2.5,11.2,0.9,7.88
1,26,4580,Mirko Vucinic,39.0, FW,186.0,76.0,29(3),29.0,3,2312.0,8.0,1.7,31.6,76.3,0.4,1.5,0.8,7.36
2,27,25079,Alessandro Matri,38.0, FW,183.0,80.0,23(8),23.0,8,1925.0,4.0,1.2,18.1,75.9,0.2,0.5,0.2,6.77
3,28,25008,Arturo Vidal,35.0, M(CR),180.0,75.0,30(3),30.0,3,2639.0,3.0,1.5,57.0,85.2,0.2,3.0,0.5,7.68
4,29,20211,Claudio Marchisio,36.0, M(C),180.0,74.0,35(1),35.0,1,3047.0,3.0,1.4,52.0,85.7,0.4,4.2,0.4,7.43
5,30,9894,Simone Pepe,39.0, M(C),178.0,73.0,25(6),25.0,6,2207.0,3.0,1.5,29.8,82.6,0.8,1.2,0.2,7.01
6,31,484,Alessandro Del Piero,47.0," AM(CL),FW",173.0,73.0,4(19),4.0,19,501.0,2.0,1.0,10.5,80.6,0.2,0.6,0.3,6.57
7,32,72296,Emanuele Giaccherini,37.0, M(CLR),167.0,60.0,9(14),9.0,14,1198.0,2.0,1.6,28.8,82.3,0.5,1.0,0.4,6.83
8,33,12722,Paolo De Ceglie,36.0," D(L),M(CL)",184.0,75.0,16(5),16.0,5,1351.0,2.0,0.7,36.0,88.2,1.0,0.7,0.0,6.98
9,34,15302,Stephan Lichtsteiner,38.0," D(R),M(R)",182.0,72.0,34(1),34.0,1,2966.0,2.0,0.7,44.9,87.0,0.8,1.3,0.1,6.97
10,35,9991,Giorgio Chiellini,38.0, D(C),187.0,85.0,34,34.0,0,3025.0,1.0,0.9,65.5,87.3,0.3,3.8,0.1,7.78
11,36,20664,Leonardo Bonucci,35.0, D(C),190.0,85.0,29(4),29.0,4,2727.0,1.0,0.3,48.2,88.4,0.0,5.6,0.2,7.24
12,37,79316,Luca Marrone,32.0," D(C),DMC",186.0,75.0,1(2),1.0,2,112.0,1.0,0.3,19.3,87.9,0.0,0.0,0.3,7.07
13,38,31161,Marcelo Estigarribia,35.0," D(L),M(CLR)",181.0,71.0,9(5),9.0,5,722.0,1.0,0.6,18.6,78.5,0.6,0.3,0.1,6.68
14,39,4644,Marco Borriello,40.0, FW,180.0,73.0,6(7),6.0,7,587.0,1.0,0.7,12.5,85.8,0.2,0.3,0.0,6.65
15,40,6075,Andrea Barzagli,41.0, D(CR),187.0,87.0,34(1),34.0,1,3014.0,0.0,0.1,51.9,89.1,0.1,3.6,0.1,7.23
16,41,14044,Eljero Elia,35.0," AM(LR),FW",176.0,70.0,1(3),1.0,3,94.0,0.0,0.3,8.0,68.8,0.0,0.0,0.3,6.32
17,42,2833,Fabio Grosso,44.0, D(CL),190.0,82.0,2,2.0,0,180.0,0.0,1.5,56.0,79.5,0.5,3.0,0.0,7.06
18,43,9730,Fabio Quagliarella,39.0, FW,180.0,79.0,9(14),9.0,14,882.0,0.0,0.8,14.5,79.3,0.1,1.3,0.2,6.7
19,44,3328,Gianluigi Buffon,44.0, GK,192.0,84.0,35,35.0,0,3150.0,0.0,0.1,14.8,85.4,0.0,3.1,0.0,6.92
20,45,9956,Marco Storari,45.0, GK,187.0,76.0,3,3.0,0,270.0,0.0,0.0,14.0,76.2,0.0,3.7,0.0,6.57
21,46,30635,Martín Cáceres,35.0," D(CLR),M(R)",180.0,78.0,6(5),6.0,5,710.0,0.0,0.5,39.3,88.0,0.4,2.3,0.0,6.88
22,47,6165,Michele Pazienza,40.0, DMC,178.0,75.0,1(7),1.0,7,143.0,0.0,0.3,16.4,84.7,0.1,1.1,0.1,6.33
23,48,10119,Milos Krasic,37.0, M(R),182.0,74.0,4(3),4.0,3,304.0,0.0,0.6,15.0,84.8,0.3,0.0,0.0,6.46
24,49,23043,Simone Padoin,38.0," D(LR),M(CLR)",179.0,73.0,3(3),3.0,3,300.0,0.0,0.8,29.2,86.9,0.8,1.3,0.2,6.8
