,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,32,30226,Miralem Pjanic,32.0, M(C),178.0,72.0,28(6),28.0,6,2530.0,10.0,2.0,64.5,90.2,0.6,3.6,0.1,7.17
1,33,183,Francesco Totti,46.0," AM(CL),FW",180.0,82.0,24(3),24.0,3,1751.0,6.0,1.7,36.3,75.5,0.8,3.6,0.1,6.86
2,34,101596,Alessandro Florenzi,31.0," D(R),M(CLR)",173.0,67.0,24(11),24.0,11,2294.0,4.0,1.1,34.4,79.8,1.1,2.5,0.1,6.9
3,35,17740,Gervinho,35.0," M(LR),FW",179.0,66.0,21(3),21.0,3,1896.0,4.0,1.4,23.3,83.3,0.1,0.1,0.1,7.01
4,36,68034,Adem Ljajic,31.0," AM(CLR),FW",182.0,80.0,23(9),23.0,9,2025.0,2.0,1.4,32.6,89.3,0.4,0.7,0.0,6.8
5,37,244301,Daniele Verde,26.0, AM(CLR),168.0,64.0,1(6),1.0,6,209.0,2.0,0.6,14.9,78.8,0.6,0.0,0.1,6.55
6,38,35954,Kevin Strootman,32.0, DMC,186.0,78.0,4(2),4.0,2,319.0,2.0,1.3,41.3,85.9,0.2,0.8,0.2,6.91
7,39,52380,Radja Nainggolan,34.0, M(C),176.0,65.0,30(5),30.0,5,2776.0,2.0,1.0,54.2,86.8,0.2,5.2,0.2,7.21
8,40,21499,José Holebas,38.0," D(CL),M(L)",184.0,77.0,23(1),23.0,1,2054.0,1.0,0.8,43.3,82.8,0.5,1.5,0.0,7.27
9,41,97452,Juan Iturbe,29.0, AM(LR),172.0,64.0,17(10),17.0,10,1385.0,1.0,0.6,14.2,76.8,0.2,0.3,0.0,6.71
10,42,8007,Maicon,41.0, D(R),184.0,77.0,11(3),11.0,3,984.0,1.0,0.6,49.6,82.3,0.4,3.3,0.1,6.87
11,43,34190,Mapou Yanga-Mbiwa,33.0, D(CR),184.0,77.0,22(6),22.0,6,2092.0,1.0,0.3,46.2,91.2,0.0,3.1,0.0,7.09
12,44,4500,Morgan De Sanctis,45.0, GK,190.0,86.0,35,35.0,0,3150.0,1.0,0.0,23.2,58.4,0.0,5.8,0.0,6.73
13,45,93854,Salih Uçan,28.0, M(C),182.0,65.0,2(2),2.0,2,164.0,1.0,0.5,24.8,77.8,0.0,1.8,0.0,6.63
14,46,74805,Victor Ibarbo,32.0," AM(LR),FW",186.0,69.0,6(4),6.0,4,574.0,1.0,1.3,14.7,83.0,0.0,0.8,0.1,6.59
15,47,2664,Seydou Keita,42.0, M(C),183.0,75.0,18(8),18.0,8,1725.0,1.0,0.5,60.3,90.2,0.1,3.7,0.0,6.94
16,48,135057,Antonio Sanabria,26.0, FW,180.0,70.0,0(2),0.0,2,33.0,0.0,0.5,7.5,80.0,0.0,0.5,0.0,6.16
17,49,342,Ashley Cole,41.0," D(L),M(L)",176.0,66.0,11,11.0,0,990.0,0.0,0.4,45.6,90.0,0.0,1.1,0.0,6.99
18,50,5202,Daniele De Rossi,39.0," D(C),M(C)",184.0,83.0,25(1),25.0,1,2154.0,0.0,0.5,66.2,87.8,0.0,9.6,0.0,7.06
19,51,44643,Davide Astori,35.0, D(C),188.0,80.0,22(2),22.0,2,2039.0,0.0,0.2,52.0,86.5,0.0,5.0,0.0,7.4
20,52,13356,Federico Balzaretti,40.0, D(L),178.0,70.0,1,1.0,0,90.0,0.0,1.0,41.0,90.2,1.0,1.0,0.0,6.2
21,53,70149,Kostas Manolas,31.0, D(C),189.0,83.0,30,30.0,0,2610.0,0.0,0.1,42.6,90.9,0.0,2.8,0.0,7.15
22,54,18139,Castán,35.0, D(C),184.0,80.0,1,1.0,0,46.0,0.0,0.0,20.0,80.0,0.0,3.0,0.0,6.83
23,55,93700,Leandro Paredes,28.0, DMC,180.0,75.0,4(6),4.0,6,318.0,0.0,0.0,25.4,85.8,0.0,1.7,0.0,6.41
24,56,148546,Lorenzo Pellegrini,26.0, M(CL),186.0,77.0,0(1),0.0,1,23.0,0.0,0.0,13.0,76.9,0.0,1.0,0.0,6.19
25,57,77397,Lukasz Skorupski,31.0, GK,187.0,84.0,3,3.0,0,270.0,0.0,0.0,30.3,75.8,0.0,5.0,0.0,6.37
26,58,67434,Mattia Destro,31.0, FW,181.0,73.0,8(8),8.0,8,815.0,0.0,0.2,8.3,75.8,0.0,0.2,0.0,6.47
27,59,240886,Michele Somma,27.0, Defender,182.0,76.0,0(1),0.0,1,41.0,0.0,0.0,22.0,63.6,0.0,1.0,0.0,6.35
28,60,14636,Nicolás Spolli,39.0, D(C),193.0,88.0,1,1.0,0,90.0,0.0,0.0,60.0,95.0,0.0,0.0,0.0,6.11
29,61,27909,Seydou Doumbia,34.0, FW,178.0,74.0,6(7),6.0,7,544.0,0.0,0.3,6.6,72.1,0.0,0.1,0.0,6.36
30,62,17491,Urby Emanuelson,36.0," D(L),M(CLR)",176.0,68.0,0(2),0.0,2,15.0,0.0,0.0,5.5,72.7,0.0,0.5,0.0,6.2
31,63,23567,Vasilis Torosidis,37.0," D(CLR),M(R)",185.0,80.0,17(3),17.0,3,1493.0,0.0,0.4,37.7,82.9,0.2,1.3,0.1,6.95
