,Unnamed: 0,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,total_assists,key_passes_per_game,passes_per_game,pass_success_percentage,crosses_per_game,long_ball_per_game,through_balls_per_game,rating
0,30,22546,Papu Gómez,34.0," M(CL),FW",167.0,68.0,34(2),34.0,2,2861.0,16.0,2.8,47.8,85.3,1.8,2.1,0.1,7.55
1,31,141726,Robin Gosens,28.0," D(L),M(CL)",183.0,76.0,31(3),31.0,3,2628.0,8.0,1.2,38.0,78.4,0.6,1.1,0.0,7.22
2,32,41073,Duván Zapata,31.0, FW,189.0,88.0,25(3),25.0,3,2038.0,6.0,1.4,19.6,79.6,0.3,0.4,0.0,7.41
3,33,64075,Rafael Tolói,31.0, D(C),185.0,75.0,29(4),29.0,4,2606.0,6.0,0.5,50.0,81.4,0.0,2.8,0.0,6.8
4,34,43194,Josip Ilicic,34.0," AM(CLR),FW",190.0,79.0,21(5),21.0,5,1673.0,5.0,2.1,34.6,81.9,0.7,1.8,0.3,7.65
5,35,129903,Mario Pasalic,27.0, M(CLR),188.0,82.0,30(5),30.0,5,2426.0,5.0,1.2,40.1,88.2,0.1,2.9,0.0,6.94
6,36,85070,Marten de Roon,31.0," D(C),DMC",185.0,76.0,29(6),29.0,6,2718.0,5.0,1.0,57.1,86.8,0.2,2.7,0.0,6.9
7,37,135890,Hans Hateboer,28.0," D(R),M(R)",185.0,72.0,25(7),25.0,7,2355.0,4.0,1.4,36.4,85.7,0.7,0.5,0.0,6.66
8,38,295456,Ruslan Malinovskyi,29.0," M(CR),FW",181.0,79.0,12(22),12.0,22,1523.0,3.0,1.4,26.3,82.5,0.8,1.2,0.1,7.0
9,39,350076,Musa Barrow,23.0," AM(CL),FW",183.0,77.0,1(6),1.0,6,186.0,2.0,0.6,7.1,76.0,0.1,0.3,0.1,6.38
10,40,302691,Remo Freuler,30.0, DMC,180.0,80.0,28(3),28.0,3,2344.0,2.0,0.8,52.0,88.5,0.2,1.4,0.0,6.8
11,41,141169,Timothy Castagne,26.0," D(CLR),M(LR)",185.0,80.0,19(8),19.0,8,1764.0,2.0,0.8,34.9,85.4,0.6,0.5,0.0,6.72
12,42,100962,Berat Djimsiti,29.0, D(C),190.0,83.0,32(2),32.0,2,2791.0,1.0,0.4,53.4,86.0,0.0,2.6,0.0,6.91
13,43,388482,Ebrima Colley,22.0, AM(R),180.0,70.0,0(5),0.0,5,79.0,1.0,0.4,9.2,84.8,0.0,0.0,0.0,6.31
14,44,125810,José Luis Palomino,32.0, D(C),188.0,87.0,28(2),28.0,2,2483.0,1.0,0.2,44.8,84.5,0.1,2.7,0.0,6.96
15,45,84190,Luis Muriel,31.0," AM(CL),FW",179.0,79.0,10(24),10.0,24,1246.0,1.0,1.1,14.1,72.1,0.3,0.4,0.0,6.95
16,46,137832,Mattia Caldara,28.0, D(C),187.0,80.0,11(3),11.0,3,960.0,1.0,0.1,31.9,88.1,0.0,1.9,0.0,6.73
17,47,124721,Adrien Tameze,28.0, M(C),180.0,78.0,2(5),2.0,5,208.0,0.0,0.4,28.0,90.3,0.0,0.9,0.0,6.36
18,48,386634,Amad Diallo,20.0, AM(R),173.0,72.0,0(3),0.0,3,24.0,0.0,0.3,6.0,72.2,0.0,0.0,0.0,6.43
19,49,14157,Andrea Masiello,36.0, D(CR),185.0,75.0,7,7.0,0,546.0,0.0,0.4,43.1,82.5,0.1,3.1,0.0,6.46
20,50,395600,Bosko Sutalo,22.0, D(C),188.0,72.0,3(4),3.0,4,279.0,0.0,0.1,22.6,86.1,0.1,0.3,0.0,6.28
21,51,78693,Francesco Rossi,31.0, Goalkeeper,193.0,83.0,0(1),0.0,1,10.0,0.0,0.0,2.0,100.0,0.0,1.0,0.0,5.92
22,52,241822,Guilherme Arana,25.0," D(L),M(L)",176.0,66.0,0(4),0.0,4,76.0,0.0,0.3,10.5,76.2,0.3,0.0,0.0,6.21
23,53,387695,Jacopo Da Riva,21.0, Midfielder,187.0,81.0,0(1),0.0,1,1.0,0.0,1.0,2.0,100.0,0.0,0.0,0.0,6.0
24,54,361777,Lennart Czyborra,23.0," D(L),M(L)",181.0,72.0,0(1),0.0,1,16.0,0.0,0.0,7.0,100.0,0.0,0.0,0.0,5.87
25,55,95504,Marco Sportiello,30.0, GK,192.0,87.0,5(1),5.0,1,526.0,0.0,0.0,19.7,81.4,0.0,2.8,0.0,6.62
26,56,240990,Pierluigi Gollini,27.0, GK,194.0,94.0,33,33.0,0,2884.0,0.0,0.0,24.6,71.0,0.0,7.1,0.0,6.56
27,57,349184,Raoul Bellanova,22.0, M(R),188.0,82.0,0(1),0.0,1,17.0,0.0,0.0,14.0,92.9,0.0,1.0,0.0,5.89
28,58,369414,Roberto Piccoli,21.0, FW,187.0,78.0,0(1),0.0,1,16.0,0.0,1.0,6.0,66.7,0.0,0.0,0.0,6.02
29,59,20769,Simon Kjaer,33.0, D(C),190.0,86.0,3(2),3.0,2,291.0,0.0,0.0,29.8,88.6,0.0,1.8,0.0,6.65
