,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,9016,Franck Ribéry,39," AM(CL),FW",170,72,24(3),24,3,2120,10,14,2,0,2.4,87.7,0.4,11,8.42
1,37099,Thomas Müller,33," M(CLR),FW",185,76,25(3),25,3,2102,13,11,0,0,2.4,77.7,1.5,4,7.69
2,31772,Toni Kroos,32, M(C),183,76,23(1),23,1,1926,6,8,2,0,2.2,89.7,0.5,3,7.69
3,4567,Bastian Schweinsteiger,38," D(C),M(C)",183,79,27(1),27,1,2360,7,3,4,0,1.5,87.8,0.9,2,7.64
4,10168,Tom Starke,41, GK,194,98,3,3,0,270,0,0,0,0,0.0,71.8,0.0,0,7.63
5,4173,Arjen Robben,38," M(CLR),FW",180,80,11(5),11,5,992,5,5,0,0,2.9,85.1,0.3,1,7.55
6,24088,Mario Mandzukic,36," M(L),FW",190,85,22(2),22,2,1744,15,1,2,0,2.8,70.9,2.4,2,7.49
7,14091,Javi Martínez,34," D(C),M(C)",192,86,19(8),19,8,1771,3,3,3,0,0.7,87.7,3.1,0,7.47
8,5570,Philipp Lahm,38," D(R),DMC",170,66,28(1),28,1,2504,0,11,0,0,0.4,89.7,0.5,2,7.41
9,39722,David Alaba,30," D(CL),M(CL)",180,78,22(1),22,1,1996,3,3,0,0,1.1,89.3,1.2,1,7.32
10,76304,Xherdan Shaqiri,30, M(CLR),169,72,13(13),13,13,1393,4,5,1,0,1.5,86.4,0.2,1,7.24
11,111212,Emre Can,28," D(CLR),DMC",186,86,2(2),2,2,218,1,0,1,0,1.3,79.3,1.3,0,7.19
12,29943,Holger Badstuber,33, D(CL),189,83,12,12,0,983,0,1,0,0,0.4,92.9,1.7,0,7.18
13,23589,Jérôme Boateng,34, D(CR),192,90,25(1),25,1,2245,2,2,5,0,0.3,88.4,1.2,0,7.17
14,43369,Luiz Gustavo,35," D(C),M(C)",187,78,16(6),16,6,1464,4,1,6,0,0.6,92.8,0.7,1,7.13
15,6683,Dante,38, D(C),188,87,29,29,0,2610,1,1,4,0,0.6,90.6,2.3,0,7.12
16,2179,Daniel Van Buyten,44, D(C),197,96,11(2),11,2,1066,0,0,0,0,0.8,90.9,2.3,0,7.04
17,6255,Mario Gomez,37, FW,189,89,9(12),9,12,897,11,1,0,0,1.8,78.8,0.5,1,6.98
18,217,Claudio Pizarro,43," AM(C),FW",184,84,7(13),7,13,769,6,7,0,0,1.7,81.2,0.8,2,6.9
19,13755,Rafinha,37," D(CLR),M(R)",172,65,6(7),6,7,585,2,1,1,1,0.5,89.6,0.5,0,6.9
20,13754,Manuel Neuer,36, GK,193,93,31,31,0,2790,0,0,2,0,0.0,74.9,0.1,0,6.86
21,70097,Diego Contento,32," D(L),M(L)",177,74,4(1),4,1,380,0,0,0,0,0.6,82.4,0.8,0,6.84
22,4801,Anatoliy Tymoshchuk,43, DMC,181,75,5(11),5,11,598,1,0,2,0,0.3,88.0,1.1,0,6.72
23,101859,Pierre-Emile Højbjerg,27, M(C),187,84,0(2),0,2,25,0,0,0,0,0.0,66.7,0.0,0,6.33
