,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,8096,Stefan Kießling,38, FW,191,81,30(2),2679,15,3,3,0,2.6,69.8,6.8,5,7.7,30,2
1,1,91909,Son Heung-Min,30," M(CLR),FW",183,78,29(2),2387,10,4,1,0,2.7,80.3,0.9,3,7.39,29,2
2,2,29742,Sidney Sam,34, M(CLR),174,68,16(6),1396,8,7,2,0,1.8,80.2,0.4,2,7.33,16,6
3,3,111212,Emre Can,28," D(CLR),DMC",186,86,24(5),2204,3,3,9,0,1.2,78.0,2.2,1,7.31,24,5
4,4,7905,Emir Spahic,42, D(C),186,81,26(1),2345,2,2,9,1,0.3,84.9,4.4,3,7.31,26,1
5,5,29940,Lars Bender,33," D(CR),M(CR)",185,78,28(1),2352,3,1,2,1,0.8,77.6,2.8,0,7.3,28,1
6,6,13423,Gonzalo Castro,35," D(L),M(CR)",172,72,30,2559,5,8,7,0,1.6,79.0,0.8,0,7.29,30,0
7,7,13757,Sebastian Boenisch,35, D(CL),191,90,25,2250,1,3,2,0,1.8,70.8,4,1,7.18,25,0
8,8,6624,Roberto Hilbert,37," D(R),M(R)",182,80,15(1),1293,1,1,2,0,0.8,73.2,2.6,0,7.16,15,1
9,9,6427,Simon Rolfes,40, M(C),191,83,22(9),2210,4,3,1,0,0.9,80.5,2.8,1,7.09,22,9
10,10,43589,Ömer Toprak,33, D(C),186,83,27(1),2450,1,1,5,0,0.4,88.1,3.3,0,7.08,27,1
11,11,82961,Giulio Donati,32," D(LR),M(R)",178,76,20(4),1861,0,1,5,0,0.2,73.5,2.1,0,7.05,20,4
12,12,92173,Bernd Leno,30, GK,189,82,34,3060,0,0,1,0,0,69.5,0.8,1,7.02,34,0
13,13,86173,Philipp Wollscheid,33, D(C),194,88,13(7),1163,0,0,6,0,0.3,85.5,3.2,1,6.85,13,7
14,14,21019,Andrés Guardado,35," D(L),M(CL)",169,60,3(1),271,0,0,2,0,1.3,83.5,1.3,0,6.84,3,1
15,15,40942,Stefan Reinartz,33, M(C),189,87,13(1),1105,0,1,5,0,0.4,85.2,1.8,0,6.82,13,1
16,16,141556,Julian Brandt,26," M(CLR),FW",185,83,6(6),597,2,2,1,0,0.9,71.7,0.6,0,6.66,6,6
17,17,35366,Jens Hegeler,34," D(C),M(CR)",193,86,6(12),686,0,3,3,0,0.8,69.4,1.7,0,6.62,6,12
18,18,106486,Konstantinos Stafylidis,28," D(LR),DMC,M(L)",178,74,0(1),9,0,0,0,0,2,100.0,0,0,6.57,0,1
19,19,32078,Robbie Kruse,33," AM(CLR),FW",179,70,4(11),412,2,2,1,0,0.8,73.0,0.3,1,6.53,4,11
20,20,26176,Eren Derdiyok,34, FW,191,90,4(14),547,1,1,2,0,1.3,67.5,2.4,1,6.44,4,14
21,21,134756,Levin Öztunali,26, M(CLR),184,81,0(9),86,0,0,0,0,0,85.0,0.3,0,6.27,0,9
22,22,110165,Dominik Kohr,28, DMC,183,77,0(2),5,0,0,0,0,0,100.0,0,0,6.2,0,2
23,23,141925,Ryu Seung-Woo,28, Midfielder,172,67,0(2),17,0,0,0,0,0,75.0,0,0,5.85,0,2
