,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,73084,Kevin De Bruyne,31," M(CLR),FW",181,68,34,34,0.0,3052,10,20,3,0,2.8,74.5,0.5,6,7.95
1,14172,Naldo,40, D(C),198,91,32,32,0.0,2879,7,2,5,0,1.6,83.6,4.8,5,7.78
2,61610,Ricardo Rodríguez,30," D(CL),M(L)",181,78,26,26,0.0,2294,6,4,2,0,1.3,80.9,3.3,3,7.72
3,34323,Bas Dost,33, FW,196,89,17(4),17,4.0,1530,16,4,1,0,2.0,64.9,4.3,2,7.59
4,77114,Timm Klose,34, D(C),193,87,11(1),11,1.0,959,1,0,0,0,0.3,84.3,4.7,1,7.44
5,43369,Luiz Gustavo,35," D(C),M(C)",187,78,30(1),30,1.0,2633,2,0,11,0,1.2,87.8,1.6,0,7.3
6,100591,Robin Knoche,30, D(C),189,84,25(2),25,2.0,2295,2,0,0,0,0.4,86.0,4.0,1,7.26
7,82362,Daniel Caligiuri,34," D(R),M(CLR),FW",182,80,18(10),18,10.0,1654,7,3,1,0,1.4,75.3,1.5,3,7.24
8,22652,Vieirinha,36," D(R),M(LR)",172,70,25(6),25,6.0,2312,1,5,1,0,1.1,74.2,1.5,0,7.24
9,70524,Ivan Perisic,33," M(CLR),FW",186,80,21(3),21,3.0,1736,5,4,4,0,1.8,72.1,2.7,3,7.15
10,70105,Josuha Guilavogui,32," D(C),M(C)",188,77,21(6),21,6.0,1775,1,0,4,1,0.6,83.0,2.0,1,6.96
11,3467,Ivica Olic,43," AM(LR),FW",182,85,12(2),12,2.0,966,5,0,0,0,1.9,67.4,2.2,0,6.9
12,10714,Diego Benaglio,39, GK,194,89,31,31,0.0,2790,0,0,2,0,0.0,66.0,0.7,0,6.8
13,20626,Christian Träsch,35," D(R),M(C)",180,75,8(4),8,4.0,728,0,0,0,0,0.1,80.1,1.0,0,6.78
14,108919,Maximilian Arnold,28, M(CR),184,74,17(10),17,10.0,1668,4,2,8,0,1.3,86.0,0.8,0,6.78
15,115573,Junior Malanda,28, DMC,181,78,4(6),4,6.0,392,0,2,0,0,0.9,83.0,1.4,0,6.71
16,10154,Marcel Schäfer,38," D(L),M(L)",184,75,7(9),7,9.0,660,0,2,0,0,0.2,81.5,1.0,0,6.64
17,77461,André Schürrle,31," M(CLR),FW",184,73,7(7),7,7.0,659,1,2,1,0,1.8,77.9,0.6,0,6.6
18,71852,Sebastian Jung,32, D(R),179,72,17(5),17,5.0,1435,0,2,0,0,0.0,79.1,0.6,0,6.56
19,51428,Max Grün,35, GK,190,85,3,3,0.0,270,0,0,0,0,0.0,69.0,0.0,0,6.44
20,10161,Aaron Hunt,36," M(CLR),FW",183,73,3(12),3,12.0,423,2,0,1,0,0.6,81.2,0.4,0,6.44
21,13819,Nicklas Bendtner,34, FW,193,84,5(13),5,13.0,565,1,0,0,0,0.5,72.3,1.7,0,6.38
