,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,35433,Marco Fabián,33," AM(CR),FW",170,64,23(1),2058,7,4,10,0,2.7,78.6,0.9,3,7.18,23,1
1,1,115996,Omar Mascarell,29, DMC,181,76,27(1),2450,0,0,13,0,0.4,80.7,2.4,1,7.09,27,1
2,2,116466,Marc Stendera,26, M(C),173,72,2,131,0,0,0,0,0,60.9,0,0,7.09,2,0
3,3,23199,David Abraham,36, D(C),188,83,30,2585,1,2,5,1,0.6,82.8,3,4,7.05,30,0
4,4,16954,Makoto Hasebe,38," D(CR),M(CR)",180,72,21(1),1887,1,1,2,0,0.4,82.3,1.8,0,6.97,21,1
5,5,67925,Bastian Oczipka,33," D(CL),M(L)",185,85,33,2952,1,4,5,0,0.3,77.8,0.9,1,6.96,33,0
6,6,238901,Jesús Vallejo,25, D(CR),184,79,22(3),2055,1,0,4,0,0.2,85.2,2.2,0,6.88,22,3
7,7,69467,Timothy Chandler,32," D(R),M(LR)",187,84,31(1),2817,0,3,7,1,0.6,73.1,2.2,2,6.88,31,1
8,8,300318,Mijat Gacinovic,27, M(CLR),175,67,26(2),2234,2,0,9,0,1,71.0,1.2,0,6.82,26,2
9,9,39336,Heinz Lindner,32, GK,188,82,1(1),174,0,0,0,0,0,35.0,0.5,0,6.82,1,1
10,10,5486,Alexander Meier,39," M(C),FW",196,96,15(6),1396,5,2,1,0,2,65.1,3.3,0,6.76,15,6
11,11,7421,Szabolcs Huszti,39, M(CLR),173,72,14(1),1047,2,2,3,1,0.7,78.0,0.8,1,6.73,14,1
12,12,329618,Aymen Barkok,24, AM(CR),189,82,6(12),653,2,2,1,0,0.4,70.2,0.6,0,6.65,6,12
13,13,145385,Guillermo Varela,29, D(LR),173,70,6(1),431,0,0,1,0,0,77.5,0.9,0,6.64,6,1
14,14,101735,Ante Rebic,28," AM(CLR),FW",185,78,16(8),1407,2,2,10,0,1.8,52.4,1.4,1,6.61,16,8
15,15,129289,Andersson Ordóñez,28, Defender,186,86,3(1),186,0,0,0,0,0,87.8,1.5,0,6.57,3,1
16,16,91840,Michael Hector,30," D(C),DMC",193,82,14(8),1356,1,0,4,1,0.3,70.6,1.5,0,6.52,14,8
17,17,99989,Branimir Hrgota,29," AM(CLR),FW",185,76,22(6),1750,5,1,2,0,1.4,77.3,0.6,1,6.52,22,6
18,18,64846,Lukás Hrádecky,32, GK,192,83,33,2883,0,0,2,1,0,63.4,0.3,0,6.47,33,0
19,19,132348,Danny Blum,31," AM(LR),FW",183,83,3(11),453,1,1,0,0,1.6,67.3,0.7,0,6.44,3,11
20,20,312666,Marius Wolf,27," D(R),M(CLR)",188,81,2(1),168,0,0,1,0,0.3,72.7,1,0,6.29,2,1
21,21,74016,Haris Seferovic,30," AM(LR),FW",189,85,11(14),1061,3,0,1,1,1.2,62.0,1.2,0,6.28,11,14
22,22,79522,Taleb Tawatha,30," D(L),M(L)",176,81,8(6),694,0,0,0,0,0.1,76.3,0.5,0,6.28,8,6
23,23,13753,Marco Russ,37," D(C),DMC",190,88,3(1),243,0,0,1,0,1,80.5,0.5,0,6.23,3,1
24,24,131050,Shani Tarashaj,27, Forward,176,76,1(12),325,1,0,1,0,0.5,70.1,0.1,0,6.19,1,12
25,25,285993,Max Besuschkow,25, DMC,187,81,1(2),86,0,0,1,0,0.3,59.1,0,0,6.11,1,2
