,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,35199,Ignacio Camacho,32," D(C),M(C)",182,75,6,540,0,0,3,0,1.2,78.3,5.5,1,7.34,6,0.0
1,1,115479,Wout Weghorst,30, FW,197,84,33(1),2931,17,7,4,0,2.1,69.5,3.4,3,7.24,33,1.0
2,2,108919,Maximilian Arnold,28, M(CR),184,74,33,2879,2,6,7,0,1.6,80.8,0.8,2,7.11,33,0.0
3,3,243276,William,27," D(LR),M(R)",176,67,30(1),2676,2,1,10,0,0.8,74.4,1.6,1,7.09,30,1.0
4,4,97145,Jérôme Roussillon,29," D(L),M(L)",175,80,28,2466,3,4,4,0,0.7,77.3,0.9,3,7.03,28,0.0
5,5,70105,Josuha Guilavogui,32," D(C),M(C)",188,77,18(1),1572,2,1,5,0,0.4,81.6,1.5,1,6.97,18,1.0
6,6,41881,Admir Mehmedi,31," M(CLR),FW",183,78,20(6),1700,6,5,1,0,1.4,76.4,1.1,1,6.96,20,6.0
7,7,132775,Marcel Tisserand,29," D(CLR),M(R)",190,80,10,888,1,0,2,0,1,78.5,2.9,1,6.9,10,0.0
8,8,100591,Robin Knoche,30, D(C),189,84,31,2790,3,0,0,0,0.5,85.9,2.6,1,6.86,31,0.0
9,9,73797,Koen Casteels,30, GK,197,78,26,2296,0,0,0,0,0,76.9,0.4,0,6.83,26,0.0
10,10,104899,John Brooks,29, D(C),193,78,29,2610,3,2,7,0,0.7,85.9,2.7,1,6.78,29,0.0
11,11,346498,Pavao Pervan,34, GK,194,88,9(1),766,0,0,1,0,0,74.6,0.5,0,6.7,9,1.0
12,12,130899,Yannick Gerhardt,28," D(L),M(CL)",184,81,28(2),2462,2,2,2,0,1.2,77.8,0.8,1,6.69,28,2.0
13,13,80388,Daniel Ginczek,31," AM(R),FW",191,85,12(12),1275,6,2,4,0,1.5,58.7,1.1,3,6.68,12,12.0
14,14,335030,Gian-Luca Itter,23, D(CL),183,74,1(1),93,0,0,0,0,0,88.4,1,0,6.63,1,1.0
15,15,298792,Josip Brekalo,24," AM(CLR),FW",175,70,15(10),1416,3,3,2,0,1,73.0,0.2,0,6.59,15,10.0
16,16,119172,Renato Steffen,30, M(CLR),170,65,18(13),1507,5,1,4,0,0.9,76.0,0.7,0,6.57,18,13.0
17,17,349837,Elvis Rexhbecaj,24, M(C),182,78,13(11),1144,2,2,4,0,0.4,70.7,1,0,6.53,13,11.0
18,18,365389,John Yeboah,22, AM(R),170,66,0(2),54,0,0,0,0,0.5,76.2,0,0,6.45,0,2.0
19,19,71852,Sebastian Jung,32, D(R),179,72,1,57,0,0,0,0,0,87.0,0,0,6.41,1,0.0
20,20,93671,Felix Klaus,30, AM(CLR),179,79,5(10),438,1,1,0,0,1.1,78.8,0.5,0,6.39,5,10.0
21,21,104919,Yunus Malli,30," M(CLR),FW",179,72,5(16),689,1,1,0,0,0.4,77.7,0.3,0,6.34,5,16.0
22,22,320002,Felix Uduokhai,25, D(C),193,89,2(9),238,0,0,2,0,0.1,84.2,0.7,0,6.32,2,9.0
23,23,16243,Paul Verhaegh,39," D(R),M(R)",178,74,2,180,0,0,0,0,0,81.5,0.5,0,6.23,2,0.0
24,24,21988,Jakub Blaszczykowski,36," D(R),M(CR)",175,71,0(1),12,0,0,0,0,0,100.0,1,0,5.99,0,1.0
