,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,326413,Kai Havertz,23," M(CR),FW",188,83,29(1),29,1,2462,12,6,3,0,2.0,85.4,1.4,3,7.24
1,92812,Kevin Volland,30," AM(CLR),FW",179,85,24(3),24,3,2051,10,7,3,0,2.9,70.8,1.4,4,7.1
2,22589,Sven Bender,33," D(C),M(C)",186,79,33,33,0,2730,2,1,3,0,0.5,91.3,3.4,2,6.98
3,29940,Lars Bender,33," D(CR),M(CR)",185,78,16(2),16,2,1375,2,1,3,0,0.8,86.2,1.4,0,6.97
4,353397,Moussa Diaby,23," M(CLR),FW",170,68,18(10),18,10,1771,5,5,3,0,1.5,79.2,0.1,3,6.93
5,91060,Karim Bellarabi,32," M(CLR),FW",184,81,17(9),17,9,1429,4,6,2,0,2.1,76.4,0.1,1,6.92
6,115166,Kerem Demirbay,29, M(C),183,73,18(7),18,7,1578,1,5,2,1,1.2,82.9,0.8,1,6.91
7,134946,Jonathan Tah,26, D(C),195,98,22(3),22,3,2090,0,1,4,1,0.2,90.0,2.9,1,6.9
8,132273,Wendell,29," D(CL),M(L)",178,72,21(3),21,3,1906,0,2,4,1,0.4,86.3,1.3,0,6.85
9,299684,Exequiel Palacios,23, M(C),177,67,2(1),2,1,177,0,0,0,0,1.7,87.0,0.0,1,6.85
10,108914,Mitchell Weiser,28," D(R),M(R)",177,70,14(4),14,4,1173,1,0,3,0,0.4,78.9,1.0,0,6.84
11,141781,Daley Sinkgraven,27," D(L),M(CL)",179,67,11(2),11,2,913,0,1,1,0,0.0,86.0,0.8,0,6.8
12,261021,Nadiem Amiri,25, M(CLR),180,77,22(8),22,8,1862,1,2,3,0,1.4,84.4,0.3,1,6.8
13,394786,Florian Wirtz,19, AM(C),176,70,3(4),3,4,368,1,0,0,0,0.6,81.8,0.0,1,6.78
14,25657,Charles Aránguiz,33, M(C),171,68,23(4),23,4,2126,1,3,2,0,0.6,86.0,0.5,0,6.75
15,64846,Lukás Hrádecky,32, GK,192,83,34,34,0,3060,0,0,1,0,0.0,74.3,0.3,1,6.73
16,327682,Leon Bailey,25," M(LR),FW",178,77,12(10),12,10,1095,5,3,0,2,1.3,73.3,0.5,1,6.7
17,125654,Lucas Alario,29, FW,184,78,11(13),11,13,1165,7,1,6,0,2.1,72.0,1.9,2,6.64
18,369446,Edmond Tapsoba,23, D(C),194,85,12(2),12,2,1057,0,0,2,0,0.2,91.4,1.6,0,6.62
19,27124,Julian Baumgartlinger,34, DMC,181,85,20(7),20,7,1792,2,2,4,0,0.6,90.7,0.8,0,6.61
20,339845,Paulinho,22, AM(CLR),177,77,1(12),1,12,295,3,2,1,0,0.7,83.7,0.2,1,6.5
21,40560,Aleksandar Dragovic,31, D(CR),186,84,10(5),10,5,1029,0,0,5,1,0.1,88.9,1.4,0,6.44
22,302402,Panagiotis Retsos,24, D(CLR),186,79,1(2),1,2,115,0,0,0,0,0.0,85.6,1.0,0,6.38
23,139623,Joel Pohjanpalo,28, FW,186,83,0(1),0,1,1,0,0,0,0,0.0,0.0,0.0,0,5.97
