,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,300945,Christopher Nkunku,24," M(CLR),FW",175,73,19(9),19,9,1895,6,6,2,0,2.0,84.3,1.0,3,7.26
1,104917,Willi Orbán,29, D(C),186,87,25(4),25,4,2361,4,1,4,0,0.8,87.5,3.9,2,7.17
2,255089,Angeliño,25," D(L),M(L)",175,69,24(2),24,2,2165,4,4,2,0,1.3,74.4,0.5,2,7.09
3,92051,Marcel Sabitzer,28," M(CLR),FW",178,76,24(3),24,3,2031,8,3,8,0,2.2,79.7,0.6,1,7.0
4,261212,Dani Olmo,24," AM(CLR),FW",179,72,26(6),26,6,2207,5,9,1,0,2.4,77.6,0.8,2,6.95
5,327721,Dayot Upamecano,23, D(C),186,90,27(2),27,2,2333,1,0,6,0,0.5,88.4,2.6,3,6.87
6,115161,Marcel Halstenberg,30," D(CL),M(L)",188,87,19(5),19,5,1653,2,2,2,0,0.6,86.7,1.8,1,6.84
7,298837,Amadou Haidara,24, M(CLR),175,72,21(10),21,10,1910,3,1,4,0,1.4,80.0,1.1,1,6.81
8,299077,Nordi Mukiele,24," D(CR),M(R)",187,84,21(7),21,7,1684,3,1,5,0,0.8,78.4,2.0,0,6.79
9,132943,Yussuf Poulsen,28," AM(R),FW",192,84,14(13),14,13,1352,5,4,1,0,1.7,72.7,1.5,3,6.77
10,141716,Emil Forsberg,30," AM(CLR),FW",177,76,20(9),20,9,1552,7,4,0,0,1.2,79.4,0.3,1,6.76
11,302497,Alexander Sørloth,26," AM(R),FW",195,90,13(16),13,16,1432,5,3,2,0,1.6,73.6,2.8,2,6.75
12,315275,Tyler Adams,23," D(R),M(CR)",175,72,21(6),21,6,1853,1,1,3,0,0.3,86.1,0.8,0,6.7
13,80994,Kevin Kampl,31, M(CLR),178,66,24(3),24,3,1946,0,1,6,0,0.5,89.9,0.5,0,6.68
14,143600,Lukas Klostermann,26," D(CLR),M(R)",187,88,15(8),15,8,1445,1,0,2,0,0.5,87.0,0.7,0,6.58
15,67369,Péter Gulácsi,32, GK,191,86,33,33,0,2970,0,0,0,0,0.0,85.3,0.1,0,6.54
16,345957,Ibrahima Konaté,23, D(C),194,95,8(6),8,6,695,1,0,2,0,0.3,86.2,2.1,0,6.53
17,331579,Justin Kluivert,23, AM(LR),171,67,8(11),8,11,812,3,0,2,0,0.9,73.2,0.3,0,6.46
18,393039,Lazar Samardzic,20, Midfielder,177,70,2(5),2,5,198,0,1,0,0,0.1,72.6,0.1,0,6.41
19,296769,Benjamin Henrichs,25," D(LR),DMC,M(LR)",183,79,5(8),5,8,537,0,1,3,0,0.4,77.6,0.2,0,6.33
20,262854,Hwang Hee-Chan,26," AM(CLR),FW",177,77,3(15),3,15,448,0,1,2,0,0.6,65.8,0.3,0,6.16
21,397894,Joscha Wosz,20, Midfielder,174,68,0(2),0,2,32,0,0,0,0,0.0,75.0,0.0,0,6.11
22,321236,Josep Martínez,24, Goalkeeper,191,78,1,1,0,90,0,0,0,0,0.0,73.9,1.0,0,6.08
23,248010,Konrad Laimer,25," D(R),M(CR)",180,72,1(2),1,2,84,0,0,0,0,1.0,69.0,0.7,0,6.02
24,395714,Dennis Borkowski,20, FW,184,72,0(2),0,2,10,0,0,0,0,0.0,80.0,0.0,0,6.0
