,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,14167,Carlos Tevez,38," AM(CL),FW",173,75,30(1),2535,20,6,6,0,3.9,82.9,0.1,8,7.59,30,1
1,1,10136,Vincent Kompany,36, D(C),193,85,37,3330,0,1,6,0,0.3,85.6,2,2,7.42,37,0
2,2,14244,Pablo Zabaleta,37," D(R),DMC,M(R)",176,74,21(5),1946,2,2,8,1,0.7,79.3,1.7,2,7.27,21,5
3,3,14053,Yaya Touré,39, M(C),188,90,35,2977,8,4,3,0,1.4,85.5,1,3,7.17,35,0
4,4,14102,David Silva,36," M(CLR),FW",170,67,30(5),2565,4,7,2,0,1.8,87.0,0.2,2,7.15,30,5
5,5,3817,Kolo Touré,41, D(C),183,74,21(1),1846,1,0,2,1,0.4,86.9,2,1,7.1,21,1
6,6,188,Gareth Barry,41, M(C),185,87,31(2),2705,2,2,8,0,0.5,85.2,0.9,1,7.06,31,2
7,7,4608,Nigel de Jong,37, M(C),174,72,30(2),2612,1,1,9,0,0.3,90.0,0.5,0,7.05,30,2
8,8,8137,Joleon Lescott,40, D(CL),190,89,20(2),1882,3,1,1,0,0.4,82.8,1.7,1,6.99,20,2
9,9,14168,Micah Richards,34, D(CR),180,83,16(2),1401,1,1,4,0,0.6,83.2,2.4,0,6.97,16,2
10,10,8786,Joe Hart,35, GK,196,91,38,3420,0,0,1,0,0,44.0,0.1,2,6.92,38,0
11,11,23589,Jérôme Boateng,34, D(CR),192,90,14(2),1239,0,0,1,0,0.8,78.6,0.9,0,6.91,14,2
12,12,12267,Aleksandar Kolarov,36," D(CL),M(L)",187,81,20(4),1717,1,0,5,1,2,77.1,0.6,0,6.89,20,4
13,13,33799,Mario Balotelli,32, FW,189,88,12(5),1092,6,0,6,1,2.8,77.1,0.5,2,6.85,12,5
14,14,14269,Adam Johnson,35, M(CLR),175,63,15(16),1531,4,5,2,0,1.2,82.9,0,1,6.78,15,16
15,15,4511,James Milner,36," D(LR),M(CLR)",175,70,23(9),2050,0,6,4,0,0.8,78.3,0.6,0,6.77,23,9
16,16,24845,Edin Dzeko,36, FW,193,80,8(7),846,2,2,0,0,2.2,69.6,1.4,0,6.62,8,7
17,17,83032,Dedryck Boyata,31, D(C),188,84,5(2),347,0,0,1,1,0.1,79.1,0.7,0,6.55,5,2
18,18,341,Patrick Vieira,46," D(C),DMC",192,82,4(11),488,2,0,2,0,0.3,82.4,0.7,0,6.47,4,11
19,19,6363,Emmanuel Adebayor,38, FW,191,82,2(6),241,1,0,0,0,1,71.3,1.5,0,6.36,2,6
20,20,2703,Shaun Wright-Phillips,40, M(LR),168,64,2(5),202,0,0,0,0,0.9,79.5,0.1,0,6.35,2,5
21,21,16696,Jô,35, FW,189,86,3(9),343,0,0,0,0,0.6,76.5,1.6,0,6.28,3,9
22,22,836,Wayne Bridge,42, D(L),178,69,1(2),148,0,0,0,0,0,72.4,1,0,6.09,1,2
23,23,44524,Ryan McGivern,32, Defender,183,84,0(1),20,0,0,0,0,1,92.9,0,0,6.08,0,1
24,24,98050,Reece Wabara,30, D(LR),182,79,0(1),2,0,0,0,0,0,75.0,0,0,6.04,0,1
25,25,98850,Abdul Razak,29, DMC,180,80,0(1),1,0,0,0,0,0,100.0,0,0,6.0,0,1
26,26,954,Roque Santa Cruz,41, FW,191,93,0(1),24,0,0,0,0,0,50.0,0,0,5.91,0,1
