,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,13812,Gareth Bale,33," M(CLR),FW",185,81,36,36,0.0,3217,9,10,3,0,3.8,82.5,1.0,8,7.66
1,20874,Luka Modric,37, M(C),172,66,36,36,0.0,3216,4,4,2,0,2.3,87.4,0.3,2,7.59
2,14805,Younes Kaboul,36, D(C),193,87,33,33,0.0,2904,1,0,2,1,0.9,84.2,3.7,1,7.3
3,6363,Emmanuel Adebayor,38, FW,191,82,32(1),32,1.0,2841,17,11,3,0,3.0,80.8,1.9,4,7.29
4,270,Scott Parker,41, M(C),180,70,28(1),28,1.0,2476,0,1,7,1,0.7,89.5,0.2,0,7.22
5,4343,Rafael van der Vaart,39, M(C),176,74,28(5),28,5.0,2339,11,7,3,0,3.1,88.0,0.2,4,7.21
6,4905,Michael Dawson,38, D(C),188,76,6(1),6,1.0,548,0,0,1,0,0.4,86.2,3.3,0,7.2
7,69778,Kyle Walker,32," D(CR),M(R)",178,70,37,37,0.0,3231,2,1,4,0,0.7,83.0,0.9,1,7.13
8,11580,Benoit Assou-Ekotto,38, D(L),178,70,34,34,0.0,2963,2,4,6,0,0.9,80.1,0.4,2,7.11
9,1554,William Gallas,45, D(C),181,69,15,15,0.0,1325,0,0,1,0,0.2,93.0,1.3,0,7.09
10,68890,Sandro,33, M(C),187,82,17(6),17,6.0,1419,0,0,6,0,0.8,87.6,0.5,1,7.0
11,2837,Jermain Defoe,39," AM(R),FW",171,65,11(14),11,14.0,1288,11,1,2,0,2.6,82.5,0.0,0,6.84
12,5625,Aaron Lennon,35, M(LR),165,63,19(4),19,4.0,1582,3,5,1,0,0.8,86.1,0.2,0,6.83
13,562,Ledley King,41," D(L),DMC",188,82,21,21,0.0,1795,0,0,0,0,0.5,90.6,1.6,0,6.82
14,110,Louis Saha,44," AM(L),FW",185,69,5(5),5,5.0,398,3,1,0,0,1.8,80.2,0.7,0,6.76
15,7411,Niko Kranjcar,38, M(CL),186,84,9(3),9,3.0,643,1,1,0,0,1.4,84.8,0.4,0,6.75
16,3426,Brad Friedel,51, GK,191,92,38,38,0.0,3420,0,0,0,0,0.0,58.5,0.1,2,6.72
17,3807,Peter Crouch,41, FW,201,75,1,1,0.0,90,0,0,0,0,2.0,81.8,6.0,0,6.64
18,19247,Sebastien Bassong,36, D(C),187,73,1(4),1,4.0,224,0,0,0,0,0.2,91.0,1.2,0,6.57
19,36849,Jake Livermore,32," D(C),DMC",181,91,7(17),7,17.0,839,0,1,1,0,0.2,91.1,0.0,0,6.47
20,69877,Adam Smith,31," D(LR),M(LR)",180,78,0(1),0,1.0,14,0,0,0,0,0.0,90.9,0.0,0,6.45
21,99588,Cameron Lancaster,29, Forward,184,74,0(1),0,1.0,11,0,0,0,0,1.0,100.0,0.0,0,6.34
22,8194,Tom Huddlestone,35, DMC,188,80,0(2),0,2.0,61,0,0,0,0,1.5,78.9,0.0,0,6.34
23,13311,Ryan Nelsen,44, D(C),185,77,0(5),0,5.0,110,0,0,0,0,0.2,87.8,0.2,0,6.3
24,24711,Danny Rose,32," D(L),M(L)",173,72,3(8),3,8.0,311,0,0,1,1,0.1,84.9,0.1,0,6.28
25,22040,Vedran Corluka,36, D(C),192,84,1(2),1,2.0,136,0,0,0,0,0.0,80.7,0.7,0,6.2
26,7336,Roman Pavlyuchenko,40, FW,188,80,0(5),0,5.0,128,1,0,0,0,1.0,76.5,0.2,0,6.18
27,28112,Giovani dos Santos,33," AM(CLR),FW",174,71,0(7),0,7.0,49,0,0,0,0,0.1,86.5,0.0,0,6.15
28,3553,Steven Pienaar,40, M(CL),170,69,0(2),0,2.0,14,0,0,0,0,0.0,86.7,0.0,0,6.09
