,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,80767,Philippe Coutinho,30, M(CLR),172,68,24(2),2005,8,5,2,1,4.3,78.9,0.2,4,7.29,24,2
1,1,4511,James Milner,36," D(LR),M(CLR)",175,70,28,2416,5,11,9,1,1.4,77.4,1.1,4,7.21,28,0
2,2,96182,Roberto Firmino,30," M(CLR),FW",181,76,24(7),1982,10,7,1,0,2,76.6,0.3,5,7.19,24,7
3,3,68659,Jordan Henderson,32," D(C),M(CLR)",182,67,15(2),1293,2,3,1,0,1.5,79.1,1.2,0,7.14,15,2
4,4,23736,Daniel Sturridge,33," M(R),FW",188,76,11(3),980,8,1,0,0,3.4,78.2,0.4,1,7.12,11,3
5,5,31451,Lucas Leiva,35," D(C),M(C)",179,74,21(6),1953,0,1,8,0,0.3,83.4,2.3,1,7.08,21,6
6,6,21683,Adam Lallana,34, M(CLR),172,73,23(7),2113,4,6,2,0,1.5,82.4,0.8,1,7.08,23,7
7,7,29575,Mamadou Sakho,32, D(C),187,83,21(1),1855,1,0,1,0,0.3,87.9,3.4,0,7.07,21,1
8,8,113275,Alberto Moreno,30," D(L),M(L)",171,65,28(4),2548,1,4,3,0,1.1,81.3,0.4,3,7.05,28,4
9,9,111212,Emre Can,28," D(CLR),DMC",186,86,28(2),2493,1,0,9,0,1,81.3,1.5,1,7.05,28,2
10,10,29106,Dejan Lovren,33, D(C),188,84,22(2),1898,0,0,2,0,0.9,84.6,3.3,1,6.97,22,2
11,11,107846,Kevin Stewart,29, DMC,181,73,6(1),564,0,0,1,0,0.7,88.0,0.7,0,6.94,6,1
12,12,19840,Martin Skrtel,37, D(C),191,81,21(1),1886,1,0,5,0,0.5,85.3,2.6,0,6.93,21,1
13,13,136451,Joe Gomez,25, D(CLR),188,77,5,438,0,1,3,0,0.2,78.8,1.8,0,6.86,5,0
14,14,68312,Christian Benteke,31, FW,190,83,14(15),1520,9,3,2,0,2.1,66.1,4.4,3,6.83,14,15
15,15,69375,Nathaniel Clyne,31," D(LR),M(R)",175,67,33,2970,1,0,6,0,0.9,78.6,0.3,0,6.79,33,0
16,16,3817,Kolo Touré,41, D(C),183,74,9(5),859,1,0,1,0,0.3,81.5,0.6,0,6.76,9,5
17,17,99165,Danny Ward,29, GK,191,88,2,180,0,0,0,0,0,53.1,0.5,0,6.74,2,0
18,18,141513,Cameron Brannagan,26, M(C),180,71,1(2),112,0,0,0,0,0.3,95.1,0,0,6.71,1,2
19,19,94030,Jon Flanagan,29, D(LR),181,79,5,421,0,1,1,0,0,83.8,1.4,0,6.69,5,0
20,20,257539,Sheyi Ojo,25, AM(CLR),177,64,5(3),397,0,3,0,0,0.6,87.1,0.3,0,6.66,5,3
21,21,124688,Divock Origi,27," AM(LR),FW",185,75,7(9),669,5,1,0,0,1.5,75.0,0.4,0,6.63,7,9
22,22,105797,Jordon Ibe,26, M(CLR),176,81,12(15),1172,1,2,0,0,1.1,84.8,0.1,1,6.59,12,15
23,23,23444,Joe Allen,32, M(C),168,62,8(11),736,2,1,0,0,0.6,84.1,0.2,0,6.57,8,11
24,24,91762,Danny Ings,30," AM(C),FW",178,73,3(3),340,2,0,1,0,1.7,76.3,0.5,0,6.54,3,3
25,25,52197,Simon Mignolet,34, GK,193,87,34,3060,0,0,2,0,0,60.6,0.1,0,6.52,34,0
26,26,141437,Jordan Rossiter,25, DMC,178,68,0(1),14,0,0,0,0,0,80.0,0,0,6.35,0,1
27,27,141414,Brad Smith,28," D(L),M(L)",178,70,3(1),285,0,0,1,1,0.3,76.6,0.5,0,6.33,3,1
28,28,296522,Connor Randall,26, D(LR),180,76,2(1),163,0,0,0,0,0.7,73.2,0.7,0,6.24,2,1
29,29,295964,Sergi Canós,25, M(LR),177,75,0(1),9,0,0,0,0,0,80.0,1,0,6.16,0,1
30,30,142352,João Teixeira,29, AM(CLR),167,64,0(1),3,0,0,0,0,0,100.0,0,0,6.11,0,1
31,31,76499,Steven Caulker,30, D(C),191,76,0(3),4,0,0,0,0,0.3,44.4,1,0,6.06,0,3
32,32,69179,Ádám Bogdán,34, GK,193,82,2,180,0,0,0,0,0,46.2,0,0,5.6,2,0
33,33,297409,Pedro Chirivella,25, DMC,178,66,1,46,0,0,0,0,0,72.7,0,0,5.31,1,0
