,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,33404,Eden Hazard,31," M(CLR),FW",175,74,36,3007,16,5,3,0,2.1,84.2,0.6,13,7.81,36,0.0
1,1,84008,Marcos Alonso,31," D(CL),M(L)",188,84,30(1),2694,6,3,2,0,1.5,77.8,2.4,1,7.41,30,1.0
2,2,24248,Diego Costa,33, FW,188,83,35,3090,20,7,10,0,3.2,75.2,1.3,5,7.41,35,0.0
3,3,114075,N'Golo Kanté,31, DMC,168,68,35,3139,1,1,9,0,0.8,88.8,0.5,1,7.23,35,0.0
4,4,33064,Victor Moses,31, M(CLR),177,79,29(5),2498,3,2,4,0,1.3,79.2,1,0,7.22,29,5.0
5,5,25931,César Azpilicueta,33," D(CLR),M(R)",178,76,38,3420,1,4,4,0,0.5,87.3,2.1,4,7.21,38,0.0
6,6,27586,David Luiz,35," D(C),DMC",189,84,33,2956,1,0,6,0,0.9,83.6,1.8,1,7.16,33,0.0
7,7,44055,Pedro,35," M(CLR),FW",169,65,26(9),2151,9,9,6,0,1.7,82.7,0.2,0,7.13,26,9.0
8,8,11981,Gary Cahill,36, D(C),193,86,36(1),3296,6,0,5,0,0.6,88.4,2.5,1,7.06,36,1.0
9,9,8040,Cesc Fàbregas,35," M(CL),FW",180,77,13(16),1328,5,12,8,0,0.9,84.5,0.3,3,7.05,13,16.0
10,10,38128,Nemanja Matic,34, DMC,194,85,30(5),2697,1,7,4,0,0.6,87.7,1.1,1,7.01,30,5.0
11,11,29463,Willian,34, AM(CLR),174,76,15(19),1531,8,2,3,0,1.3,83.5,0,2,6.89,15,19.0
12,12,73798,Thibaut Courtois,30, GK,200,96,36,3240,0,0,1,0,0,66.2,0.2,0,6.74,36,0.0
13,13,41065,Oscar,31, M(CLR),179,70,5(4),456,0,1,1,0,1.3,84.1,0.3,0,6.65,5,4.0
14,14,122945,Nathan Aké,27," D(CL),DMC",180,75,1(1),98,0,1,1,0,0.5,93.2,1,0,6.65,1,1.0
15,15,15338,Branislav Ivanovic,38, D(CR),185,80,6(7),584,0,0,2,0,0.5,82.7,1.5,0,6.55,6,7.0
16,16,132838,Kenedy,26," D(L),M(LR)",182,77,1,75,0,0,0,0,3,59.1,0,0,6.4,1,0.0
17,17,70,John Terry,41, D(C),187,90,6(3),494,1,0,1,0,0.9,92.2,1.6,0,6.35,6,3.0
18,18,97803,Michy Batshuayi,28, FW,184,76,1(19),239,5,1,0,0,0.9,83.8,0.2,0,6.34,1,19.0
19,19,92729,Nathaniel Chalobah,27, DMC,187,80,1(9),159,0,1,2,0,0.1,82.5,0.4,0,6.28,1,9.0
20,20,106086,Kurt Zouma,27, D(CR),190,96,3(6),247,0,1,0,0,0.1,80.5,0.6,0,6.23,3,6.0
21,21,315543,Ola Aina,25," D(CLR),M(LR)",184,82,0(3),25,0,0,0,0,0.3,87.5,0,0,6.12,0,3.0
22,22,255777,Ruben Loftus-Cheek,26, M(CLR),191,88,0(6),31,0,0,0,0,0.2,84.0,0.2,0,6.09,0,6.0
23,23,23122,Asmir Begovic,35, GK,199,101,2,180,0,0,0,0,0,76.1,0,0,5.67,2,0.0
