,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,97752,Paul Pogba,29, M(CL),191,84,34(1),3012,13,9,6,0,3,82.8,1.7,7,7.31,34,1
1,1,71174,Ander Herrera,33, M(C),182,71,16(6),1405,2,3,4,0,1,87.8,0.2,2,6.96,16,6
2,2,300299,Marcus Rashford,24," AM(CLR),FW",180,70,26(7),2345,10,6,3,1,2.5,78.1,0.9,3,6.95,26,7
3,3,118244,Luke Shaw,27," D(CL),M(L)",185,75,29,2592,1,4,11,0,0.7,83.3,1.7,2,6.91,29,0
4,4,122366,Anthony Martial,26," AM(LR),FW",181,76,18(9),1624,10,2,2,0,1.4,79.3,0.7,2,6.9,18,9
5,5,8166,Ashley Young,37," D(LR),M(LR)",175,65,28(2),2569,2,2,8,1,0.4,77.5,0.8,0,6.87,28,2
6,6,78498,Romelu Lukaku,29," AM(R),FW",190,93,22(10),2130,12,0,4,0,1.7,66.3,2.9,2,6.84,22,10
7,7,81726,Phil Jones,30," D(CR),DMC",180,71,15(3),1264,0,1,1,0,0.3,92.6,2.6,0,6.81,15,3
8,8,71345,Chris Smalling,32, D(CR),194,81,24,2128,1,0,1,0,0.5,86.2,4.3,1,6.79,24,0
9,9,38128,Nemanja Matic,34, DMC,194,85,28,2441,1,0,6,1,0.4,86.9,2,0,6.76,28,0
10,10,25363,Juan Mata,34, AM(CLR),170,63,16(6),1295,3,2,3,0,0.9,86,0.1,0,6.7,16,6
11,11,18296,Antonio Valencia,37," D(R),M(R)",180,83,5(1),466,0,0,2,0,0.3,84.1,0.5,0,6.68,5,1
12,12,100008,Victor Lindelöf,28, D(CR),187,80,29(1),2602,1,1,1,0,0.3,89.2,2.3,0,6.68,29,1
13,13,22738,Marouane Fellaini,34, M(C),194,85,6(8),748,0,1,1,0,0.5,81.2,3.4,0,6.66,6,8
14,14,353418,Diogo Dalot,23," D(LR),M(R)",183,76,12(4),1015,0,2,3,0,0.9,70.9,1.4,0,6.63,12,4
15,15,25244,Alexis Sánchez,33," M(CLR),FW",169,62,9(11),877,1,3,3,0,0.9,74.6,0.4,0,6.6,9,11
16,16,109000,Jesse Lingard,29," AM(CLR),FW",175,62,19(8),1670,4,2,3,0,1.2,85.7,0.2,1,6.59,19,8
17,17,23220,Matteo Darmian,32," D(CLR),M(LR)",182,70,5(1),444,0,0,0,0,0.2,85.1,0.5,0,6.59,5,1
18,18,79554,David de Gea,31, GK,192,76,38,3420,0,0,1,0,0,60,0.1,1,6.52,38,0
19,19,114397,Fred,29, M(C),169,64,13(4),1045,1,1,2,0,1,86.3,0.2,1,6.49,13,4
20,20,336915,Scott McTominay,25," D(C),DMC",193,88,9(7),863,2,0,1,0,0.9,83.3,2.1,1,6.48,9,7
21,21,367782,Mason Greenwood,20," AM(R),FW",181,70,1(2),116,0,0,0,0,2.3,85,0,0,6.44,1,2
22,22,243814,Eric Bailly,28, D(CR),187,77,8(4),639,0,0,0,1,0.3,87.1,1.1,0,6.37,8,4
23,23,243254,Andreas Pereira,26, M(CLR),178,71,6(9),597,1,1,5,0,0.5,82.4,0.2,0,6.26,6,9
24,24,70050,Marcos Rojo,32, D(CL),186,82,2(3),211,0,0,2,0,1.2,72.6,0.6,0,6.15,2,3
25,25,338497,Angel Gomes,22," M(CL),FW",161,61,0(2),25,0,0,0,0,1,95.2,0,0,6.08,0,2
26,26,365244,Tahith Chong,22," AM(CLR),FW",185,75,0(2),37,0,0,0,0,1,80,0,0,6.07,0,2
27,27,367781,James Garner,21, M(C),186,78,0(1),1,0,0,0,0,0,0,0,0,6.0,0,1
