,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,239872,Nicolas Pépé,27," AM(LR),FW",183,73,22(9),22,9,2016,5,6,4,0,1.6,81.4,0.7,4,7.06
1,44120,Pierre-Emerick Aubameyang,33," M(CLR),FW",187,80,35(1),35,1,3139,22,3,3,1,2.6,72.2,0.9,3,7.03
2,102248,Emiliano Martínez,30, GK,195,88,8(1),8,1,770,0,0,2,0,0.0,67.3,0.0,0,7.02
3,141032,Pablo Marí,29, D(C),193,87,2,2,0,114,0,0,0,0,0.0,85.0,2.0,0,6.95
4,80921,Shkodran Mustafi,30, D(CR),184,82,13(2),13,2,1206,0,1,2,0,0.7,81.9,4.3,1,6.94
5,73078,Alexandre Lacazette,31," M(CLR),FW",175,73,22(8),22,8,1878,10,4,8,0,1.7,76.4,1.0,2,6.92
6,92173,Bernd Leno,30, GK,189,82,30,30,0,2650,0,0,2,0,0.0,72.3,0.3,1,6.88
7,124316,Calum Chambers,27," D(CR),DMC",182,66,13(1),13,1,1104,1,1,5,0,0.9,82.4,2.6,1,6.86
8,144890,Dani Ceballos,26, M(CL),179,70,18(6),18,6,1699,0,2,1,0,0.5,87.9,0.4,1,6.84
9,22210,Sokratis Papastathopoulos,34, D(CR),186,85,19,19,0,1697,2,0,6,0,0.4,87.9,3.1,0,6.82
10,89401,Granit Xhaka,29," D(L),M(C)",186,80,30(1),30,1,2591,1,2,10,0,0.4,88.1,1.5,0,6.78
11,13756,Mesut Özil,33, M(CLR),180,76,18,18,0,1449,1,2,1,0,0.5,88.3,0.1,0,6.71
12,328983,Mattéo Guendouzi,23, M(C),185,68,19(5),19,5,1748,0,1,6,0,0.5,88.4,0.5,0,6.69
13,367185,Bukayo Saka,21," D(L),M(CLR)",178,65,19(7),19,7,1755,1,5,6,0,0.5,81.5,0.3,0,6.65
14,297403,Kieran Tierney,25," D(CL),M(L)",178,70,12(3),12,3,993,1,1,2,0,0.4,78.5,0.6,0,6.64
15,125211,Héctor Bellerín,27," D(R),M(R)",178,74,13(2),13,2,1159,1,0,2,0,0.5,82.1,0.9,1,6.64
16,23072,Nacho Monreal,36," D(CL),M(L)",179,72,3,3,0,270,0,0,0,0,0.3,87.6,2.3,0,6.64
17,255169,Ainsley Maitland-Niles,25," D(LR),M(CLR)",177,71,15(5),15,5,1383,0,2,4,1,0.2,81.9,0.9,1,6.63
18,69945,Cédric Soares,31," D(LR),M(R)",172,67,3(2),3,2,250,1,0,0,0,0.2,79.8,0.4,0,6.62
19,27586,David Luiz,35," D(C),DMC",189,84,32(1),32,1,2811,2,1,5,2,0.7,85.1,1.6,1,6.58
20,288795,Rob Holding,27, D(CR),189,81,6(2),6,2,581,0,0,1,0,0.3,87.2,2.0,0,6.55
21,248109,Lucas Torreira,26, DMC,166,65,17(12),17,12,1510,1,1,7,0,0.7,87.8,0.4,0,6.52
22,110260,Sead Kolasinac,29," D(CL),DMC,M(L)",183,85,19(7),19,7,1700,0,2,4,0,0.2,85.6,1.1,1,6.5
23,380706,Gabriel Martinelli,21," AM(L),FW",178,75,6(8),6,8,657,3,0,1,0,0.9,69.8,0.6,0,6.4
24,345845,Eddie Nketiah,23, FW,175,72,7(6),7,6,633,2,0,0,1,1.2,75.0,0.5,0,6.4
25,342564,Reiss Nelson,22, M(LR),175,71,7(10),7,10,628,1,0,1,0,0.6,85.5,0.0,0,6.4
26,342563,Joe Willock,23, M(C),179,71,8(21),8,21,849,1,1,2,0,0.5,82.8,0.3,0,6.31
27,363686,Emile Smith Rowe,22, AM(CL),182,79,1(1),1,1,97,0,0,0,0,0.0,85.7,0.0,0,6.3
28,28421,Henrikh Mkhitaryan,33," M(CLR),FW",177,75,1(2),1,2,111,0,0,1,0,0.7,79.7,0.7,0,6.17
