,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,93655,Jorge Pulido,31, D(CR),186,72,1,90,0,0,0,0,0,66.7,4,0,7.62,1,0.0
1,1,28043,Domingo Cisma,40, D(L),183,79,2,166,0,0,1,0,0,81.2,1,0,7.39,2,0.0
2,2,26059,Diego Godín,36, D(C),187,78,35,3107,1,2,9,1,0.9,78.6,2.9,6,7.33,35,0.0
3,3,80764,Koke,30, M(CLR),176,77,29(4),2519,3,9,5,0,1.4,81.0,0.4,4,7.32,29,4.0
4,4,10053,Gabi,39, M(C),180,74,34(1),2884,0,3,10,1,0.6,78.6,0.9,3,7.28,34,1.0
5,5,22152,Filipe Luís,37, D(L),181,77,32,2802,1,2,7,0,0.7,80.9,0.9,0,7.27,32,0.0
6,6,18701,Radamel Falcao,36, FW,177,72,34,2908,28,1,7,0,3.6,79.9,2.2,3,7.25,34,0.0
7,7,21501,Arda Turan,35, AM(CLR),177,76,26(6),2175,5,4,7,0,1.3,84.2,0.4,1,7.07,26,6.0
8,8,19177,Mario Suárez,35," D(C),M(C)",188,80,23(6),2002,1,1,8,2,0.5,79.8,2.2,1,7.06,23,6.0
9,9,22504,Miranda,38, D(C),186,78,35,3146,2,2,9,1,0.6,70.3,1.9,0,7.04,35,0.0
10,10,24248,Diego Costa,33, FW,188,83,24(7),2061,10,7,11,0,1.6,75.0,1.6,3,6.98,24,7.0
11,11,109227,Javier Manquillo,28," D(LR),M(R)",178,76,2(1),196,0,1,0,0,0,70.7,0.3,0,6.97,2,1.0
12,12,8128,Tiago,41, M(C),184,75,14(8),1374,2,0,5,0,0.7,81.5,1.6,1,6.93,14,8.0
13,13,10332,Juanfran,37, D(R),181,71,35,3150,1,3,5,0,0.2,77.7,0.7,0,6.84,35,0.0
14,14,73798,Thibaut Courtois,30, GK,200,96,37,3330,0,0,2,0,0,47.0,0.2,1,6.83,37,0.0
15,15,13639,Cata Díaz,43, D(C),182,74,7(2),720,0,0,2,0,0.2,81.9,1.1,0,6.8,7,2.0
16,16,11386,Raúl García,36," M(CLR),FW",184,83,13(17),1288,5,2,4,0,1.6,60.4,2.9,1,6.76,13,17.0
17,17,44587,Daniel Aquino,32, Forward,178,68,0(1),1,0,1,0,0,0,80.0,0,0,6.71,0,1.0
18,18,43982,Silvio,34, D(LR),178,72,1,75,0,0,0,0,0,79.5,1,0,6.67,1,0.0
19,19,26817,Emiliano Insúa,33," D(CL),M(L)",180,79,2(1),198,0,1,1,0,0.7,86.5,1,0,6.67,2,1.0
20,20,19361,Cristian Rodríguez,36, AM(CL),177,92,12(21),1329,1,1,2,0,1.2,78.1,0.7,0,6.6,12,21.0
21,21,2842,Emre,42, M(C),169,68,4(3),270,0,1,1,0,0.1,85.1,0.6,1,6.6,4,3.0
22,22,14089,Adrián López,34," M(CLR),FW",183,73,15(17),1508,3,1,0,0,0.7,74.9,1.3,0,6.47,15,17.0
23,23,115911,Kader,30, Defender,183,78,0(1),16,0,0,0,0,1,71.4,0,0,6.4,0,1.0
24,24,113708,Óliver Torres,27, M(CLR),178,70,0(8),171,0,0,0,0,0.3,84.8,0,0,6.37,0,8.0
25,25,112161,Saúl Ñíguez,27," D(CL),M(CLR)",184,76,0(2),10,0,0,0,0,0,100.0,0,0,6.0,0,2.0
26,26,32258,Sergio Asenjo,33, GK,189,87,1,90,0,0,0,0,0,85.7,0,0,5.56,1,0.0
