,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,22732,Ivan Rakitic,34, M(C),184,78,34,34,0.0,2967,8,10,8,2,1.8,78.7,1.0,4,7.41
1,23757,Álvaro Negredo,37, FW,186,71,34(2),34,2.0,3036,25,1,3,0,4.2,64.2,3.6,5,7.3
2,7905,Emir Spahic,42, D(C),186,81,22,22,0.0,1959,1,0,10,0,0.5,81.7,3.5,2,7.27
3,29908,Federico Fazio,35, D(C),195,85,25(1),25,1.0,2118,3,0,5,2,1.2,80.0,3.5,0,7.14
4,9446,Jesús Navas,36," D(R),M(R)",172,60,37,37,0.0,3317,0,6,5,0,2.2,80.1,0.3,0,7.04
5,44486,Coke,35," D(CLR),M(R)",182,78,19(2),19,2.0,1553,3,4,4,1,0.6,78.3,1.0,1,6.99
6,6176,José Antonio Reyes,39, M(CLR),176,72,21(6),21,6.0,1780,4,6,1,2,1.5,77.0,0.6,1,6.97
7,18004,Julián,31, GK,195,91,1,1,0.0,90,0,0,0,0,0.0,61.5,0.0,0,6.97
8,113275,Alberto Moreno,30," D(L),M(L)",171,65,12(3),12,3.0,1106,0,1,5,0,0.4,78.0,0.7,1,6.93
9,6111,Piotr Trochowski,38, M(CL),169,72,6,6,0.0,445,2,0,0,0,1.5,80.3,0.7,0,6.91
10,29390,Gary Medel,35," D(C),DMC",171,65,31(1),31,1.0,2654,6,3,7,3,1.0,87.5,0.9,1,6.89
11,74682,Cicinho,36, D(R),174,63,19(8),19,8.0,1723,1,2,5,0,0.6,79.8,0.2,2,6.88
12,33966,Beto,40, GK,182,81,14,14,0.0,1260,0,0,0,0,0.0,67.4,0.1,0,6.83
13,91978,Geoffrey Kondogbia,29," D(C),DMC",188,80,23(8),23,8.0,1926,1,1,4,0,0.7,87.0,1.1,1,6.83
14,4387,Fernando Navarro,40, D(CL),177,70,35,35,0.0,3123,0,1,10,1,0.1,79.0,1.6,0,6.72
15,34524,Juan Cala,32, D(C),185,78,9(2),9,2.0,812,0,0,5,0,0.6,81.8,2.0,1,6.7
16,2602,Andrés Palop,48, GK,184,75,15(1),15,1.0,1405,0,0,1,0,0.0,67.5,0.4,2,6.69
17,33557,Alberto Botía,33, D(C),187,80,14(4),14,4.0,1358,1,0,11,0,0.3,78.5,0.9,0,6.58
18,31388,Diego Perotti,34," M(CLR),FW",179,70,8(10),8,10.0,832,0,0,2,0,0.4,84.0,0.3,0,6.56
19,14525,Hedwiges Maduro,37, DMC,185,79,16(10),16,10.0,1316,0,0,2,1,0.0,86.5,0.7,0,6.34
20,87525,Bryan Rabello,28, Midfielder,167,70,0(3),0,3.0,104,0,0,0,0,0.3,93.4,0.0,0,6.33
21,14265,Manu del Moral,38," M(CLR),FW",185,84,7(15),7,15.0,773,1,0,2,0,0.9,75.2,0.4,0,6.32
22,85100,Miroslav Stevanovic,32, M(R),180,72,0(7),0,7.0,105,0,0,0,0,0.7,85.2,0.0,0,6.24
23,91214,José Campaña,29, M(CLR),179,70,3(2),3,2.0,187,0,0,2,0,0.8,82.1,0.0,0,6.22
24,37001,Papa Baba Diawara,34, FW,182,76,5(14),5,14.0,622,0,0,1,0,1.3,76.1,0.8,0,6.15
25,116218,Israel Puerto,29, Defender,187,75,0(2),0,2.0,25,0,0,0,0,0.0,0.0,0.5,0,6.13
26,116215,Álex Rubio,29, Forward,182,77,0(2),0,2.0,26,0,0,0,0,0.0,28.6,0.0,0,6.12
27,102168,Javi Hervás,33, Midfielder,176,78,1(8),1,8.0,150,0,0,1,0,0.3,81.9,0.3,0,6.06
28,10445,Diego López,40, GK,196,89,8,8,0.0,664,0,0,0,1,0.0,64.4,0.4,0,6.01
29,86793,Antonio Luna,31," D(L),M(L)",178,68,2(3),2,3.0,186,0,0,1,1,0.0,65.6,0.0,0,5.96
