,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,11119,Lionel Messi,35," AM(CR),FW",170,72,31(2),2730,26,16,3,0,4.8,81.9,0.2,13,8.46,31,2
1,1,50835,Neymar,30," AM(CLR),FW",175,68,34,3057,24,12,6,0,3.6,80.9,0.6,7,8.43,34,0
2,2,22221,Luis Suárez,35," AM(CLR),FW",182,86,35,3150,40,16,6,0,3.9,73.1,0.4,8,8.0,35,0
3,3,44721,Sergio Busquets,34, DMC,189,76,34(1),2906,0,4,6,0,0.2,89.8,1.7,1,7.28,34,1
4,4,9486,Andrés Iniesta,38, M(CL),171,68,25(3),2248,1,2,2,0,0.8,88.3,0.4,1,7.24,25,3
5,5,22732,Ivan Rakitic,34, M(C),184,78,30(6),2581,7,2,3,0,1.3,88.1,0.9,2,7.17,30,6
6,6,12712,Gerard Piqué,35, D(C),194,85,30,2592,2,1,12,0,0.4,90.5,2,1,7.14,30,0
7,7,5780,Dani Alves,39," D(R),M(CR)",172,70,24(5),2149,0,4,6,0,0.6,87.2,0.6,0,7.05,24,5
8,8,44288,Jordi Alba,33," D(L),M(L)",170,68,29(2),2591,0,6,2,0,0.2,87.2,0.5,0,7.05,29,2
9,9,7415,Javier Mascherano,38," D(C),M(C)",174,73,31(1),2694,0,0,9,1,0.1,90.5,1.2,0,7.01,31,1
10,10,90782,Sergi Roberto,30," D(R),M(CR)",178,68,21(10),1916,0,5,1,0,0.5,88.1,0.7,2,6.93,21,10
11,11,14199,Claudio Bravo,39, GK,184,80,32,2878,0,0,0,0,0,84.3,0.1,0,6.92,32,0
12,12,10209,Thomas Vermaelen,36, D(CL),183,80,6(4),506,1,0,2,0,0.3,91.8,1.3,0,6.91,6,4
13,13,83686,Marc Bartra,31," D(CR),DMC",184,70,4(9),496,2,1,0,0,0.4,87.9,1.1,0,6.85,4,9
14,14,5881,Jeremy Mathieu,38, D(CL),189,82,12(9),1263,0,2,2,0,0.3,88.0,1.2,0,6.76,12,9
15,15,82630,Aleix Vidal,33," D(R),M(LR)",177,70,6(3),543,0,1,1,0,0.1,86.9,0.3,0,6.76,6,3
16,16,106590,Rafinha,30, M(CLR),174,71,3(3),281,1,0,0,0,0.3,84.2,0.7,0,6.76,3,3
17,17,143158,Munir El Haddadi,27," AM(LR),FW",175,69,8(7),825,3,2,0,0,1.1,78.7,0.4,0,6.74,8,7
18,18,21501,Arda Turan,35, AM(CLR),177,76,9(9),816,2,3,5,0,0.6,92.3,0.2,0,6.73,9,9
19,19,13471,Adriano,37," D(CLR),M(L)",172,75,4(4),431,0,1,0,0,0.1,91.3,0.4,0,6.68,4,4
20,20,135243,Sergi,27, DMC,182,73,0(1),29,0,0,0,0,0,81.5,2,0,6.5,0,1
21,21,80774,Marc-André ter Stegen,30, GK,187,85,6(1),542,0,0,0,0,0,83.4,0.1,0,6.48,6,1
22,22,135242,Sandro Ramírez,27," AM(LR),FW",175,71,4(6),347,0,1,0,0,1,83.3,0,0,6.34,4,6
23,23,294123,Gerard Gumbau,27, DMC,187,77,0(3),43,0,0,0,0,0,84.2,0,0,6.13,0,3
24,24,74533,Douglas,32," D(R),M(R)",171,70,0(1),12,0,0,0,0,0,50.0,0,0,6.08,0,1
