,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,125375,Gerónimo Rulli,30, GK,189,84,6,540,0,0,0,0,0,86.6,0.2,1,7.27,6,0.0
1,1,276489,Alfonso Pedraza,26," D(L),M(L)",184,73,6,513,0,1,1,0,1.8,78.0,0.8,0,7.14,6,0.0
2,2,335107,Juan Foyth,24," D(CR),DMC",179,69,3,236,0,0,0,0,0.3,90.2,0.3,0,7.12,3,0.0
3,3,28186,Daniel Parejo,33, M(C),182,74,6,519,0,0,2,0,0.7,90.7,0,0,7.09,6,0.0
4,4,97659,Gerard Moreno,30," AM(CR),FW",180,77,5,369,2,0,1,0,2.8,71.2,1.4,0,7.05,5,0.0
5,5,303908,Giovani Lo Celso,26," M(CR),FW",177,68,5,339,1,0,0,0,1.6,85.8,0.2,1,7.02,5,0.0
6,6,12575,Raúl Albiol,37, D(C),187,74,6,540,0,0,1,0,0.2,91.0,2.5,0,6.99,6,0.0
7,7,403865,Yeremi Pino,19, AM(R),172,0,5(1),347,1,0,1,0,1.2,77.1,1,0,6.95,5,1.0
8,8,33590,Etienne Capoue,34," D(C),M(CL)",189,80,6,500,0,0,0,0,1.2,88.0,1.3,0,6.86,6,0.0
9,9,395242,Álex Baena,21, Midfielder,0,0,0(6),189,3,0,2,0,1.3,74.1,0,1,6.82,0,6.0
10,10,344259,Pau Torres,25, D(C),191,80,6,540,0,0,1,0,0.5,85.3,1.2,0,6.76,6,0.0
11,11,363665,Samuel Chukwueze,23, AM(CR),172,70,1(5),193,0,1,0,0,1.2,74.2,0.2,0,6.75,1,5.0
12,12,69738,Francis Coquelin,31, M(CLR),176,74,2(4),194,1,0,1,0,0.5,88.9,0.5,0,6.59,2,4.0
13,13,75919,Kiko Femenía,31," D(LR),M(R)",176,61,3(1),291,0,0,0,0,0,88.1,0.5,0,6.58,3,1.0
14,14,426050,Nicolas Jackson,21, Forward,186,0,5(1),412,1,1,1,0,1.5,68.7,0.5,0,6.52,5,1.0
15,15,135321,José Morales,35," D(R),M(CLR),FW",180,70,1(5),148,1,0,0,0,0.8,52.0,0.5,0,6.4,1,5.0
16,16,90115,Aïssa Mandi,30, D(CLR),184,78,0(2),13,0,0,0,0,0,83.3,0,0,6.29,0,2.0
17,17,135098,Johan Mojica,30," D(L),M(L)",185,66,0(2),27,0,0,0,0,0,88.9,0,0,6.12,0,2.0
18,18,323625,Arnaut Danjuma,25," AM(L),FW",178,74,0(1),31,0,0,0,0,1,66.7,0,0,6.05,0,1.0
