,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,14195,Nenê,41," AM(CLR),FW",181,70,35,35,0.0,3037,21,11,5,0,2.9,74.8,0.2,14,7.94
1,10407,Jérémy Ménez,35," M(CLR),FW",182,79,33,33,0.0,2719,7,13,12,0,2.1,80.4,0.2,5,7.5
2,41220,Javier Pastore,33, AM(CLR),187,78,30(3),30,3.0,2645,13,6,4,0,2.6,74.4,0.2,4,7.31
3,14240,Christophe Jallet,38," D(LR),M(L)",178,70,26(7),26,7.0,2399,3,5,1,1,0.7,83.0,1.2,1,7.1
4,17778,Blaise Matuidi,35, M(CL),180,75,25(4),25,4.0,2170,1,1,7,0,0.4,87.0,1.0,0,7.08
5,4649,Thiago Motta,40, M(C),187,83,14,14,0.0,1260,2,1,6,0,0.7,88.1,0.5,0,7.07
6,14488,Milan Bisevac,39, D(C),185,81,17(2),17,2.0,1542,1,1,3,0,0.5,80.8,2.2,1,7.06
7,9576,Mohamed Sissoko,37, M(C),191,87,22(3),22,3.0,1823,2,1,7,2,0.6,83.0,2.4,0,7.02
8,10132,Alex,40, D(C),188,92,15,15,0.0,1291,2,1,2,0,1.0,89.5,1.3,1,6.98
9,1551,Zoumana Camara,43, D(C),182,76,17(2),17,2.0,1616,0,0,4,0,0.3,85.7,1.4,0,6.94
10,29575,Mamadou Sakho,32, D(C),187,83,20(2),20,2.0,1774,0,0,4,1,0.4,86.8,2.7,0,6.87
11,22627,Salvatore Sirigu,35, GK,192,80,38,38,0.0,3420,0,0,1,0,0.0,53.5,0.0,1,6.85
12,20751,Ceará,42, D(LR),175,75,17(7),17,7.0,1524,1,0,3,0,0.4,80.3,1.0,0,6.83
13,6476,Mathieu Bodmer,39," D(C),M(C)",190,90,21(10),21,10.0,2046,1,3,2,0,0.9,81.3,1.1,0,6.8
14,14116,Clément Chantôme,35, M(C),180,71,8(7),8,7.0,833,0,3,1,0,0.2,88.4,0.7,0,6.79
15,18213,Siaka Tiéné,40," D(L),M(L)",176,72,16(7),16,7.0,1482,1,3,3,0,0.3,82.4,0.3,0,6.78
16,4871,Maxwell,41, D(L),176,73,13(1),13,1.0,1124,1,0,0,0,0.2,82.9,0.5,0,6.75
17,19453,Kevin Gameiro,35, FW,172,70,27(7),27,7.0,2286,11,2,0,0,2.5,77.3,0.3,1,6.67
18,22227,Diego Lugano,41, D(C),188,84,9(3),9,3.0,791,0,0,7,0,0.3,82.1,1.2,0,6.65
19,21755,Guillaume Hoarau,38, FW,192,85,7(13),7,13.0,749,5,2,3,0,1.5,58.2,2.6,0,6.63
20,1735,Sylvain Armand,42, D(CL),182,82,8(14),8,14.0,841,1,2,3,0,0.2,79.2,0.7,0,6.46
21,19248,Mevlüt Erdinç,35, FW,181,85,0(11),0,11.0,134,1,2,1,0,0.5,67.6,0.3,0,6.25
22,96321,Jean-Christophe Bahebeck,29," AM(LR),FW",182,76,0(8),0,8.0,66,0,0,0,0,0.0,75.0,0.0,0,6.11
23,68278,Jean-Eudes Maurice,36, Forward,180,73,0(1),0,1.0,2,0,0,0,0,0.0,100.0,0.0,0,6.01
