,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,73078,Alexandre Lacazette,31," M(CLR),FW",175,73,33,33,0.0,2849,27,6,6,0,2.9,78.8,1.1,8,7.69
1,134893,Nabil Fekir,29," AM(CLR),FW",173,72,34,34,0.0,2776,13,9,7,0,2.6,83.8,0.6,7,7.57
2,14240,Christophe Jallet,38," D(LR),M(L)",178,70,32,32,0.0,2880,1,3,6,0,0.8,82.6,1.5,2,7.5
3,79560,Maxime Gonalons,33," D(C),M(C)",187,76,35,35,0.0,3137,1,2,7,0,0.6,88.7,2.3,3,7.43
4,79562,Clément Grenier,31, M(CL),186,72,4(2),4,2.0,361,1,2,0,0,1.3,77.7,1.0,1,7.32
5,89931,Samuel Umtiti,28, D(CL),182,75,35,35,0.0,3089,1,2,5,0,0.5,85.3,1.2,1,7.15
6,134894,Corentin Tolisso,28," D(R),M(CR)",181,81,37(1),37,1.0,3317,7,2,1,0,1.3,86.1,1.7,0,7.07
7,71833,Anthony Lopes,31, GK,184,81,38,38,0.0,3420,0,1,1,0,0.0,59.0,0.2,3,7.07
8,14488,Milan Bisevac,39, D(C),185,81,13,13,0.0,1082,0,1,4,0,0.2,88.9,1.3,0,6.98
9,17432,Mouhamadou Dabo,35, D(LR),176,65,13,13,0.0,1025,0,0,5,0,0.5,82.8,1.2,0,6.94
10,33630,Bakary Koné,34, D(C),188,80,14(3),14,3.0,1290,1,0,3,0,0.3,89.1,2.6,1,6.89
11,8006,Yoann Gourcuff,36, M(CL),185,82,8(9),8,9.0,774,3,4,0,0,1.1,85.2,0.7,0,6.83
12,121849,Clinton N'Jie,29," AM(LR),FW",176,73,15(15),15,15.0,1521,7,7,1,0,1.6,78.0,0.4,1,6.82
13,85677,Lindsay Rose,30, D(C),184,79,13(2),13,2.0,1207,0,0,4,1,0.2,84.3,1.7,1,6.8
14,95422,Jordan Ferri,30, M(C),173,73,30(5),30,5.0,2614,1,6,7,0,1.1,86.2,0.5,0,6.79
15,10426,Henri Bedimo,38, D(L),180,80,25(2),25,2.0,2157,0,4,3,0,0.2,81.3,0.7,0,6.74
16,109941,Mehdi Zeffane,30," D(LR),M(R)",176,73,1(3),1,3.0,204,0,0,0,0,0.8,86.5,0.0,0,6.66
17,95423,Rachid Ghezzal,30, AM(CLR),182,70,6(12),6,12.0,585,0,2,0,0,0.6,78.0,0.4,0,6.47
18,2113,Steed Malbranque,42, M(C),171,75,13(15),13,15.0,1189,3,1,3,0,0.8,87.0,0.2,0,6.47
19,19663,Arnold Mvuemba,37, DMC,172,67,10(10),10,10.0,957,0,1,1,0,0.5,92.9,0.1,0,6.43
20,114168,Yassine Benzia,28," AM(CLR),FW",179,77,3(7),3,7.0,318,2,0,0,0,1.0,82.2,0.2,0,6.39
21,1776,Gaël Danic,40, AM(CLR),176,65,1,1,0.0,61,0,0,0,0,4.0,66.7,4.0,0,6.39
22,44755,Gueida Fofana,31," D(R),DMC",182,74,0(2),0,2.0,41,0,0,0,0,0.0,90.6,0.0,0,6.28
23,129827,Fares Bahlouli,27, Midfielder,182,82,0(4),0,4.0,49,0,0,0,0,0.3,68.0,0.0,0,6.26
24,109913,Mohamed Yattara,29, FW,185,76,4(17),4,17.0,513,1,1,0,0,1.1,70.7,0.7,0,6.21
