,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,299513,Ousmane Dembélé,25," AM(CLR),FW",178,67,22(4),1937,12,5,1,0,2.2,72.3,0.3,7,7.55,22,4
1,1,43415,Benjamin André,32," D(R),M(CLR)",180,76,30(2),2639,0,2,3,0,0.7,80.1,4,2,7.25,30,2
2,2,43031,Fallou Diagne,33," D(CR),DMC",185,75,21(1),1860,5,0,7,0,0.7,79.6,2.5,1,7.02,21,1
3,3,29594,Cheikh M'Bengue,34," D(CL),M(L)",182,79,21(2),1897,0,0,2,0,0.2,83.2,2.3,0,6.99,21,2
4,4,93307,Paul-Georges Ntep,30," AM(LR),FW",180,80,11(3),927,2,3,1,0,1.5,72,0.6,1,6.98,11,3
5,5,1735,Sylvain Armand,42, D(CL),182,82,33(1),2991,1,1,5,0,0.4,81.2,1.4,0,6.87,33,1
6,6,22418,Gelson Fernandes,36, DMC,179,70,33,2902,1,1,8,0,0.2,88.5,0.8,0,6.87,33,0
7,7,67474,Pedro Mendes,31, D(CR),186,78,21(1),1853,0,0,5,0,0.4,82.7,1.2,0,6.84,21,1
8,8,77931,Yacouba Sylla,31, DMC,184,79,18(2),1500,0,1,4,1,0.5,82.2,1.5,0,6.84,18,2
9,9,23618,Romain Danzé,36," D(R),M(CR)",184,73,19(2),1617,0,3,3,0,0.3,76.3,1.8,0,6.82,19,2
10,10,116317,Abdoulaye Doucouré,29, M(C),184,75,11(5),944,2,2,1,0,1.3,86.3,0.6,1,6.76,11,5
11,11,34011,Ludovic Baal,36," D(L),M(L)",176,75,18(4),1521,0,3,0,0,0.1,82,1.1,0,6.76,18,4
12,12,82622,Abdoulaye Diallo,30, GK,191,82,7,630,0,0,0,0,0,70.4,0,0,6.74,7,0
13,13,91989,Juan Quintero,29, AM(C),168,67,9(3),817,1,2,0,0,1.3,83.9,0,2,6.73,9,3
14,14,121720,Mexer,34, D(C),188,79,16,1310,0,0,4,0,0.3,82,2.3,0,6.67,16,0
15,15,27976,Giovanni Sio,33," AM(LR),FW",180,78,28(6),2605,7,7,8,2,2.1,74.5,1.9,0,6.66,28,6
16,16,110424,Pedro Henrique,32," AM(LR),FW",179,72,15(8),1217,3,1,9,0,1.6,72.1,1.7,1,6.66,15,8
17,17,29586,Benoît Costil,35, GK,188,88,31,2790,0,0,0,0,0,56.3,0.2,0,6.62,31,0
18,18,30524,Kamil Grosicki,34, AM(LR),180,78,14(19),1525,9,3,2,0,1.5,75.8,0.3,0,6.62,14,19
19,19,8006,Yoann Gourcuff,36, M(CL),185,82,8(4),626,2,0,0,0,0.8,87.5,0.4,1,6.55,8,4
20,20,109941,Mehdi Zeffane,30," D(LR),M(R)",176,73,9(7),812,1,1,1,0,0.8,80.1,0.4,1,6.54,9,7
21,21,129648,Steven Moreira,28," D(LR),M(R)",178,72,14(2),1228,0,0,2,0,0.1,75.7,0.7,0,6.52,14,2
22,22,280766,Jérémie Boga,25," AM(CLR),FW",172,68,6(21),967,2,1,0,0,0.8,83.8,0.2,1,6.5,6,21
23,23,302294,Sébastien Salles-Lamonge,26, Midfielder,170,67,1(2),108,0,0,0,0,1,84.3,0.3,0,6.35,1,2
24,24,69611,Ermir Lenjani,33," D(L),M(L)",175,65,0(1),77,0,0,0,0,0,69.6,2,0,6.29,0,1
25,25,16032,Ola Toivonen,36," AM(C),FW",189,78,0(1),16,0,0,0,0,1,66.7,1,0,6.25,0,1
26,26,129819,Wesley Saïd,27," AM(CLR),FW",171,75,0(1),9,0,0,0,0,0,100,0,0,6.23,0,1
27,27,139837,Kermit Erasmus,32, Forward,167,63,0(2),33,0,0,0,0,0,90,0,0,6.2,0,2
28,28,298545,Joris Gnagnon,25, D(C),182,89,2(5),224,0,0,1,0,0.4,83,0.1,0,6.17,2,5
29,29,297541,Nicolas Janvier,24, M(C),171,71,0(3),27,0,0,0,0,0.3,60,0,0,6.15,0,3
30,30,30781,Mouhamadou Bezannier,35, FW,192,80,0(1),6,0,0,0,0,0,0,0,0,6.05,0,1
