,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,91961,Marco Verratti,29, M(C),165,60,25(3),2158,3,5,6,0,0.4,88.4,0.2,3,7.54,25,3
1,1,92508,Lucas Moura,30," AM(CLR),FW",172,72,29(8),2435,12,5,0,0,1.8,82.7,0.5,4,7.41,29,8
2,2,104376,Thomas Meunier,31," D(R),M(R)",191,90,18(4),1692,1,4,3,0,1,86.2,1.5,1,7.39,18,4
3,3,28550,Thiago Silva,37, D(C),183,79,27,2386,3,2,1,0,0.8,93.9,2.2,2,7.38,27,0
4,4,24328,Edinson Cavani,35," AM(LR),FW",184,71,35(1),2978,35,4,5,0,4,81.9,0.3,5,7.37,35,1
5,5,116609,Adrien Rabiot,27," DMC,M(L)",188,71,20(7),1932,3,2,2,0,0.8,90.0,1.9,3,7.36,20,7
6,6,23110,Ángel Di María,34," M(CLR),FW",180,75,24(5),2048,6,7,1,1,2.9,76.4,0,5,7.28,24,5
7,7,92795,Layvin Kurzawa,30," D(L),M(L)",182,74,18,1529,2,2,3,0,1.2,89.4,1.6,1,7.26,18,0
8,8,96449,Julian Draxler,29," AM(CLR),FW",185,72,12(5),1016,4,1,2,0,1.4,84.4,0.6,0,7.19,12,5
9,9,83683,Serge Aurier,29," D(CLR),M(R)",176,76,21(1),1830,0,3,3,1,1,89.0,2.7,0,7.1,21,1
10,10,101949,Marquinhos,28," D(CR),DMC",183,75,27(2),2500,3,0,1,0,0.5,93.6,1.7,0,7.09,27,2
11,11,4871,Maxwell,41, D(L),176,73,19(1),1713,0,6,0,0,0.2,89.1,0.7,0,7.07,19,1
12,12,247800,Presnel Kimpembe,27, D(C),183,77,19,1710,0,0,7,0,0.2,94.7,1.3,0,7.06,19,0
13,13,41220,Javier Pastore,33, AM(CLR),187,78,9(6),866,0,4,0,0,0.7,81.5,0.1,1,7.06,9,6
14,14,17778,Blaise Matuidi,35, M(CL),180,75,26(8),2415,4,4,4,0,1.2,90.8,1.2,2,7.02,26,8
15,15,66424,Kevin Trapp,32, GK,189,88,24,2124,0,0,0,0,0,89.2,0.3,1,7.02,24,0
16,16,27586,David Luiz,35," D(C),DMC",189,84,3,242,0,0,1,0,1,93.0,1.7,0,6.94,3,0
17,17,4649,Thiago Motta,40, M(C),187,83,25(5),2228,0,0,7,1,0.4,92.2,1.9,2,6.89,25,5
18,18,67424,Grzegorz Krychowiak,32," D(C),M(C)",186,83,7(4),659,0,0,2,0,0.5,92.8,2.2,0,6.87,7,4
19,19,303908,Giovani Lo Celso,26," M(CR),FW",177,68,1(3),81,0,2,1,0,0.8,80.3,0,0,6.72,1,3
20,20,92516,Alphonse Areola,29, GK,195,94,14(1),1296,0,0,0,0,0,84.6,0.3,1,6.61,14,1
21,21,10194,Hatem Ben Arfa,35," M(CR),FW",178,65,5(18),627,0,1,1,0,0.7,83.5,0.1,0,6.53,5,18
22,22,300945,Christopher Nkunku,24," M(CLR),FW",175,73,5(3),399,1,0,2,0,0.9,85.5,0.5,0,6.41,5,3
23,23,106028,Jesé,29," AM(LR),FW",178,72,1(8),263,1,0,0,0,0.9,81.1,0.2,0,6.32,1,8
24,24,245643,Jean-Kévin Augustin,25," AM(R),FW",177,69,1(9),190,1,2,0,0,1.1,83.9,0,0,6.32,1,9
25,25,247995,Gonçalo Guedes,25," AM(CLR),FW",179,68,1(6),140,0,1,0,0,0.7,86.4,0,0,6.28,1,6
26,26,322094,Jonathan Ikoné,24," AM(CLR),FW",175,67,2(2),138,0,0,0,0,0.5,86.5,0.5,0,6.14,2,2
27,27,319886,Lorenzo Callegari,24, Midfielder,174,71,0(1),3,0,0,0,0,0,100.0,0,0,6.08,0,1
