,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,99143,Florian Thauvin,29," M(CLR),FW",179,70,35,2966,22,11,7,0,3.7,78.2,0.4,13,7.93,35,0.0
1,1,14058,Dimitri Payet,35," M(CLR),FW",175,77,28(3),2358,6,13,6,0,1.9,80.6,0.2,4,7.54,28,3.0
2,2,43369,Luiz Gustavo,35," D(C),M(C)",187,78,34,3023,5,1,10,1,1.7,89.9,1.1,0,7.22,34,0.0
3,3,134902,Jordan Amavi,28," D(L),M(L)",176,70,24(3),2192,0,6,7,0,0.7,83.6,1.6,2,7.15,24,3.0
4,4,115587,Lucas Ocampos,28," M(CLR),FW",187,84,23(8),2038,9,3,6,1,2,77.9,1.3,1,7.1,23,8.0
5,5,349561,André-Frank Zambo Anguissa,26, M(C),184,78,22(11),2092,0,0,4,0,0.9,87.8,1.9,2,7.1,22,11.0
6,6,104747,Bouna Sarr,30," D(R),M(CLR)",177,69,18(11),1782,0,3,5,0,0.6,88.4,1.2,0,7.04,18,11.0
7,7,115508,Morgan Sanson,28, M(CLR),180,73,25(8),2173,9,2,8,0,1.6,82.4,0.6,1,6.99,25,8.0
8,8,26877,Adil Rami,36, D(C),190,90,33,2957,1,2,5,0,0.5,86.6,2.9,0,6.97,33,0.0
9,9,6410,Patrice Evra,41," D(CL),M(L)",174,75,4,350,0,0,2,0,0.5,72.7,2.5,0,6.96,4,0.0
10,10,331790,Boubacar Kamara,22," D(CL),DMC",184,68,5(1),455,0,1,1,0,0.3,89.3,1.7,0,6.92,5,1.0
11,11,62108,Hiroki Sakai,32," D(CLR),M(R)",185,78,30(3),2523,0,3,1,0,0.1,82.2,1.8,1,6.89,30,3.0
12,12,32432,Konstantinos Mitroglou,34, FW,188,86,9(10),871,9,0,2,0,2.3,69,1.2,0,6.79,9,10.0
13,13,93917,Valère Germain,32," AM(CLR),FW",181,75,24(11),2170,9,5,2,0,1.7,75.6,1.5,0,6.78,24,11.0
14,14,121849,Clinton N'Jie,29," AM(LR),FW",176,73,9(13),871,7,3,2,0,1.4,82,0.3,2,6.76,9,13.0
15,15,9279,Rolando,37, D(C),189,77,28(3),2512,1,0,5,0,0.5,89.5,1.7,0,6.73,28,3.0
16,16,85693,Rémy Cabella,32," M(CLR),FW",171,68,0(3),62,1,0,0,0,0.7,80.6,0,0,6.72,0,3.0
17,17,19845,Yohann Pelé,39, GK,196,89,7(3),735,0,0,1,0,0,72.7,0.6,0,6.69,7,3.0
18,18,29545,Steve Mandanda,37, GK,185,82,31,2682,0,0,0,1,0,66.4,0.3,3,6.66,31,0.0
19,19,83250,Aymen Abdennour,33, D(C),187,85,6(2),500,0,0,3,0,0.3,93.4,1,0,6.61,6,2.0
20,20,288883,Maxime Lopez,24, M(CR),167,58,14(10),1374,0,1,2,0,0.4,92.1,0.1,0,6.57,14,10.0
21,21,44883,Grégory Sertic,33," D(C),M(C)",183,76,3(4),347,0,0,1,0,0.9,87.7,1.3,0,6.33,3,4.0
22,22,10426,Henri Bedimo,38, D(L),180,80,0(3),41,0,0,0,0,0,82.6,0.3,0,6.05,0,3.0
23,23,344741,Yusuf Sari,23, AM(R),168,55,0(1),1,0,0,0,0,0,0,0,0,6.0,0,1.0
24,24,129114,Doria,27, D(C),189,82,1(2),76,0,0,0,0,0,76.9,0.3,0,5.89,1,2.0
25,25,33286,Tomás Hubocan,37, D(CLR),184,70,1,90,0,0,1,0,0,74.1,4,0,5.2,1,0.0
