,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,300608,Ronaël Pierre-Gabriel,24, D(CLR),177,76,4,4,0.0,356,0,0,1,0,0.0,86.5,1.5,1,7.19
1,262262,Almamy Touré,26," D(CR),M(R)",183,81,4,4,0.0,347,0,0,0,0,0.5,85.7,2.8,0,7.1
2,328968,Fodé Ballo-Touré,25," D(L),M(L)",182,70,18,18,0.0,1595,0,3,4,0,0.2,79.8,1.6,0,6.94
3,296576,Gelson Martins,27, M(LR),173,72,16,16,0.0,1393,4,2,1,0,1.9,78.1,0.6,0,6.94
4,136345,Youri Tielemans,25, M(C),176,72,20,20,0.0,1685,5,1,5,0,1.8,79.9,1.4,1,6.94
5,127970,Rony Lopes,26," AM(CLR),FW",174,68,22(2),22,2.0,1857,2,2,1,0,2.1,74.2,0.3,3,6.91
6,32598,Adrien Silva,33, M(C),171,72,13(2),13,2.0,1183,0,0,6,0,0.6,83.2,1.4,0,6.87
7,18701,Radamel Falcao,36, FW,177,72,29(4),29,4.0,2565,15,2,10,0,2.8,77.4,2.8,3,6.85
8,296230,Youssef Aït Bennasser,26, DMC,184,75,12(1),12,1.0,1074,0,2,2,0,0.6,86.3,0.7,0,6.82
9,44208,Kamil Glik,34, D(C),190,80,33,33,0.0,2970,1,0,10,0,0.5,83.9,3.2,2,6.81
10,296769,Benjamin Henrichs,25," D(LR),DMC,M(LR)",183,79,21(1),21,1.0,1827,1,2,3,0,0.5,74.0,0.7,0,6.75
11,130435,Jemerson,30," D(CR),DMC",184,77,25,25,0.0,2226,0,1,8,1,0.3,86.9,2.7,0,6.69
12,143524,Antonio Barreca,27," D(L),M(L)",183,70,7,7,0.0,596,0,1,0,0,0.7,75.0,1.6,0,6.64
13,244560,Aleksandr Golovin,26, M(CLR),180,69,27(3),27,3.0,2301,3,3,7,1,1.6,82.3,0.3,2,6.63
14,10714,Diego Benaglio,39, GK,194,89,22(1),22,1.0,2057,0,0,2,0,0.0,70.5,0.3,0,6.61
15,10454,Djibril Sidibé,30," D(CLR),M(R)",182,71,22(4),22,4.0,2072,0,2,5,0,0.7,74.7,1.2,0,6.58
16,139111,Jean-Eudes Aholou,28, DMC,186,71,12(5),12,5.0,1076,0,1,2,0,0.8,84.9,1.3,0,6.53
17,8040,Cesc Fàbregas,35," M(CL),FW",180,77,12(1),12,1.0,969,1,0,2,0,0.8,84.7,0.5,0,6.53
18,29214,Danijel Subasic,37, GK,191,84,14,14,0.0,1144,0,0,1,0,0.0,61.5,0.4,0,6.5
19,29072,Stevan Jovetic,32," AM(CL),FW",183,79,4(4),4,4.0,398,2,0,1,0,2.5,68.0,0.6,0,6.48
20,367162,Giulian Biancone,22," D(CLR),M(LR)",187,0,1,1,0.0,90,0,0,0,0,1.0,80.0,1.0,0,6.48
21,365406,Benoît Badiashile,21, D(C),194,75,20,20,0.0,1763,1,0,4,0,0.3,89.5,1.8,0,6.44
22,332270,Pietro Pellegri,21, FW,196,78,0(3),0,3.0,80,1,0,1,0,0.3,61.5,0.3,0,6.35
23,244297,Adama Traoré,27, M(CR),178,72,3(3),3,3.0,240,0,1,0,0,1.0,77.9,1.5,0,6.35
24,25565,William Vainqueur,33, DMC,179,73,1(2),1,2.0,79,0,0,0,0,0.0,90.6,0.7,0,6.33
25,363077,Carlos Vinícius,27, FW,190,86,3(13),3,13.0,516,2,1,3,0,0.9,57.3,0.8,0,6.32
26,34302,Nacer Chadli,33," M(CLR),FW",187,80,9(7),9,7.0,693,0,0,1,0,0.1,82.3,1.0,0,6.31
27,298733,Kevin N'Doram,26, DMC,184,76,2(2),2,2.0,194,0,0,2,0,0.3,89.1,1.5,0,6.3
28,361284,Sofiane Diop,22, AM(CLR),175,65,9(4),9,4.0,742,0,0,1,0,0.8,71.2,0.5,0,6.27
29,17946,Andrea Raggi,38, D(CLR),187,82,6,6,0.0,496,0,0,1,1,0.2,84.0,0.7,0,6.27
30,365831,Han-Noah Massengo,21, M(C),178,0,0(3),0,3.0,58,0,0,0,0,0.0,85.0,0.3,0,6.27
31,351758,Julien Serrano,24," D(L),M(L)",171,55,1(2),1,2.0,117,0,0,1,0,0.3,78.7,0.3,0,6.23
32,70484,Pelé,30, M(C),182,75,4(4),4,4.0,449,0,0,0,1,0.4,83.3,0.9,0,6.22
33,316670,Samuel Grandsir,26, AM(LR),170,65,4(8),4,8.0,466,0,1,1,1,0.5,66.2,0.3,0,6.21
34,14172,Naldo,40, D(C),198,91,5(2),5,2.0,304,0,0,0,2,0.4,84.3,2.1,0,6.18
35,344041,Moussa Sylla,22," AM(R),FW",181,70,7(11),7,11.0,762,0,0,1,0,0.9,63.9,0.9,0,6.17
36,134887,Georges-Kévin Nkoudou,27, AM(LR),172,75,0(3),0,3.0,21,0,0,0,0,0.3,72.7,0.0,0,6.14
37,347858,Jordi Mboula,23, AM(R),183,74,3(4),3,4.0,276,0,0,1,0,1.3,70.0,0.3,0,6.12
38,345987,Willem Geubbels,21, Forward,185,72,0(1),0,1.0,7,0,0,0,0,0.0,33.3,0.0,0,6.0
39,363535,Wilson Isidor,22, AM(L),184,0,0(1),0,1.0,41,0,0,0,0,2.0,50.0,0.0,0,5.82
40,256538,Seydou Sy,26, GK,192,80,2(1),2,1.0,220,0,0,0,0,0.0,74.0,0.0,0,5.71
41,349368,Romain Faivre,24, AM(CLR),180,75,1,1,0.0,90,0,0,1,0,2.0,86.0,1.0,0,5.38
