,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,73078,Alexandre Lacazette,31," M(CLR),FW",175,73,8,692,4,1,2,0,3.4,71.9,0.8,0,7.43,8,0.0
1,1,319756,Lucas Paquetá,25," AM(CR),FW",180,72,2,161,0,0,0,0,2.5,87.1,2,0,7.32,2,0.0
2,2,387417,Tetê,22, AM(R),175,70,8,614,4,2,1,0,2.5,85.5,0.3,2,7.26,8,0.0
3,3,236504,Karl Toko-Ekambi,30," AM(LR),FW",185,74,8,672,4,1,0,0,2.5,87.3,0.4,2,7.22,8,0.0
4,4,403850,Malo Gusto,19," D(R),M(R)",0,0,8,683,0,1,1,0,0.6,87.8,0.3,0,7.08,8,0.0
5,5,83809,Nicolás Tagliafico,30, D(CL),172,65,8,720,1,0,0,0,0.8,88.7,1.1,0,6.95,8,0.0
6,6,444509,Johann Lepenant,19, M(C),176,0,6(1),509,0,0,0,0,0.9,90.7,1.1,0,6.81,6,1.0
7,7,117776,Thiago Mendes,30," D(CR),M(CR)",176,78,8,631,0,1,1,0,0,85.7,1.6,0,6.75,8,0.0
8,8,415172,Castello Lukeba,19, D(C),0,0,8,720,1,0,1,0,0.3,89.3,1.4,0,6.72,8,0.0
9,9,322096,Houssem Aouar,24, M(CL),175,70,1,30,0,0,0,0,0,88.2,0,0,6.72,1,0.0
10,10,386153,Rayan Cherki,19, AM(R),176,0,0(7),100,0,3,0,0,0.9,86.4,0,0,6.7,0,7.0
11,11,134894,Corentin Tolisso,28," D(R),M(CR)",181,81,5(3),430,0,0,0,0,0.4,88.7,0.8,0,6.58,5,3.0
12,12,140090,Moussa Dembele,26, FW,183,73,1(5),216,2,0,1,0,2.3,81.6,0.5,0,6.57,1,5.0
13,13,349368,Romain Faivre,24, AM(CLR),180,75,3(2),215,0,1,0,0,0.8,93.0,0.2,0,6.57,3,2.0
14,14,368272,Maxence Caqueret,22, DMC,174,63,5(2),469,0,0,1,0,0.6,86.9,0.1,0,6.57,5,2.0
15,15,277239,Jeff Reine-Adélaïde,24," AM(CLR),FW",183,75,1(4),129,0,0,0,0,0.6,89.4,0.2,0,6.56,1,4.0
16,16,24854,Rémy Riou,35, GK,191,81,3(1),331,0,0,0,0,0,81.6,0,0,6.46,3,1.0
17,17,71833,Anthony Lopes,31, GK,184,81,5,387,0,0,0,1,0,79.5,0,0,6.34,5,0.0
18,18,34176,Damien da Silva,34, D(C),184,82,0(2),65,0,0,1,0,0.5,85.3,2,0,6.34,0,2.0
19,19,132704,Henrique,28," D(L),M(L)",173,71,0(2),37,0,0,0,0,0.5,95.5,0,0,6.21,0,2.0
20,20,425366,Bradley Barcola,20, Forward,0,0,0(6),60,0,0,0,0,0.2,80.0,0.2,0,6.12,0,6.0
