,player_number,name,age,position,tall,weight,games,start_games,sub_games,mins,goals,assists,yellow_cards,red_cards,shots_per_game,pass_success_percentage,aerials_won,man_of_the_match,rating
0,1792,Ronaldinho,42, AM(C),182,80,34(2),34,2,2901,12,14,6,0,2.2,79.1,0.3,7,7.53
1,23158,Alexandre Pato,33," M(CLR),FW",175,72,20(3),20,3,1804,12,1,2,0,2.5,80.1,0.5,3,7.52
2,500,Alessandro Nesta,46, D(C),186,80,22(1),22,1,1891,3,1,4,0,0.3,90.1,0.5,2,7.47
3,28550,Thiago Silva,37, D(C),183,79,33,33,0,2921,2,0,3,0,0.4,90.6,1.5,0,7.44
4,2579,Andrea Pirlo,43, M(C),177,68,33(1),33,1,2951,0,4,8,1,1.4,88.4,0.3,2,7.2
5,5869,Luca Antonini,40," D(CL),M(L)",182,70,20(2),20,2,1768,1,2,0,0,0.4,84.5,0.9,1,7.19
6,191,Massimo Ambrosini,45, M(C),182,72,26(4),26,4,2281,1,2,8,2,0.6,87.9,1.2,2,7.18
7,4644,Marco Borriello,40, FW,180,73,27(2),27,2,2212,14,1,4,0,2.8,78.4,1.4,2,7.17
8,2955,Kakha Kaladze,44," D(C),DMC",186,76,5(1),5,1,532,0,0,0,0,0.5,89.2,1.8,0,7.09
9,1690,Clarence Seedorf,46, M(C),177,80,25(4),25,4,2221,5,4,3,0,1.9,85.8,0.3,0,7.06
10,23206,Ignazio Abate,35," D(R),M(R)",180,73,22(8),22,8,2028,0,1,2,1,0.3,84.3,0.5,1,6.99
11,587,David Beckham,47," M(C),FW",183,78,7(4),7,4,667,0,1,2,0,1.0,83.9,0.2,0,6.99
12,9956,Marco Storari,45, GK,187,76,7,7,0,630,0,0,0,0,0.0,66.9,0.0,0,6.94
13,2533,Christian Abbiati,45, GK,191,92,8(1),8,1,723,0,0,0,0,0.0,59.1,0.0,0,6.94
14,591,Gennaro Gattuso,44," D(C),M(C)",177,77,20(2),20,2,1495,0,0,7,1,0.5,85.7,0.4,0,6.92
15,9868,Dida,48, GK,195,85,23,23,0,2067,0,0,0,0,0.0,58.3,0.0,1,6.88
16,798,Giuseppe Favalli,50, DMC,181,77,15(1),15,1,1310,0,0,3,0,0.1,83.7,1.3,0,6.84
17,160,Gianluca Zambrotta,45, D(CR),181,76,19(5),19,5,1744,0,0,2,0,0.4,85.2,0.5,0,6.73
18,2247,Daniele Bonera,41, D(CR),183,84,6(1),6,1,505,0,0,3,1,0.0,88.7,0.6,0,6.65
19,546,Massimo Oddo,46," D(R),M(R)",182,76,9(5),9,5,910,0,0,0,0,0.4,80.6,0.2,0,6.64
20,6321,Mathieu Flamini,38, M(C),178,67,14(11),14,11,1290,0,2,7,2,0.9,90.2,0.3,0,6.57
21,8013,Klaas Jan Huntelaar,39, FW,186,83,11(14),11,14,1044,7,0,2,0,1.4,81.7,0.4,1,6.48
22,871,Marek Jankulovski,45, D(C),184,76,5(7),5,7,592,0,0,1,0,0.6,87.5,0.5,0,6.43
23,5912,Mancini,42, Midfielder,183,78,3(4),3,4,271,0,1,0,0,0.7,89.0,0.0,0,6.4
24,158,Filippo Inzaghi,49, FW,181,74,4(20),4,20,746,2,3,4,0,1.0,79.6,0.0,0,6.39
25,70148,Rodney Strasser,32, M(C),178,80,0(1),0,1,7,0,0,0,0,0.0,33.3,0.0,0,6.21
26,83219,Andrea De Vito,30, Defender,179,74,0(1),0,1,11,0,0,0,0,0.0,87.5,0.0,0,6.04
27,70576,Gianmarco Zigoni,31, Forward,188,80,0(1),0,1,13,0,0,0,0,0.0,100.0,0.0,0,6.01
