,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,9991,Giorgio Chiellini,38, D(C),187,85,32,2880,4,2,3,0,1,78.3,1.8,5,7.58,32,0.0
1,1,7417,Diego,37, M(CLR),174,78,31(2),2560,5,7,3,0,2.4,81.3,0.2,4,7.25,31,2.0
2,2,484,Alessandro Del Piero,47," AM(CL),FW",173,73,18(5),1540,9,3,3,0,2.7,75.6,0.1,2,7.06,18,5.0
3,3,13551,Felipe Melo,39," D(C),M(C)",185,84,28(1),2408,3,0,9,2,1.1,85.6,1,1,7.06,28,1.0
4,4,9576,Mohamed Sissoko,37, M(C),191,87,14(3),1207,0,1,8,1,1,83.5,1.1,1,7.01,14,3.0
5,5,2855,Vincenzo Iaquinta,42," AM(C),FW",191,84,12(3),1093,6,3,2,0,2.7,79.4,1.2,0,6.95,12,3.0
6,6,1032,Fabio Cannavaro,49," D(L),DMC",176,75,27,2391,0,0,7,0,0.4,82.2,0.9,1,6.93,27,0.0
7,7,2959,Nicola Legrottaglie,45, D(C),185,73,18(1),1600,1,0,4,0,0.8,83.5,1.3,2,6.93,18,1.0
8,8,4042,Mauro Camoranesi,45," D(C),DMC",172,73,14(10),1266,3,4,5,0,1,75.6,0.3,1,6.92,14,10.0
9,9,2833,Fabio Grosso,44, D(CL),190,82,22(4),1994,2,2,6,0,1,77.1,0.2,0,6.87,22,4.0
10,10,20211,Claudio Marchisio,36, M(C),180,74,27(1),2246,3,2,7,0,1.8,80.0,0.1,1,6.86,27,1.0
11,11,878,David Trezeguet,44," AM(CL),FW",190,85,13(6),1164,7,1,1,0,1.7,79.2,0.9,0,6.86,13,6.0
12,12,34112,Antonio Candreva,35, M(CLR),180,70,8(8),884,2,2,2,0,1.4,81.5,0.1,0,6.8,8,8.0
13,13,30635,Martín Cáceres,35," D(CLR),M(R)",180,78,11(4),1068,1,2,2,1,0.3,77.4,0.6,0,6.79,11,4.0
14,14,5795,Amauri,42, FW,186,83,24(6),2234,5,2,5,1,2,69.2,2.5,2,6.76,24,6.0
15,15,30582,Sebastian Giovinco,35," AM(C),FW",165,59,5(10),588,1,1,2,0,1.2,83.4,0,0,6.71,5,10.0
16,16,800,Jonathan Zebina,44, D(C),184,80,13(3),1208,0,0,7,0,0.3,82.9,0.5,0,6.69,13,3.0
17,17,1653,Christian Poulsen,42, M(C),182,79,19(6),1718,0,0,5,0,0.6,81.9,0.9,0,6.66,19,6.0
18,18,15407,Cristian Molinaro,39," D(L),M(L)",182,82,4(1),294,0,0,0,0,0.2,81.7,0.8,0,6.59,4,1.0
19,19,8128,Tiago,41, M(C),184,75,4(3),392,0,0,3,0,1.9,82.3,0.4,0,6.55,4,3.0
20,20,3328,Gianluigi Buffon,44, GK,192,84,27,2379,0,0,0,1,0,65.7,0,1,6.55,27,0.0
21,21,729,Hasan Salihamidzic,45, DMC,177,71,6(8),590,2,0,4,0,0.5,78.9,0.2,0,6.55,6,8.0
22,22,4596,Zdenek Grygera,42, D(R),185,79,15(4),1288,0,1,4,0,0.1,80.7,0.3,0,6.53,15,4.0
23,23,12722,Paolo De Ceglie,36," D(L),M(CL)",184,75,14(11),1396,0,0,2,0,0.4,79.1,0.6,0,6.52,14,11.0
24,24,2621,Antonio Chimenti,52, Goalkeeper,184,77,2,180,0,0,0,0,0,46.5,0,0,6.5,2,0.0
25,25,79316,Luca Marrone,32," D(C),DMC",186,75,0(2),33,0,0,1,0,0,82.1,0,0,6.31,0,2.0
26,26,70141,Ciro Immobile,32, FW,185,78,0(2),8,0,0,0,0,1,100.0,0,0,6.15,0,2.0
27,27,2856,Alexander Manninger,45, GK,189,85,9(2),861,0,0,0,0,0,50.5,0,0,6.14,9,2.0
28,28,83231,Manuel Giandonato,30, Midfielder,188,77,0(1),6,0,0,0,0,0,100.0,1,0,6.08,0,1.0
29,29,14123,Michele Paolucci,36, Midfielder,182,80,1(3),102,0,0,0,0,0.3,63.2,0,0,6.0,1,3.0
