,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,12542,Daniele Capelli,36, D(CR),184,82,1,74,0,0,0,0,0,70.6,0,0,7.49,1,0.0
1,1,14126,Luca Cigarini,36, M(C),175,72,26(1),2269,2,4,8,1,1.5,81.6,1,5,7.39,26,1.0
2,2,14484,Germán Denis,41, FW,182,87,35(1),3126,15,4,3,1,2.6,71.7,4.3,2,7.13,35,1.0
3,3,9943,Cristian Raimondi,41," D(R),M(R)",182,78,22(4),2038,1,3,7,1,0.5,76.1,2,2,7.03,22,4.0
4,4,14137,Guglielmo Stendardo,41, D(C),190,89,29(3),2632,2,1,9,0,0.4,86.2,2.1,1,7.02,29,3.0
5,5,18723,Federico Peluso,38," D(CL),M(L)",187,82,13,1065,1,1,6,2,0.5,80.0,2,0,7.01,13,0.0
6,6,14069,Cristiano Del Grosso,39," D(L),M(L)",175,70,13,1061,1,0,2,0,0.6,70.6,0.9,0,6.95,13,0.0
7,7,1604,Lionel Scaloni,44, D(R),182,80,6(1),530,0,0,4,0,0.3,86.0,2.3,0,6.95,6,1.0
8,8,42879,Andrea Consigli,35, GK,189,82,35,3131,0,0,4,0,0,49.6,0.1,2,6.91,35,0.0
9,9,1657,Thomas Manfredini,42, D(C),182,84,15,1246,0,0,2,1,0.4,86.4,2.4,0,6.91,15,0.0
10,10,4397,Stefano Lucchini,41, D(C),186,76,19(2),1696,0,2,7,1,0.6,82.8,1.9,1,6.9,19,2.0
11,11,40384,Giacomo Bonaventura,33, M(CLR),180,75,31(4),2641,7,2,8,0,1.6,81.1,0.6,1,6.9,31,4.0
12,12,17950,Michele Canini,37, D(C),187,84,10(2),964,0,0,1,0,0.1,80.1,1,0,6.81,10,2.0
13,13,20596,Maximiliano Moralez,35," M(CLR),FW",160,52,26(3),2020,1,1,3,0,1,78.7,0.2,1,6.69,26,3.0
14,14,6638,Gianpaolo Bellini,42, D(LR),178,75,10(1),840,0,0,0,0,0.2,80.7,1,0,6.67,10,1.0
15,15,12455,Michele Ferri,41, D(R),185,81,7(2),557,0,0,1,0,0.2,83.8,0.7,0,6.66,7,2.0
16,16,79442,Ezequiel Schelotto,33," D(R),M(LR)",187,77,12(4),1093,0,1,0,0,0.6,80.6,1.5,1,6.66,12,4.0
17,17,24175,Carlos Carmona,35, DMC,179,68,20(1),1543,2,2,9,2,0.8,85.2,0.8,0,6.65,20,1.0
18,18,19023,Davide Brivio,34," D(L),M(L)",185,82,15(5),1441,0,0,2,1,0.9,84.4,1.2,0,6.63,15,5.0
19,19,57560,Luigi Giorgi,35, M(CR),186,80,11(4),969,2,0,3,1,0.7,72.1,1.6,0,6.59,11,4.0
20,20,14070,Davide Biondini,39, M(C),180,77,20(4),1779,0,1,8,0,0.3,78.8,1.2,0,6.57,20,4.0
21,21,59281,Riccardo Cazzola,37, M(C),189,80,9(13),934,0,1,8,0,0.2,80.7,1.5,0,6.51,9,13.0
22,22,35640,Ivan Radovanovic,34," D(C),DMC",186,80,8(8),649,0,0,3,0,1,81.8,1.7,0,6.49,8,8.0
23,23,87310,Marko Livaja,29," AM(C),FW",182,84,6(5),611,2,1,5,0,1,69.7,1.5,0,6.48,6,5.0
24,24,120030,Antonio Palma,28, Midfielder,177,70,0(1),19,0,0,0,0,1,75.0,1,0,6.4,0,1.0
25,25,6420,Franco Brienza,43, M(CR),168,68,3(3),311,0,0,0,0,0.3,77.1,0.5,0,6.39,3,3.0
26,26,97214,Giuseppe De Luca,30, FW,168,70,7(11),748,2,0,5,0,0.7,75.1,0.6,0,6.33,7,11.0
27,27,23473,James Troisi,34, Midfielder,176,75,2(4),196,0,0,1,0,0.8,75.0,0.2,0,6.29,2,4.0
28,28,23908,Carlos Matheu,37, D(C),183,80,1(3),176,0,0,1,0,0.3,89.1,1,0,6.19,1,3.0
29,29,70561,Matteo Scozzarella,34, DMC,170,65,0(3),79,0,0,0,0,0.3,78.3,0.3,0,6.15,0,3.0
30,30,32236,Facundo Parra,37, FW,182,74,3(11),418,0,0,0,1,0.9,74.2,1.6,0,6.09,3,11.0
31,31,22130,Ciro Polito,43, Goalkeeper,184,83,3(1),289,0,0,0,0,0,56.8,0.3,0,6.07,3,1.0
32,32,67261,Guido Marilungo,33, FW,176,72,0(2),42,0,0,0,0,1,60.0,0,0,6.06,0,2.0
33,33,9952,Matteo Contini,42, D(C),184,76,1(2),160,0,0,0,1,0.3,84.5,0.3,0,6.04,1,2.0
34,34,9979,Igor Budan,42," AM(C),FW",185,80,0(2),15,0,0,0,0,0,37.5,0,0,6.03,0,2.0
