,Unnamed: 0,player_number,name,age,position,tall,weight,games,mins,goals,assists,yel,red,spg,ps,aw,motm,rating,start_games,sub_games
0,0,24328,Edinson Cavani,35," AM(LR),FW",184,71,33(1),2981,29,4,8,0,4.6,77.9,0.9,8,7.69,33,1
1,1,5070,Hugo Campagnaro,42, D(CR),181,85,27(1),2413,1,1,8,0,0.3,86.2,2.2,2,7.64,27,1
2,2,13475,Marek Hamsik,35," M(C),FW",183,79,37(1),3282,11,14,2,0,2.4,83.3,0.5,2,7.52,37,1
3,3,36096,Miguel Britos,37, D(CL),188,82,22,1804,0,0,6,0,0.2,84.1,2.5,2,7.35,22,0
4,4,538,Paolo Cannavaro,41, D(C),185,83,32,2849,1,1,8,0,0.4,81,2.1,1,7.25,32,0
5,5,12462,Valon Behrami,37, M(C),183,80,32(1),2627,0,0,12,0,0.2,91,1,1,7.23,32,1
6,6,2943,Christian Maggio,40," D(R),M(R)",184,79,31,2722,4,4,3,0,1,76.5,3.5,1,7.22,31,0
7,7,26682,Juan Camilo Zuñiga,36," D(LR),M(L)",172,72,30(2),2628,0,3,3,0,0.8,88.7,0.9,0,7.21,30,2
8,8,15401,Gökhan Inler,38, DMC,183,79,25(6),2180,6,2,7,0,1.7,85.5,0.7,4,7.15,25,6
9,9,661,Alessandro Gamberini,41, D(C),185,78,24(1),1905,1,0,3,0,0.1,87.6,2.5,1,7.03,24,1
10,10,14831,Blerim Dzemaili,36, M(C),179,73,19(15),1954,7,2,8,0,1.2,87.4,0.7,3,7.01,19,15
11,11,6093,Goran Pandev,39," M(CR),FW",184,75,25(8),2091,6,7,3,0,1.4,79.4,0.5,2,6.97,25,8
12,12,22093,Gianluca Grava,45," D(C),M(R)",172,68,2,147,0,0,1,0,0,87,1,0,6.96,2,0
13,13,83390,Lorenzo Insigne,31," AM(CL),FW",163,59,16(21),1752,5,7,4,0,1.8,82.1,0.1,0,6.95,16,21
14,14,9279,Rolando,37, D(C),189,77,4(3),392,0,0,1,0,0.1,84.2,1.1,0,6.77,4,3
15,15,4500,Morgan De Sanctis,45, GK,190,86,34,3060,0,0,4,0,0,61.7,0,0,6.76,34,0
16,16,6107,Giandomenico Mesto,40," D(R),M(R)",180,74,7(9),731,1,1,1,0,0.3,74.8,1.1,0,6.71,7,9
17,17,24419,Pablo Armero,35," D(L),M(L)",174,81,4(11),570,0,3,2,0,0.3,84.9,0.3,0,6.69,4,11
18,18,44847,Federico Fernández,33, D(C),190,83,1(1),102,0,0,0,0,0,87.5,1.5,0,6.69,1,1
19,19,67835,Omar El Kaddouri,32, AM(CL),185,82,1(6),224,0,1,0,0,0.6,90.4,0.3,0,6.54,1,6
20,20,11134,Antonio Rosati,39, GK,195,88,4,360,0,0,0,0,0,64.5,0.5,0,6.43,4,0
21,21,5997,Marco Donadel,39, M(C),179,73,1(3),119,0,0,0,0,0,90.4,1.3,0,6.38,1,3
22,22,9892,Emanuele Calaiò,40, FW,179,73,1(5),110,0,1,0,0,1.3,65.5,1.8,0,6.37,1,5
23,23,6175,Andrea Dossena,41," D(L),M(L)",181,77,3(4),286,0,0,1,0,0.1,87.5,0.3,0,6.23,3,4
24,24,35237,Eduardo Vargas,32," AM(CLR),FW",170,74,0(9),121,0,1,3,0,1,85.7,0,0,6.21,0,9
25,25,9966,Salvatore Aronica,44, D(C),181,78,3(2),218,0,0,2,0,0,82.1,0.2,0,6.18,3,2
26,26,44087,Roberto Colombo,47, Goalkeeper,190,80,1,1,0,0,0,1,0,0,0,0,6.0,1,0
27,27,122370,Roberto Insigne,28, AM(C),172,65,0(1),3,0,0,0,0,0,50,0,0,5.99,0,1
